selection_label,selection_type,sku_class,sku_count,reserve_pallets_assigned,reserve_blocks_used,reserve_block_side_groups_used,mean_groups_per_sku,mean_blocks_per_sku,mean_slots_per_group,same_block_reserve_share,same_side_reserve_share,reserve_deep_pallet_share,reserve_upper_level_pallet_share,reserve_fragmentation_proxy,fragmentation_status,fragmentation_warning
L1,accessibility-oriented,A,20,620,6,7,2.2,2.15,88.5714285714,0.579032258065,0.666129032258,0.0306451612903,0.411290322581,2.2,ok,
L1,accessibility-oriented,B,30,2010,9,17,8,5.4,118.235294118,0.0333333333333,0.316915422886,0.210945273632,0.413432835821,8,ok,
L1,accessibility-oriented,C,50,854,2,4,2.04,1.02,213.5,0.314988290398,0.325526932084,0.510538641686,0.950819672131,2.04,ok,
L2,deep-block / reserve-oriented,A,20,620,4,7,1.05,1,88.5714285714,1,0.912903225806,0.106451612903,0.156451612903,1.05,ok,
L2,deep-block / reserve-oriented,B,30,2010,10,17,1.76666666667,1.7,118.235294118,0.637810945274,0.941791044776,0.17960199005,0.549751243781,1.76666666667,ok,
L2,deep-block / reserve-oriented,C,50,854,2,3,1.88,1.02,284.666666667,0.0819672131148,0.0433255269321,0.585480093677,0.85831381733,1.88,ok,
L3,high-capacity balanced,A,20,620,1,2,1.05,1,310,1,0.903225806452,0.335483870968,0.612903225806,1.05,ok,
L3,high-capacity balanced,B,30,2010,5,5,3,3,402,0.344278606965,0.722388059701,0.255721393035,0.400995024876,3,ok,
L3,high-capacity balanced,C,50,854,3,4,1.62,1.04,213.5,0.34074941452,0.416861826698,0.367681498829,0.725995316159,1.62,ok,
L4,intermediate accessibility-capacity compromise,A,20,620,3,4,1.15,1.1,155,0.914516129032,0.653225806452,0,0.620967741935,1.15,ok,
L4,intermediate accessibility-capacity compromise,B,30,2010,9,16,6.7,5.1,125.625,0.0333333333333,0.58855721393,0.191044776119,0.422388059701,6.7,ok,
L4,intermediate accessibility-capacity compromise,C,50,854,2,4,2.02,1.02,213.5,0.47775175644,0.370023419204,0.682669789227,0.762295081967,2.02,ok,
