occupancy_label,inventory_total,selection_label,selection_type,sku_class,sku_count,reserve_pallets_assigned,reserve_blocks_used,reserve_block_side_groups_used,mean_groups_per_sku,mean_blocks_per_sku,mean_slots_per_group,same_block_reserve_share,same_side_reserve_share,reserve_deep_pallet_share,reserve_upper_level_pallet_share,reserve_fragmentation_proxy,fragmentation_status,fragmentation_warning
low,790,L1,accessibility-oriented,A,20,120,1,1,1,1,120,1,1,0,0.775,1,ok,
low,790,L1,accessibility-oriented,B,30,420,6,7,2.13333333333,2.1,60,0.602380952381,0.540476190476,0,0.442857142857,2.13333333333,ok,
low,790,L1,accessibility-oriented,C,50,150,1,2,1.8,1,75,0.66,0.34,1,0.833333333333,1.8,ok,
low,790,L2,deep-block / reserve-oriented,A,20,120,4,6,1,1,20,1,1,0.1,0,1,ok,
low,790,L2,deep-block / reserve-oriented,B,30,420,4,7,1,1,60,1,1,0.0595238095238,0.269047619048,1,ok,
low,790,L2,deep-block / reserve-oriented,C,50,150,1,2,1.5,1,75,0.08,0.02,1,0.96,1.5,ok,
low,790,L3,high-capacity balanced,A,20,120,1,1,1,1,120,1,1,0.15,0,1,ok,
low,790,L3,high-capacity balanced,B,30,420,2,2,1,1,210,1,1,0.338095238095,0.790476190476,1,ok,
low,790,L3,high-capacity balanced,C,50,150,2,4,2.5,1.82,37.5,0.306666666667,0.46,1,1,2.5,ok,
low,790,L4,intermediate accessibility-capacity compromise,A,20,120,1,1,1,1,120,1,1,0,0.15,1,ok,
low,790,L4,intermediate accessibility-capacity compromise,B,30,420,2,3,1.03333333333,1,140,1,0.619047619048,0,0.77619047619,1.03333333333,ok,
low,790,L4,intermediate accessibility-capacity compromise,C,50,150,1,2,1.7,1,75,0.7,0.34,1,0.753333333333,1.7,ok,
medium,2240,L1,accessibility-oriented,A,20,380,2,3,1.05,1.05,126.666666667,0.944736842105,0.455263157895,0,0.671052631579,1.05,ok,
medium,2240,L1,accessibility-oriented,B,30,1260,9,16,5.63333333333,4.46666666667,78.75,0.0333333333333,0.67619047619,0.148412698413,0.427777777778,5.63333333333,ok,
medium,2240,L1,accessibility-oriented,C,50,500,1,2,2,1,250,0.66,0.332,0.888,0.652,2,ok,
medium,2240,L2,deep-block / reserve-oriented,A,20,380,4,6,1,1,63.3333333333,1,1,0.0789473684211,0.189473684211,1,ok,
medium,2240,L2,deep-block / reserve-oriented,B,30,1260,7,12,1.23333333333,1.2,105,0.894444444444,0.886507936508,0.101587301587,0.563492063492,1.23333333333,ok,
medium,2240,L2,deep-block / reserve-oriented,C,50,500,1,2,1.94,1,250,0.08,0.03,1,0.756,1.94,ok,
medium,2240,L3,high-capacity balanced,A,20,380,1,1,1,1,380,1,1,0.205263157895,0.526315789474,1,ok,
medium,2240,L3,high-capacity balanced,B,30,1260,5,6,1.9,1.86666666667,210,0.7,0.509523809524,0.284920634921,0.475396825397,1.9,ok,
medium,2240,L3,high-capacity balanced,C,50,500,1,2,1.98,1,250,0.34,0.486,0.766,0.736,1.98,ok,
medium,2240,L4,intermediate accessibility-capacity compromise,A,20,380,1,2,1.05,1,190,1,0.926315789474,0,0.657894736842,1.05,ok,
medium,2240,L4,intermediate accessibility-capacity compromise,B,30,1260,6,7,3.56666666667,3.56666666667,180,0.181746031746,0.851587301587,0.165079365079,0.57380952381,3.56666666667,ok,
medium,2240,L4,intermediate accessibility-capacity compromise,C,50,500,1,2,2,1,250,0.7,0.352,0.826,0.67,2,ok,
high,3584,L1,accessibility-oriented,A,20,620,6,7,2.2,2.15,88.5714285714,0.579032258065,0.666129032258,0.0306451612903,0.411290322581,2.2,ok,
high,3584,L1,accessibility-oriented,B,30,2010,9,17,8,5.4,118.235294118,0.0333333333333,0.316915422886,0.210945273632,0.413432835821,8,ok,
high,3584,L1,accessibility-oriented,C,50,854,2,4,2.04,1.02,213.5,0.314988290398,0.325526932084,0.510538641686,0.950819672131,2.04,ok,
high,3584,L2,deep-block / reserve-oriented,A,20,620,4,7,1.05,1,88.5714285714,1,0.912903225806,0.106451612903,0.156451612903,1.05,ok,
high,3584,L2,deep-block / reserve-oriented,B,30,2010,10,17,1.76666666667,1.7,118.235294118,0.637810945274,0.941791044776,0.17960199005,0.549751243781,1.76666666667,ok,
high,3584,L2,deep-block / reserve-oriented,C,50,854,2,3,1.88,1.02,284.666666667,0.0819672131148,0.0433255269321,0.585480093677,0.85831381733,1.88,ok,
high,3584,L3,high-capacity balanced,A,20,620,1,2,1.05,1,310,1,0.903225806452,0.335483870968,0.612903225806,1.05,ok,
high,3584,L3,high-capacity balanced,B,30,2010,5,5,3,3,402,0.344278606965,0.722388059701,0.255721393035,0.400995024876,3,ok,
high,3584,L3,high-capacity balanced,C,50,854,3,4,1.62,1.04,213.5,0.34074941452,0.416861826698,0.367681498829,0.725995316159,1.62,ok,
high,3584,L4,intermediate accessibility-capacity compromise,A,20,620,3,4,1.15,1.1,155,0.914516129032,0.653225806452,0,0.620967741935,1.15,ok,
high,3584,L4,intermediate accessibility-capacity compromise,B,30,2010,9,16,6.7,5.1,125.625,0.0333333333333,0.58855721393,0.191044776119,0.422388059701,6.7,ok,
high,3584,L4,intermediate accessibility-capacity compromise,C,50,854,2,4,2.02,1.02,213.5,0.47775175644,0.370023419204,0.682669789227,0.762295081967,2.02,ok,
