occupancy_label,inventory_total,selection_label,reserve_pallet_count,mean_horizontal_access_distance,mean_normalized_horizontal_distance,mean_effective_depth,mean_normalized_depth,mean_vertical_level,mean_normalized_level,lambda_depth,lambda_level,reconstructed_low_depth_level_weight_access_cost,reported_low_depth_level_weight_access_cost,absolute_reconstruction_difference,verification_abs_tolerance,verification_status
low,790,L1,690,21.6942028985507,0.394440052746377,1.67826086956522,0.169565217391304,3.23333333333333,0.461904761933333,0.1,0.1,0.457587050678841,0.457587050679,1.59428026336172e-13,1e-09,passed
low,790,L2,690,13.6797101449275,0.248722002673913,2.03913043478261,0.259782608695652,2.42028985507246,0.345755693634783,0.1,0.1,0.309275832906957,0.309275832907,4.34652314140749e-14,1e-09,passed
low,790,L3,690,8.82173913043478,0.160395257108696,2.19275362318841,0.298188405797101,4.04782608695652,0.578260869555072,0.1,0.1,0.248040184643913,0.248040184644,8.69304628281498e-14,1e-09,passed
low,790,L4,690,13.9811594202899,0.254202898668116,1.95072463768116,0.23768115942029,3.55072463768116,0.507246376808696,0.1,0.1,0.328695652291014,0.328695652291,1.44884104713583e-14,1e-09,passed
medium,2240,L1,2140,28.8280373831776,0.524146134249533,1.88644859813084,0.22161214953271,3.02710280373832,0.432443257696729,0.1,0.1,0.589551674972477,0.589551674972,4.7661874447158e-13,1e-09,passed
medium,2240,L2,2140,16.3331775700935,0.296966864923832,2.09252336448598,0.273130841121495,3.00420560747664,0.429172229661682,0.1,0.1,0.36719717200215,0.367197172002,1.49547041417009e-13,1e-09,passed
medium,2240,L3,2140,21.2084112149533,0.385607476692523,2.07196261682243,0.267990654205607,3.16401869158878,0.452002670246262,0.1,0.1,0.45760680913771,0.457606809138,2.89712698275935e-13,1e-09,passed
medium,2240,L4,2140,26.8757009345794,0.488649107928972,2.02383177570093,0.255957943925234,3.39065420560748,0.484379172233645,0.1,0.1,0.56268281954486,0.562682819545,1.40110145707695e-13,1e-09,passed
high,3584,L1,3484,30.1239954075775,0.547709007417049,1.85734787600459,0.214336969001148,3.08352468427095,0.44050352636682,0.1,0.1,0.613193056953846,0.613193056954,1.53876911213047e-13,1e-09,passed
high,3584,L2,3484,19.50401836969,0.354618515820896,2.01205510907003,0.253013777267509,3.15843857634902,0.45120551093628,0.1,0.1,0.425040444641274,0.425040444641,2.74391620536107e-13,1e-09,passed
high,3584,L3,3484,26.0143513203215,0.472988205854478,1.95292766934558,0.238231917336395,2.92451205510907,0.417787436508898,0.1,0.1,0.538590141239007,0.538590141239,6.88338275267597e-15,1e-09,passed
high,3584,L4,3484,29.0987370838117,0.529067946992824,1.94603903559127,0.236509758897819,3.08352468427095,0.440503526353904,0.1,0.1,0.596769275517997,0.596769275518,3.44169137633799e-15,1e-09,passed
