occupancy_label,inventory_total,selection_label,total_pallet_slot_capacity,assigned_inventory_utilization,reserve_pallets_assigned,interior_deep_slot_share,reserve_deep_pallet_share,low_depth_level_weight_access_cost
low,790,L1,4480,0.176339285714,690,0.232142857143,0.217391304348,0.457587050679
low,790,L2,5056,0.15625,690,0.283227848101,0.271014492754,0.309275832907
low,790,L3,5440,0.145220588235,690,0.232352941176,0.449275362319,0.248040184644
low,790,L4,4800,0.164583333333,690,0.233333333333,0.217391304348,0.328695652291
medium,2240,L1,4480,0.5,2140,0.232142857143,0.294859813084,0.589551674972
medium,2240,L2,5056,0.443037974684,2140,0.283227848101,0.307476635514,0.367197172002
medium,2240,L3,5440,0.411764705882,2140,0.232352941176,0.383177570093,0.457606809138
medium,2240,L4,4800,0.466666666667,2140,0.233333333333,0.290186915888,0.562682819545
high,3584,L1,4480,0.8,3484,0.232142857143,0.252296211251,0.613193056954
high,3584,L2,5056,0.708860759494,3484,0.283227848101,0.26607347876,0.425040444641
high,3584,L3,5440,0.658823529412,3484,0.232352941176,0.297359357061,0.538590141239
high,3584,L4,4800,0.746666666667,3484,0.233333333333,0.277554535017,0.596769275518
