occupancy_label,inventory_total,weight_case_id,omega_depth,omega_level,L1,L2,L3,L4,ranking_lower_to_higher
low,790,B1,0.1,0.1,0.457587,0.309276,0.24804,0.328696,L3 < L2 < L4 < L1
low,790,B2,0.25,0.1,0.483022,0.348243,0.292768,0.364348,L3 < L2 < L4 < L1
low,790,B3,0.1,0.25,0.526873,0.361139,0.334779,0.404783,L3 < L2 < L4 < L1
low,790,B4,0.25,0.25,0.552308,0.400107,0.379508,0.440435,L3 < L2 < L4 < L1
medium,2240,B1,0.1,0.1,0.589552,0.367197,0.457607,0.562683,L2 < L3 < L4 < L1
medium,2240,B2,0.25,0.1,0.622793,0.408167,0.497805,0.601077,L2 < L3 < L4 < L1
medium,2240,B3,0.1,0.25,0.654418,0.431573,0.525407,0.63534,L2 < L3 < L4 < L1
medium,2240,B4,0.25,0.25,0.68766,0.472543,0.565606,0.673733,L2 < L3 < L4 < L1
high,3584,B1,0.1,0.1,0.613193,0.42504,0.53859,0.596769,L2 < L3 < L4 < L1
high,3584,B2,0.25,0.1,0.645344,0.462993,0.574325,0.632246,L2 < L3 < L4 < L1
high,3584,B3,0.1,0.25,0.679269,0.492721,0.601258,0.662845,L2 < L3 < L4 < L1
high,3584,B4,0.25,0.25,0.711419,0.530673,0.636993,0.698321,L2 < L3 < L4 < L1
