selection_label,selection_type,layout_signature,seed,rank,sku_id,sku_class,class_index,global_sku_index,demand_weight,pallets_per_sku,representative_access_pallets,reserve_pallets,representative_slot_id,row,col,level,block_id,block_size,access_type,access_side_count,access_sides,effective_access_side,effective_pick_face_row,effective_pick_face_col,effective_depth,horizontal_access_distance,vertical_level,normalized_distance,normalized_depth,normalized_level,slot_cost,representative_assignment_rule,representative_level_preference_met,representative_depth_preference_met,representative_assignment_status,representative_assignment_warning
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A001,A,1,1,0.04,7,1,6,L1__r1__c13__l0,1,13,0,1,51,two_sided,2,"E,W",W,1,13,1,4,0,0.072727273,0,0,0.072727273,A_representative_deterministic_sort,TRUE,TRUE,assigned,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A002,A,2,2,0.04,7,1,6,L1__r2__c13__l0,2,13,0,1,51,two_sided,2,"E,W",W,2,13,1,4,0,0.072727273,0,0,0.072727273,A_representative_deterministic_sort,TRUE,TRUE,assigned,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A003,A,3,3,0.04,7,1,6,L1__r3__c13__l0,3,13,0,1,51,two_sided,2,"E,W",W,3,13,1,4,0,0.072727273,0,0,0.072727273,A_representative_deterministic_sort,TRUE,TRUE,assigned,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A004,A,4,4,0.04,7,1,6,L1__r4__c13__l0,4,13,0,1,51,two_sided,2,"E,W",W,4,13,1,4,0,0.072727273,0,0,0.072727273,A_representative_deterministic_sort,TRUE,TRUE,assigned,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A005,A,5,5,0.04,7,1,6,L1__r5__c13__l0,5,13,0,1,51,two_sided,2,"E,W",W,5,13,1,4,0,0.072727273,0,0,0.072727273,A_representative_deterministic_sort,TRUE,TRUE,assigned,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A006,A,6,6,0.04,7,1,6,L1__r6__c13__l0,6,13,0,1,51,two_sided,2,"E,W",W,6,13,1,4,0,0.072727273,0,0,0.072727273,A_representative_deterministic_sort,TRUE,TRUE,assigned,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A007,A,7,7,0.04,7,1,6,L1__r7__c13__l0,7,13,0,1,51,two_sided,2,"E,W",W,7,13,1,4,0,0.072727273,0,0,0.072727273,A_representative_deterministic_sort,TRUE,TRUE,assigned,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A008,A,8,8,0.04,7,1,6,L1__r8__c13__l0,8,13,0,1,51,two_sided,2,"E,W",W,8,13,1,4,0,0.072727273,0,0,0.072727273,A_representative_deterministic_sort,TRUE,TRUE,assigned,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A009,A,9,9,0.04,7,1,6,L1__r9__c13__l0,9,13,0,1,51,two_sided,2,"E,W",W,9,13,1,4,0,0.072727273,0,0,0.072727273,A_representative_deterministic_sort,TRUE,TRUE,assigned,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A010,A,10,10,0.04,7,1,6,L1__r10__c13__l0,10,13,0,1,51,two_sided,2,"E,W",W,10,13,1,4,0,0.072727273,0,0,0.072727273,A_representative_deterministic_sort,TRUE,TRUE,assigned,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A011,A,11,11,0.04,7,1,6,L1__r11__c13__l0,11,13,0,1,51,two_sided,2,"E,W",W,11,13,1,4,0,0.072727273,0,0,0.072727273,A_representative_deterministic_sort,TRUE,TRUE,assigned,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A012,A,12,12,0.04,7,1,6,L1__r12__c13__l0,12,13,0,1,51,two_sided,2,"E,W",W,12,13,1,4,0,0.072727273,0,0,0.072727273,A_representative_deterministic_sort,TRUE,TRUE,assigned,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A013,A,13,13,0.04,7,1,6,L1__r13__c13__l0,13,13,0,1,51,two_sided,2,"E,W",W,13,13,1,4,0,0.072727273,0,0,0.072727273,A_representative_deterministic_sort,TRUE,TRUE,assigned,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A014,A,14,14,0.04,7,1,6,L1__r14__c13__l0,14,13,0,1,51,two_sided,2,"E,W",W,14,13,1,4,0,0.072727273,0,0,0.072727273,A_representative_deterministic_sort,TRUE,TRUE,assigned,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A015,A,15,15,0.04,7,1,6,L1__r15__c13__l0,15,13,0,1,51,two_sided,2,"E,W",W,15,13,1,4,0,0.072727273,0,0,0.072727273,A_representative_deterministic_sort,TRUE,TRUE,assigned,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A016,A,16,16,0.04,7,1,6,L1__r16__c13__l0,16,13,0,1,51,two_sided,2,"E,W",W,16,13,1,4,0,0.072727273,0,0,0.072727273,A_representative_deterministic_sort,TRUE,TRUE,assigned,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A017,A,17,17,0.04,7,1,6,L1__r17__c13__l0,17,13,0,1,51,two_sided,2,"E,W",W,17,13,1,4,0,0.072727273,0,0,0.072727273,A_representative_deterministic_sort,TRUE,TRUE,assigned,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A018,A,18,18,0.04,7,1,6,L1__r18__c13__l0,18,13,0,1,51,two_sided,2,"E,W",W,18,13,1,4,0,0.072727273,0,0,0.072727273,A_representative_deterministic_sort,TRUE,TRUE,assigned,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A019,A,19,19,0.04,7,1,6,L1__r19__c13__l0,19,13,0,1,51,two_sided,2,"E,W",W,19,13,1,4,0,0.072727273,0,0,0.072727273,A_representative_deterministic_sort,TRUE,TRUE,assigned,
