selection_label,selection_type,layout_signature,seed,rank,sku_id,sku_class,class_index,global_sku_index,demand_weight,pallets_per_sku,reserve_pallets,reserve_pallet_index,reserve_slot_id,row,col,level,block_id,block_size,access_type,access_side_count,access_sides,effective_access_side,effective_pick_face_row,effective_pick_face_col,effective_depth,horizontal_access_distance,vertical_level,normalized_distance,normalized_depth,normalized_level,slot_cost,representative_slot_id,representative_block_id,representative_effective_access_side,same_block_as_representative,same_side_as_representative,reserve_group_id,reserve_assignment_rule,reserve_level_preference_met,reserve_depth_preference_met,reserve_assignment_status,reserve_assignment_warning
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A001,A,1,1,0.04,7,6,1,L1__r25__c13__l1,25,13,1,1,51,two_sided,2,"E,W",W,25,13,1,5,1,0.090909091,0,0.142857143,0.233766234,L1__r1__c13__l0,1,W,TRUE,TRUE,L1__block1__sideW__depth1__level1,A_reserve_deterministic_sort,TRUE,TRUE,assigned,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A001,A,1,1,0.04,7,6,2,L1__r26__c13__l1,26,13,1,1,51,two_sided,2,"E,W",W,26,13,1,6,1,0.109090909,0,0.142857143,0.251948052,L1__r1__c13__l0,1,W,TRUE,TRUE,L1__block1__sideW__depth1__level1,A_reserve_deterministic_sort,TRUE,TRUE,assigned,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A001,A,1,1,0.04,7,6,3,L1__r1__c13__l2,1,13,2,1,51,two_sided,2,"E,W",W,1,13,1,4,2,0.072727273,0,0.285714286,0.358441558,L1__r1__c13__l0,1,W,TRUE,TRUE,L1__block1__sideW__depth1__level2,A_reserve_deterministic_sort,TRUE,TRUE,assigned,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A001,A,1,1,0.04,7,6,4,L1__r2__c13__l2,2,13,2,1,51,two_sided,2,"E,W",W,2,13,1,4,2,0.072727273,0,0.285714286,0.358441558,L1__r1__c13__l0,1,W,TRUE,TRUE,L1__block1__sideW__depth1__level2,A_reserve_deterministic_sort,TRUE,TRUE,assigned,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A001,A,1,1,0.04,7,6,5,L1__r3__c13__l2,3,13,2,1,51,two_sided,2,"E,W",W,3,13,1,4,2,0.072727273,0,0.285714286,0.358441558,L1__r1__c13__l0,1,W,TRUE,TRUE,L1__block1__sideW__depth1__level2,A_reserve_deterministic_sort,TRUE,TRUE,assigned,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A001,A,1,1,0.04,7,6,6,L1__r4__c13__l2,4,13,2,1,51,two_sided,2,"E,W",W,4,13,1,4,2,0.072727273,0,0.285714286,0.358441558,L1__r1__c13__l0,1,W,TRUE,TRUE,L1__block1__sideW__depth1__level2,A_reserve_deterministic_sort,TRUE,TRUE,assigned,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A002,A,2,2,0.04,7,6,1,L1__r5__c13__l2,5,13,2,1,51,two_sided,2,"E,W",W,5,13,1,4,2,0.072727273,0,0.285714286,0.358441558,L1__r2__c13__l0,1,W,TRUE,TRUE,L1__block1__sideW__depth1__level2,A_reserve_deterministic_sort,TRUE,TRUE,assigned,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A002,A,2,2,0.04,7,6,2,L1__r6__c13__l2,6,13,2,1,51,two_sided,2,"E,W",W,6,13,1,4,2,0.072727273,0,0.285714286,0.358441558,L1__r2__c13__l0,1,W,TRUE,TRUE,L1__block1__sideW__depth1__level2,A_reserve_deterministic_sort,TRUE,TRUE,assigned,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A002,A,2,2,0.04,7,6,3,L1__r7__c13__l2,7,13,2,1,51,two_sided,2,"E,W",W,7,13,1,4,2,0.072727273,0,0.285714286,0.358441558,L1__r2__c13__l0,1,W,TRUE,TRUE,L1__block1__sideW__depth1__level2,A_reserve_deterministic_sort,TRUE,TRUE,assigned,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,SKU_A002,A,2,2,0.04,7,6,4,L1__r8__c13__l2,8,13,2,1,51,two_sided,2,"E,W",W,8,13,1,4,2,0.072727273,0,0.285714286,0.358441558,L1__r2__c13__l0,1,W,TRUE,TRUE,L1__block1__sideW__depth1__level2,A_reserve_deterministic_sort,TRUE,TRUE,assigned,
