regime,lambda_case_id,lambda_depth,lambda_level,selection_label,workload_seed_id,rng_seed,orders_count,order_lines_count,mean_order_lambda_access_effort_sum,mean_order_lambda_access_effort_mean,mean_line_lambda_access_effort,seed_status,seed_warning
A,A2_lower_level_penalty,1,0.5,L1,1,20260618,1000,3046,0.498451298701,0.161788203463,0.163641266809,ok,
A,A2_lower_level_penalty,1,0.5,L1,2,20260619,1000,3031,0.550906493507,0.178699891775,0.181757338669,ok,
A,A2_lower_level_penalty,1,0.5,L1,3,20260620,1000,2988,0.51887987013,0.171966255411,0.17365457501,ok,
A,A2_lower_level_penalty,1,0.5,L1,4,20260621,1000,3085,0.51,0.164982467532,0.165316045381,ok,
A,A2_lower_level_penalty,1,0.5,L1,5,20260622,1000,3039,0.509261038961,0.168631103896,0.167575202027,ok,
A,A2_lower_level_penalty,1,0.5,L1,6,20260623,1000,3009,0.516484415584,0.167616980519,0.171646532265,ok,
A,A2_lower_level_penalty,1,0.5,L1,7,20260624,1000,2998,0.507405844156,0.168795703463,0.169248113461,ok,
A,A2_lower_level_penalty,1,0.5,L1,8,20260625,1000,2990,0.518395454546,0.176974751082,0.173376406203,ok,
A,A2_lower_level_penalty,1,0.5,L1,9,20260626,1000,2976,0.520575324675,0.175050681818,0.174924504259,ok,
A,A2_lower_level_penalty,1,0.5,L1,10,20260627,1000,3017,0.515016233766,0.174367608225,0.170704751,ok,
A,A2_lower_level_penalty,1,0.5,L1,11,20260628,1000,3010,0.55327012987,0.187410183983,0.183810674375,ok,
A,A2_lower_level_penalty,1,0.5,L1,12,20260629,1000,2972,0.524927272727,0.179055714286,0.176624250581,ok,
A,A2_lower_level_penalty,1,0.5,L1,13,20260630,1000,3021,0.515500649351,0.169264458874,0.17063907625,ok,
A,A2_lower_level_penalty,1,0.5,L1,14,20260631,1000,2940,0.533542857143,0.175851991342,0.181477162294,ok,
A,A2_lower_level_penalty,1,0.5,L1,15,20260632,1000,3091,0.552754545455,0.176021363636,0.178827093321,ok,
A,A2_lower_level_penalty,1,0.5,L1,16,20260633,1000,3034,0.494721428571,0.159535054113,0.163059139279,ok,
A,A2_lower_level_penalty,1,0.5,L1,17,20260634,1000,3025,0.496875324675,0.169224556277,0.164256305678,ok,
A,A2_lower_level_penalty,1,0.5,L1,18,20260635,1000,2996,0.50762987013,0.179934729437,0.169435871205,ok,
A,A2_lower_level_penalty,1,0.5,L1,19,20260636,1000,3037,0.529092857143,0.168461525974,0.174215626323,ok,
