regime,lambda_case_id,lambda_depth,lambda_level,is_baseline_lambda,selection_label,selection_type,layout_signature,seed,rank,representative_lambda_cost,mean_order_lambda_access_effort_sum,std_order_lambda_access_effort_sum_across_seeds,ci95_order_lambda_access_effort_sum_halfwidth,mean_line_lambda_access_effort,reserve_lambda_access_cost,interior_deep_slot_share,upper_level_slot_share,reserve_deep_pallet_share,reserve_upper_level_pallet_share,reserve_fragmentation_proxy,same_block_reserve_share,same_side_reserve_share,rank_by_representative_lambda_cost,rank_by_mean_order_lambda_access_effort_sum,rank_by_mean_line_lambda_access_effort,rank_by_reserve_lambda_access_cost,rank_by_interior_deep_slot_share,rank_by_reserve_fragmentation_proxy,baseline_rank_reference,ranking_changed_vs_baseline,sensitivity_status,sensitivity_warning
A,A2_lower_level_penalty,1,0.5,false,L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,0.169041558442,0.518850281385,0.0191636927166,0.00685763936685,0.172195947547,,,,,,,,,2,2,2,,,,2,false,ok,
A,A2_lower_level_penalty,1,0.5,false,L2,deep-block / reserve-oriented,76cdc821160b1fd8a5952575af463e70cb84ba4e,120,3,0.21447012987,0.65701969697,0.0223973988168,0.00801480623345,0.21805728173,,,,,,,,,4,4,4,,,,4,false,ok,
A,A2_lower_level_penalty,1,0.5,false,L3,high-capacity balanced,fc4825140fa5e2560776b4b932f5ef46c1588f36,105,0,0.155850649351,0.478143138528,0.0175912084237,0.00629493308939,0.1586914769,,,,,,,,,1,1,1,,,,1,false,ok,
A,A2_lower_level_penalty,1,0.5,false,L4,intermediate accessibility-capacity compromise,31618e0fa9e7ba38a349d70c4dff96d8a35cbd09,105,0,0.170423376623,0.523206341991,0.0194726443118,0.00696819627532,0.173640371728,,,,,,,,,3,3,3,,,,3,false,ok,
A,A1_baseline,1,1,true,L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,0.200255844156,0.616109805195,0.0239920673434,0.00858545103696,0.204472105457,,,,,,,,,2,2,2,,,,2,false,ok,
A,A1_baseline,1,1,true,L2,deep-block / reserve-oriented,76cdc821160b1fd8a5952575af463e70cb84ba4e,120,3,0.239612987013,0.735436363637,0.0271892173437,0.00972953647122,0.244083236693,,,,,,,,,4,4,4,,,,4,false,ok,
A,A1_baseline,1,1,true,L3,high-capacity balanced,fc4825140fa5e2560776b4b932f5ef46c1588f36,105,0,0.185064935065,0.569495519481,0.0226027104583,0.00808827606079,0.189010528934,,,,,,,,,1,1,1,,,,1,false,ok,
A,A1_baseline,1,1,true,L4,intermediate accessibility-capacity compromise,31618e0fa9e7ba38a349d70c4dff96d8a35cbd09,105,0,0.201637662338,0.620449199134,0.0242934643774,0.00869330458045,0.205911074213,,,,,,,,,3,3,3,,,,3,false,ok,
A,A3_lower_depth_penalty,0.5,1,false,L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,0.180505844156,0.554538971862,0.0200261751679,0.00716627474829,0.184035972151,,,,,,,,,2,2,2,,,,2,false,ok,
A,A3_lower_depth_penalty,0.5,1,false,L2,deep-block / reserve-oriented,76cdc821160b1fd8a5952575af463e70cb84ba4e,120,3,0.214612987013,0.657586363637,0.0219212758038,0.00784442780138,0.218244519737,,,,,,,,,4,4,4,,,,4,false,ok,
A,A3_lower_depth_penalty,0.5,1,false,L3,high-capacity balanced,fc4825140fa5e2560776b4b932f5ef46c1588f36,105,0,0.170564935065,0.524358019481,0.0198995109076,0.00712094852486,0.174029585576,,,,,,,,,1,1,1,,,,1,false,ok,
A,A3_lower_depth_penalty,0.5,1,false,L4,intermediate accessibility-capacity compromise,31618e0fa9e7ba38a349d70c4dff96d8a35cbd09,105,0,0.181887662338,0.558878365801,0.0203739648052,0.00729072967161,0.185474940907,,,,,,,,,3,3,3,,,,3,false,ok,
A,A4_higher_depth_penalty,2,1,false,L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,0.239755844156,0.739251471861,0.0322009066042,0.0115229464406,0.245344372069,,,,,,,,,2,2,2,,,,2,false,ok,
A,A4_higher_depth_penalty,2,1,false,L2,deep-block / reserve-oriented,76cdc821160b1fd8a5952575af463e70cb84ba4e,120,3,0.289612987013,0.891136363637,0.0378886993675,0.0135582969412,0.295760670604,,,,,,,,,4,4,4,,,,4,false,ok,
A,A4_higher_depth_penalty,2,1,false,L3,high-capacity balanced,fc4825140fa5e2560776b4b932f5ef46c1588f36,105,0,0.214064935065,0.659770519481,0.0282290623522,0.0101016402286,0.218972415649,,,,,,,,,1,1,1,,,,1,false,ok,
A,A4_higher_depth_penalty,2,1,false,L4,intermediate accessibility-capacity compromise,31618e0fa9e7ba38a349d70c4dff96d8a35cbd09,105,0,0.241137662338,0.743590865801,0.03244158187,0.0116090709784,0.246783340826,,,,,,,,,3,3,3,,,,3,false,ok,
A,A5_higher_level_penalty,1,2,false,L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,0.262684415584,0.810628852814,0.0337724220662,0.0120853060263,0.269024421277,,,,,,,,,2,2,2,,,,2,false,ok,
A,A5_higher_level_penalty,1,2,false,L2,deep-block / reserve-oriented,76cdc821160b1fd8a5952575af463e70cb84ba4e,120,3,0.289898701299,0.89226969697,0.0368980120298,0.0132037840303,0.296135146619,,,,,,,,,4,4,4,,,,4,false,ok,
A,A5_higher_level_penalty,1,2,false,L3,high-capacity balanced,fc4825140fa5e2560776b4b932f5ef46c1588f36,105,0,0.243493506494,0.752200281385,0.0328105402919,0.011741101054,0.249648633001,,,,,,,,,1,1,1,,,,1,false,ok,
A,A5_higher_level_penalty,1,2,false,L4,intermediate accessibility-capacity compromise,31618e0fa9e7ba38a349d70c4dff96d8a35cbd09,105,0,0.264066233766,0.81493491342,0.0340702302052,0.0121918753002,0.270452479184,,,,,,,,,3,3,3,,,,3,false,ok,
B,B1_baseline,0.1,0.1,true,L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,,,,,,0.457587050631,0.232142857143,0.625,0.217391304348,0.585507246377,1.74,0.684057971014,0.576811594203,,,,4,4,3,4,false,ok,
B,B1_baseline,0.1,0.1,true,L2,deep-block / reserve-oriented,76cdc821160b1fd8a5952575af463e70cb84ba4e,120,3,,,,,,0.309275832863,0.283227848101,0.625,0.271014492754,0.372463768116,1.25,0.8,0.786956521739,,,,2,1,1,2,false,ok,
