sku_id,sku_class,class_index,global_sku_index,class_sku_count,class_demand_share,demand_weight,pallets_per_sku,total_pallets_for_sku,representative_access_pallets,reserve_pallets,preferred_representative_levels,preferred_reserve_levels,allocation_priority,demand_assignment_rule,pallet_quantity_rule,sku_catalog_seed
SKU_A001,A,1,1,20,0.80,0.04,7,7,1,6,0-1,0-2_preferred_overflow_allowed,1,deterministic_equal_within_class,fixed_by_class,20260617
SKU_A002,A,2,2,20,0.80,0.04,7,7,1,6,0-1,0-2_preferred_overflow_allowed,2,deterministic_equal_within_class,fixed_by_class,20260617
SKU_A003,A,3,3,20,0.80,0.04,7,7,1,6,0-1,0-2_preferred_overflow_allowed,3,deterministic_equal_within_class,fixed_by_class,20260617
SKU_A004,A,4,4,20,0.80,0.04,7,7,1,6,0-1,0-2_preferred_overflow_allowed,4,deterministic_equal_within_class,fixed_by_class,20260617
SKU_A005,A,5,5,20,0.80,0.04,7,7,1,6,0-1,0-2_preferred_overflow_allowed,5,deterministic_equal_within_class,fixed_by_class,20260617
SKU_A006,A,6,6,20,0.80,0.04,7,7,1,6,0-1,0-2_preferred_overflow_allowed,6,deterministic_equal_within_class,fixed_by_class,20260617
SKU_A007,A,7,7,20,0.80,0.04,7,7,1,6,0-1,0-2_preferred_overflow_allowed,7,deterministic_equal_within_class,fixed_by_class,20260617
SKU_A008,A,8,8,20,0.80,0.04,7,7,1,6,0-1,0-2_preferred_overflow_allowed,8,deterministic_equal_within_class,fixed_by_class,20260617
SKU_A009,A,9,9,20,0.80,0.04,7,7,1,6,0-1,0-2_preferred_overflow_allowed,9,deterministic_equal_within_class,fixed_by_class,20260617
SKU_A010,A,10,10,20,0.80,0.04,7,7,1,6,0-1,0-2_preferred_overflow_allowed,10,deterministic_equal_within_class,fixed_by_class,20260617
SKU_A011,A,11,11,20,0.80,0.04,7,7,1,6,0-1,0-2_preferred_overflow_allowed,11,deterministic_equal_within_class,fixed_by_class,20260617
SKU_A012,A,12,12,20,0.80,0.04,7,7,1,6,0-1,0-2_preferred_overflow_allowed,12,deterministic_equal_within_class,fixed_by_class,20260617
SKU_A013,A,13,13,20,0.80,0.04,7,7,1,6,0-1,0-2_preferred_overflow_allowed,13,deterministic_equal_within_class,fixed_by_class,20260617
SKU_A014,A,14,14,20,0.80,0.04,7,7,1,6,0-1,0-2_preferred_overflow_allowed,14,deterministic_equal_within_class,fixed_by_class,20260617
SKU_A015,A,15,15,20,0.80,0.04,7,7,1,6,0-1,0-2_preferred_overflow_allowed,15,deterministic_equal_within_class,fixed_by_class,20260617
SKU_A016,A,16,16,20,0.80,0.04,7,7,1,6,0-1,0-2_preferred_overflow_allowed,16,deterministic_equal_within_class,fixed_by_class,20260617
SKU_A017,A,17,17,20,0.80,0.04,7,7,1,6,0-1,0-2_preferred_overflow_allowed,17,deterministic_equal_within_class,fixed_by_class,20260617
SKU_A018,A,18,18,20,0.80,0.04,7,7,1,6,0-1,0-2_preferred_overflow_allowed,18,deterministic_equal_within_class,fixed_by_class,20260617
SKU_A019,A,19,19,20,0.80,0.04,7,7,1,6,0-1,0-2_preferred_overflow_allowed,19,deterministic_equal_within_class,fixed_by_class,20260617
SKU_A020,A,20,20,20,0.80,0.04,7,7,1,6,0-1,0-2_preferred_overflow_allowed,20,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B001,B,1,21,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,21,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B002,B,2,22,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,22,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B003,B,3,23,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,23,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B004,B,4,24,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,24,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B005,B,5,25,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,25,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B006,B,6,26,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,26,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B007,B,7,27,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,27,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B008,B,8,28,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,28,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B009,B,9,29,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,29,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B010,B,10,30,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,30,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B011,B,11,31,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,31,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B012,B,12,32,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,32,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B013,B,13,33,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,33,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B014,B,14,34,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,34,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B015,B,15,35,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,35,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B016,B,16,36,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,36,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B017,B,17,37,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,37,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B018,B,18,38,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,38,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B019,B,19,39,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,39,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B020,B,20,40,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,40,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B021,B,21,41,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,41,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B022,B,22,42,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,42,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B023,B,23,43,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,43,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B024,B,24,44,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,44,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B025,B,25,45,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,45,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B026,B,26,46,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,46,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B027,B,27,47,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,47,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B028,B,28,48,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,48,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B029,B,29,49,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,49,deterministic_equal_within_class,fixed_by_class,20260617
SKU_B030,B,30,50,30,0.15,0.005,15,15,1,14,0-2,0-3_preferred_overflow_allowed,50,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C001,C,1,51,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,51,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C002,C,2,52,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,52,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C003,C,3,53,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,53,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C004,C,4,54,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,54,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C005,C,5,55,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,55,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C006,C,6,56,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,56,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C007,C,7,57,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,57,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C008,C,8,58,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,58,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C009,C,9,59,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,59,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C010,C,10,60,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,60,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C011,C,11,61,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,61,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C012,C,12,62,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,62,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C013,C,13,63,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,63,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C014,C,14,64,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,64,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C015,C,15,65,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,65,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C016,C,16,66,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,66,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C017,C,17,67,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,67,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C018,C,18,68,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,68,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C019,C,19,69,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,69,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C020,C,20,70,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,70,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C021,C,21,71,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,71,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C022,C,22,72,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,72,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C023,C,23,73,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,73,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C024,C,24,74,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,74,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C025,C,25,75,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,75,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C026,C,26,76,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,76,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C027,C,27,77,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,77,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C028,C,28,78,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,78,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C029,C,29,79,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,79,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C030,C,30,80,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,80,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C031,C,31,81,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,81,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C032,C,32,82,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,82,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C033,C,33,83,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,83,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C034,C,34,84,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,84,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C035,C,35,85,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,85,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C036,C,36,86,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,86,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C037,C,37,87,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,87,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C038,C,38,88,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,88,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C039,C,39,89,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,89,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C040,C,40,90,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,90,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C041,C,41,91,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,91,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C042,C,42,92,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,92,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C043,C,43,93,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,93,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C044,C,44,94,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,94,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C045,C,45,95,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,95,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C046,C,46,96,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,96,deterministic_equal_within_class,fixed_by_class,20260617
SKU_C047,C,47,97,50,0.05,0.001,4,4,1,3,any,3-7_preferred_deeper_upper_allowed,97,deterministic_equal_within_class,fixed_by_class,20260617
