selection_label,selection_type,layout_signature,seed,rank,candidate_id,layout_id,archive_key,row,col,level,block_id,block_size,access_type,access_side_count,access_sides,effective_access_side,effective_pick_face_row,effective_pick_face_col,effective_depth,horizontal_access_distance,vertical_level,normalized_distance,normalized_depth,normalized_level,slot_cost,storage_cells_layout,pick_faces_layout,interior_deep_storage_share_layout,retrieval_penalty_layout,mean_depth_layout,max_depth_layout,largest_block_size_layout,pallet_slot_capacity_layout,slot_metric_status,slot_metric_warning
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,13,0,1,51,two_sided,2,"E,W",W,1,13,1,4,0,0.072727273,0,0,0.072727273,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,13,1,1,51,two_sided,2,"E,W",W,1,13,1,4,1,0.072727273,0,0.142857143,0.215584416,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,13,2,1,51,two_sided,2,"E,W",W,1,13,1,4,2,0.072727273,0,0.285714286,0.358441558,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,13,3,1,51,two_sided,2,"E,W",W,1,13,1,4,3,0.072727273,0,0.428571429,0.501298701,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,13,4,1,51,two_sided,2,"E,W",W,1,13,1,4,4,0.072727273,0,0.571428571,0.644155844,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,13,5,1,51,two_sided,2,"E,W",W,1,13,1,4,5,0.072727273,0,0.714285714,0.787012987,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,13,6,1,51,two_sided,2,"E,W",W,1,13,1,4,6,0.072727273,0,0.857142857,0.92987013,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,13,7,1,51,two_sided,2,"E,W",W,1,13,1,4,7,0.072727273,0,1,1.072727273,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,14,0,1,51,two_sided,2,"E,W",E,1,14,1,36,0,0.654545455,0,0,0.654545455,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,14,1,1,51,two_sided,2,"E,W",E,1,14,1,36,1,0.654545455,0,0.142857143,0.797402597,560,270,0.517857143,341,1.8375,5,119,4480,ok,
