workload_seed_id,rng_seed,order_id,order_index_within_seed,line_index,line_count,sku_id,sku_class,demand_weight,sampling_rule,line_generation_status,line_generation_warning
1,20260618,W001__O0001,1,1,5,SKU_A014,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0001,1,2,5,SKU_A017,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0001,1,3,5,SKU_A007,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0001,1,4,5,SKU_A012,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0001,1,5,5,SKU_A013,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0002,2,1,1,SKU_B013,B,0.005,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0003,3,1,5,SKU_A003,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0003,3,2,5,SKU_B030,B,0.005,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0003,3,3,5,SKU_B015,B,0.005,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0003,3,4,5,SKU_A012,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0003,3,5,5,SKU_B014,B,0.005,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0004,4,1,5,SKU_A016,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0004,4,2,5,SKU_A009,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0004,4,3,5,SKU_A007,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0004,4,4,5,SKU_A003,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0004,4,5,5,SKU_A013,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0005,5,1,5,SKU_A017,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0005,5,2,5,SKU_B009,B,0.005,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0005,5,3,5,SKU_A007,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0005,5,4,5,SKU_A013,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0005,5,5,5,SKU_A016,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0006,6,1,4,SKU_A012,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0006,6,2,4,SKU_A003,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0006,6,3,4,SKU_A011,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0006,6,4,4,SKU_A005,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0007,7,1,5,SKU_A013,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0007,7,2,5,SKU_C035,C,0.001,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0007,7,3,5,SKU_A017,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0007,7,4,5,SKU_A008,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0007,7,5,5,SKU_A014,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0008,8,1,3,SKU_C022,C,0.001,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0008,8,2,3,SKU_A003,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0008,8,3,3,SKU_B026,B,0.005,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0009,9,1,4,SKU_A017,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0009,9,2,4,SKU_A020,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0009,9,3,4,SKU_A004,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0009,9,4,4,SKU_A015,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0010,10,1,4,SKU_A019,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0010,10,2,4,SKU_A016,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0010,10,3,4,SKU_A001,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0010,10,4,4,SKU_A007,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0011,11,1,5,SKU_B009,B,0.005,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0011,11,2,5,SKU_A006,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0011,11,3,5,SKU_A011,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0011,11,4,5,SKU_A005,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0011,11,5,5,SKU_B012,B,0.005,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0012,12,1,4,SKU_A003,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0012,12,2,4,SKU_A006,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0012,12,3,4,SKU_A018,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0012,12,4,4,SKU_A004,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0013,13,1,4,SKU_A001,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0013,13,2,4,SKU_A017,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0013,13,3,4,SKU_B018,B,0.005,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0013,13,4,4,SKU_A012,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0014,14,1,3,SKU_A013,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0014,14,2,3,SKU_B024,B,0.005,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0014,14,3,3,SKU_A015,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0015,15,1,4,SKU_B016,B,0.005,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0015,15,2,4,SKU_A007,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0015,15,3,4,SKU_A016,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0015,15,4,4,SKU_A009,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0016,16,1,1,SKU_A015,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0017,17,1,5,SKU_A015,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0017,17,2,5,SKU_A018,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0017,17,3,5,SKU_A009,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0017,17,4,5,SKU_A012,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0017,17,5,5,SKU_A011,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0018,18,1,4,SKU_B011,B,0.005,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0018,18,2,4,SKU_A001,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0018,18,3,4,SKU_A004,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0018,18,4,4,SKU_A014,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0019,19,1,4,SKU_A003,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0019,19,2,4,SKU_A009,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0019,19,3,4,SKU_C049,C,0.001,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0019,19,4,4,SKU_A008,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0020,20,1,4,SKU_A016,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0020,20,2,4,SKU_A010,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0020,20,3,4,SKU_A019,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0020,20,4,4,SKU_A004,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0021,21,1,5,SKU_A010,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0021,21,2,5,SKU_B005,B,0.005,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0021,21,3,5,SKU_B001,B,0.005,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0021,21,4,5,SKU_A005,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0021,21,5,5,SKU_B020,B,0.005,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0022,22,1,2,SKU_A016,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0022,22,2,2,SKU_A015,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0023,23,1,5,SKU_A006,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0023,23,2,5,SKU_A019,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0023,23,3,5,SKU_B029,B,0.005,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0023,23,4,5,SKU_A010,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0023,23,5,5,SKU_A001,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0024,24,1,5,SKU_A012,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0024,24,2,5,SKU_A013,A,0.04,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0024,24,3,5,SKU_C002,C,0.001,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0024,24,4,5,SKU_B009,B,0.005,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0024,24,5,5,SKU_B012,B,0.005,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0025,25,1,4,SKU_B007,B,0.005,abc_demand_weighted_without_replacement_within_order,generated,
1,20260618,W001__O0025,25,2,4,SKU_C043,C,0.001,abc_demand_weighted_without_replacement_within_order,generated,
