review_id,layout_signature_short,layout_signature,seed,rank,candidate_id,layout_id,archive_key,storage_cells,pick_faces,interior_deep_storage_cells,interior_deep_storage_share,retrieval_penalty,mean_depth,max_depth,largest_block_size,pick_face_density,pallet_slot_capacity,objective_vector,door_connectivity_index,access_anchor_connectivity_index,is_feasible,suggested_archetype_flags,selection_candidate_for,manual_visual_status,manual_visual_note,score_L1_accessibility,score_L2_dense_deep,score_L3_high_capacity_balanced,score_L4_intermediate,candidate_rank_L1,candidate_rank_L2,candidate_rank_L3,candidate_rank_L4,phase,method_slug,method_name,instance_slug,instance_name,archive_entry_index,source_generation,source_candidate_index,run_folder,archive_index_path,archive_npz_path,candidates_csv_path
U01,1fa9344c00a9,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,560,270,290,0.517857143,341,1.8375,5,119,0.482142857,4480,"[290,341.0,270]",1,1,,top5_L1;selected_L1,L1,not_reviewed,,0.93,0.150769231,0.542384615,0.727384615,1,38,21,11,p11,nsga2,proposed_nsga2_bs,KOV_WH_N_AW4,Gyorgy-KOVACS_WH_Narrow_AW_4,20,4,,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s101/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_101,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s101/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_101/final_ranked_layouts_index.json,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s101/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_101/final_ranked_layouts.npz,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s101/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_101/candidates.csv
U02,fea701f05838,fea701f0583835df4b444390b8a258baa8ff22f2,105,0,1,final_rank_00_layout_001,final_rank_00_layout_001,616,248,368,0.597402597,359,1.842532468,5,103,0.402597403,4928,"[368,359.0,248]",1,1,,,,not_reviewed,,0.636002137,0.441639833,0.692615844,0.688070261,6,25,10,12,p11,nsga2,proposed_nsga2_bs,KOV_WH_N_AW4,Gyorgy-KOVACS_WH_Narrow_AW_4,0,0,,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/final_ranked_layouts_index.json,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/final_ranked_layouts.npz,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/candidates.csv
U03,31618e0fa9e7,31618e0fa9e7ba38a349d70c4dff96d8a35cbd09,105,0,11,final_rank_00_layout_003,final_rank_00_layout_003,600,256,344,0.573333333,444,1.881666667,5,111,0.426666667,4800,"[344,444.0,256]",1,1,,top5_L1;top5_L4,L1;L4,not_reviewed,,0.657176141,0.362748667,0.567805214,0.860620723,5,33,19,3,p11,nsga2,proposed_nsga2_bs,KOV_WH_N_AW4,Gyorgy-KOVACS_WH_Narrow_AW_4,14,1,,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/final_ranked_layouts_index.json,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/final_ranked_layouts.npz,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/candidates.csv
U04,9ee2190bb5e6,9ee2190bb5e677e5dd6004d3c767bf39ff3449fb,112,0,19,final_rank_00_layout_002,final_rank_00_layout_002,592,261,331,0.559121622,462,1.9375,5,119,0.440878378,4736,"[331,462.0,261]",1,1,,top5_L1;top5_L4;selected_L4,L1;L4,not_reviewed,,0.663906721,0.327136509,0.501879471,0.874308783,3,36,26,1,p11,nsga2,proposed_nsga2_bs,KOV_WH_N_AW4,Gyorgy-KOVACS_WH_Narrow_AW_4,8,0,,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s112/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_112,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s112/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_112/final_ranked_layouts_index.json,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s112/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_112/final_ranked_layouts.npz,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s112/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_112/candidates.csv
U05,eef866e48d56,eef866e48d563b788dc6683537da31dffdbde584,112,0,20,final_rank_00_layout_003,final_rank_00_layout_003,592,261,331,0.559121622,462,1.944256757,5,119,0.440878378,4736,"[331,462.0,261]",1,1,,top5_L1;top5_L4,L1;L4,not_reviewed,,0.659001496,0.327136509,0.497519272,0.870493608,4,37,30,2,p11,nsga2,proposed_nsga2_bs,KOV_WH_N_AW4,Gyorgy-KOVACS_WH_Narrow_AW_4,9,0,,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s112/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_112,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s112/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_112/final_ranked_layouts_index.json,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s112/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_112/final_ranked_layouts.npz,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s112/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_112/candidates.csv
U06,fc4825140fa5,fc4825140fa5e2560776b4b932f5ef46c1588f36,105,0,7,final_rank_00_layout_002,final_rank_00_layout_002,680,262,418,0.614705882,472,1.85,4,155,0.385294118,5440,"[418,472.0,262]",1,1,,top5_L1;top5_L3;selected_L3,L1;L3,not_reviewed,,0.690647923,0.718761595,0.846284951,0.641945847,2,10,1,17,p11,nsga2,proposed_nsga2_bs,KOV_WH_N_AW4,Gyorgy-KOVACS_WH_Narrow_AW_4,2,0,,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/final_ranked_layouts_index.json,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/final_ranked_layouts.npz,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/candidates.csv
U07,fc0563743447,fc0563743447995c195c8e655d4713bfa38a660a,111,0,18,final_rank_00_layout_003,final_rank_00_layout_003,608,261,347,0.570723684,509,1.988486842,5,119,0.429276316,4864,"[347,509.0,261]",1,1,,top5_L4,L4,not_reviewed,,0.580530141,0.39931412,0.489826444,0.836619638,12,31,32,5,p11,nsga2,proposed_nsga2_bs,KOV_WH_N_AW4,Gyorgy-KOVACS_WH_Narrow_AW_4,22,8,,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s111/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_111,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s111/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_111/final_ranked_layouts_index.json,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s111/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_111/final_ranked_layouts.npz,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s111/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_111/candidates.csv
U08,d2639598346d,d2639598346d928e888eed00783b6a7bbed4ddb8,105,1,2,final_rank_01_layout_001,final_rank_01_layout_001,616,248,368,0.597402597,413,1.871753247,5,103,0.402597403,4928,"[368,413.0,248]",1,1,,,,not_reviewed,,0.567297726,0.426639833,0.628413943,0.735987833,13,28,13,9,p11,nsga2,proposed_nsga2_bs,KOV_WH_N_AW4,Gyorgy-KOVACS_WH_Narrow_AW_4,1,0,,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/final_ranked_layouts_index.json,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/final_ranked_layouts.npz,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/candidates.csv
U09,0a34358c5c0e,0a34358c5c0e9deafcc5aa5bce9593a6a002f13b,102,1,9,final_rank_01_layout_001,final_rank_01_layout_001,648,232,416,0.641975309,443,1.970679012,5,155,0.358024691,5184,"[416,443.0,232]",1,1,,,,not_reviewed,,0.301388334,0.708870968,0.698165648,0.545810998,32,11,9,32,p11,nsga2,proposed_nsga2_bs,KOV_WH_N_AW4,Gyorgy-KOVACS_WH_Narrow_AW_4,4,0,,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s102/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_102,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s102/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_102/final_ranked_layouts_index.json,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s102/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_102/final_ranked_layouts.npz,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s102/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_102/candidates.csv
U10,c31e5af53b1a,c31e5af53b1ab973249c91c35b02a53fe27d43b5,111,1,20,final_rank_01_layout_009,final_rank_01_layout_009,640,243,397,0.6203125,467,1.9296875,5,103,0.3796875,5120,"[397,467.0,243]",1,1,,,,not_reviewed,,0.424501201,0.544667092,0.633102319,0.667211656,20,20,12,15,p11,nsga2,proposed_nsga2_bs,KOV_WH_N_AW4,Gyorgy-KOVACS_WH_Narrow_AW_4,19,3,,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s111/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_111,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s111/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_111/final_ranked_layouts_index.json,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s111/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_111/final_ranked_layouts.npz,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s111/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_111/candidates.csv
