phase,method_or_variant,instance,seed,generation_objectives_csv,row_count
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,101,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\generation_objectives.csv,44
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,102,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s102\runs\AT_S_comercial_layout_AW_3\seed_102\generation_objectives.csv,55
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,103,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s103\runs\AT_S_comercial_layout_AW_3\seed_103\generation_objectives.csv,55
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,104,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s104\runs\AT_S_comercial_layout_AW_3\seed_104\generation_objectives.csv,44
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,105,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s105\runs\AT_S_comercial_layout_AW_3\seed_105\generation_objectives.csv,58
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,106,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s106\runs\AT_S_comercial_layout_AW_3\seed_106\generation_objectives.csv,67
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,107,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s107\runs\AT_S_comercial_layout_AW_3\seed_107\generation_objectives.csv,54
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,108,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s108\runs\AT_S_comercial_layout_AW_3\seed_108\generation_objectives.csv,59
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,109,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s109\runs\AT_S_comercial_layout_AW_3\seed_109\generation_objectives.csv,56
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,110,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s110\runs\AT_S_comercial_layout_AW_3\seed_110\generation_objectives.csv,57
