phase,method_or_variant,method_label,instance,instance_label,index,n,hv_mean,hv_std,hv_median,hv_q25,hv_q75,hv_min,hv_max,n_carried_forward
phase11,bs_only_direct,BS-only,AT_S_comercial_layout_AW_3,Atefeh,0,30,0.6028795534665103,1.1292025708167404e-16,0.6028795534665102,0.6028795534665102,0.6028795534665102,0.6028795534665102,0.6028795534665102,0
phase11,bs_only_direct,BS-only,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,0,30,0.08211876978742659,0.0,0.08211876978742659,0.08211876978742659,0.08211876978742659,0.08211876978742659,0.08211876978742659,0
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,0,30,0.950087403708056,0.13942770284627506,0.9710498433215826,0.8862544800235019,1.046983157070114,0.5727943595769684,1.1706934978456722,0
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,1,30,1.0034918918918923,0.10740542994638713,1.0238767626321976,0.9493623188405798,1.0742900019584805,0.6381230904817863,1.175019291030161,0
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,2,30,1.0206940135787965,0.1046995485436437,1.0338191343517433,0.9664220280062673,1.0746682334508424,0.6381230904817863,1.175019291030161,0
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,3,30,1.0301692224833532,0.10398594944217217,1.0363794555424992,0.9681152810419118,1.0746682334508424,0.659235507246377,1.175019291030161,0
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,4,30,1.0500559668364018,0.09806225676723937,1.0363794555424992,0.9746162358010186,1.117924916764591,0.8457377594986294,1.2514159811985903,0
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,5,30,1.058192303172738,0.09676393791191358,1.0432570994907953,0.9746162358010186,1.147964355660008,0.9100573834704271,1.2514159811985903,0
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,6,30,1.058192303172738,0.09676393791191358,1.0432570994907953,0.9746162358010186,1.147964355660008,0.9100573834704271,1.2514159811985903,0
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,7,30,1.06637836205771,0.0993238273886527,1.0580059244026638,0.9884985556208384,1.1548856247551902,0.9100573834704271,1.2514159811985903,0
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,8,30,1.0702423292858076,0.09565139457721826,1.0580059244026638,1.0104206815511168,1.1548856247551902,0.9100573834704271,1.2514159811985903,0
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,9,30,1.0715493634939288,0.0969965748790332,1.0580059244026638,1.0104206815511168,1.1548856247551902,0.9100573834704271,1.2514159811985903,0
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,10,30,1.0770363918266095,0.0920772864930627,1.0702726694085394,1.0123370789267532,1.1548856247551902,0.9269473168820999,1.2514159811985903,0
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,11,30,1.077784273403839,0.09253354012874386,1.0702726694085394,1.0123370789267532,1.1548856247551902,0.9269473168820999,1.2514159811985903,0
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,12,30,1.077784273403839,0.09253354012874386,1.0702726694085394,1.0123370789267532,1.1548856247551902,0.9269473168820999,1.2514159811985903,0
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,13,30,1.0779053956130047,0.0927707274336795,1.0702726694085394,1.0123370789267532,1.1548856247551902,0.9269473168820999,1.2550496474735608,0
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,14,30,1.0779053956130047,0.0927707274336795,1.0702726694085394,1.0123370789267532,1.1548856247551902,0.9269473168820999,1.2550496474735608,0
phase11,proposed_nsga2_bs,Prop. (Reference),Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,0,30,0.7590873024487952,0.5225807495820246,0.49578572074691507,0.35425619306067085,1.3310000000000004,0.09476173677069208,1.3310000000000004,0
phase11,proposed_nsga2_bs,Prop. (Reference),Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,1,30,0.919388098037949,0.4491658213052553,1.3310000000000004,0.47293831491891214,1.3310000000000004,0.31278168895780845,1.3310000000000004,0
phase11,proposed_nsga2_bs,Prop. (Reference),Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,2,30,0.9245059374125048,0.4428459897854458,1.3310000000000004,0.47293831491891214,1.3310000000000004,0.4005652645861604,1.3310000000000004,0
phase11,proposed_nsga2_bs,Prop. (Reference),Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,3,30,0.9629809980401027,0.4299761597521342,1.3310000000000004,0.4928026490922015,1.3310000000000004,0.4005652645861604,1.3310000000000004,0
phase11,proposed_nsga2_bs,Prop. (Reference),Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,4,30,0.9898925558355411,0.42678459446857914,1.3310000000000004,0.4928026490922015,1.3310000000000004,0.4005652645861604,1.3310000000000004,0
phase11,proposed_nsga2_bs,Prop. (Reference),Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,5,30,1.0209070470160024,0.41615639817647,1.3310000000000004,0.4949255734315438,1.3310000000000004,0.4005652645861604,1.3310000000000004,0
phase11,proposed_nsga2_bs,Prop. (Reference),Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,6,30,1.0209070470160024,0.41615639817647,1.3310000000000004,0.4949255734315438,1.3310000000000004,0.4005652645861604,1.3310000000000004,0
phase11,proposed_nsga2_bs,Prop. (Reference),Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,7,30,1.0209070470160024,0.41615639817647,1.3310000000000004,0.4949255734315438,1.3310000000000004,0.4005652645861604,1.3310000000000004,0
phase11,proposed_nsga2_bs,Prop. (Reference),Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,8,30,1.0219354009174908,0.41460585629876473,1.3310000000000004,0.4949255734315438,1.3310000000000004,0.4005652645861604,1.3310000000000004,0
phase11,proposed_nsga2_bs,Prop. (Reference),Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,9,30,1.0240637655876463,0.41161704612019423,1.3310000000000004,0.5068840763713901,1.3310000000000004,0.4314158816308072,1.3310000000000004,0
phase11,proposed_nsga2_bs,Prop. (Reference),Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,10,30,1.055215818741789,0.39781733282028503,1.3310000000000004,0.5411228823415393,1.3310000000000004,0.4314158816308072,1.3310000000000004,0
phase11,proposed_nsga2_bs,Prop. (Reference),Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,11,30,1.055215818741789,0.39781733282028503,1.3310000000000004,0.5411228823415393,1.3310000000000004,0.4314158816308072,1.3310000000000004,0
phase11,proposed_nsga2_bs,Prop. (Reference),Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,12,30,1.0797980943766021,0.3910320715275572,1.3310000000000004,0.5411228823415393,1.3310000000000004,0.4314158816308072,1.3310000000000004,0
phase11,proposed_nsga2_bs,Prop. (Reference),Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,13,30,1.0797980943766021,0.3910320715275572,1.3310000000000004,0.5411228823415393,1.3310000000000004,0.4314158816308072,1.3310000000000004,0
phase11,proposed_nsga2_bs,Prop. (Reference),Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,14,30,1.0797980943766021,0.3910320715275572,1.3310000000000004,0.5411228823415393,1.3310000000000004,0.4314158816308072,1.3310000000000004,0
phase11,proposed_nsga2_bs,Prop. (Reference),Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,15,30,1.0797980943766021,0.3910320715275572,1.3310000000000004,0.5411228823415393,1.3310000000000004,0.4314158816308072,1.3310000000000004,0
phase11,proposed_nsga2_bs,Prop. (Reference),Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,16,30,1.0797980943766021,0.3910320715275572,1.3310000000000004,0.5411228823415393,1.3310000000000004,0.4314158816308072,1.3310000000000004,0
