generation,n,mean_runtime_seconds,std_runtime_seconds,min_runtime_seconds,max_runtime_seconds
0,30,7.302696483333333,1.8727671541161022,3.5106751000000718,11.170357299999978
1,30,7.172711079999991,1.8526769394356286,4.391629400000056,13.716058599999997
2,30,7.205577973333322,1.3894076758158733,5.190068699999983,11.810075099999947
3,30,7.341633659999987,1.5454556717898582,4.369151899999906,11.091461499999925
4,30,7.164276289999987,1.6435934408231447,4.020757699999876,9.76807860000008
5,30,6.934526563333338,1.898371615751543,3.833274299999971,11.119559900000011
6,30,6.852328573333337,1.7553451889912877,3.90826160000006,10.883700699999965
7,30,6.732916806666666,1.8916866296654054,3.402360399999907,10.975179799999978
8,30,7.382099186666653,2.0718061101638408,3.805562699999996,11.65535060000002
9,30,8.053162390000015,2.3563929745824272,4.403279999999995,12.616225199999915
10,30,8.400989966666684,2.3152305659517967,4.705196899999919,14.024887700000136
11,30,8.435924169999998,2.2767873784520436,4.862528100000077,14.639216699999906
12,30,8.813970833333338,3.214431613138111,5.50051510000003,16.120136999999886
13,30,9.490510883333362,3.5609107194029943,5.356794200000195,18.53719860000001
14,30,9.808180129999998,3.6954449337331012,5.2405999999998585,19.44078830000012
