generation,n,mean_runtime_seconds,std_runtime_seconds,min_runtime_seconds,max_runtime_seconds
0,30,97.10234939000007,15.184682205552063,57.8828581000007,120.89272699999948
1,30,71.01936557999991,21.02885532674994,35.72940039999958,127.7458391
2,30,65.89059142333335,20.463550396630087,31.513121599999977,99.01446709999982
3,30,70.28283041666658,16.234833632998125,44.820847899999535,109.61895749999984
4,30,67.6573368633333,17.30536458227224,36.00331700000061,92.47305880000022
5,30,66.4819149366667,17.18450995701827,39.0540062,95.04727470000034
6,30,72.53840833666669,16.989127633732668,39.01739460000135,105.16717940000036
7,30,74.22422851666676,14.539224105670993,44.32506710000053,100.51353860000016
8,30,71.1313202633335,13.364733544129036,45.85280520000015,101.02068529999995
9,30,73.41851745333345,16.988994975558697,47.17745300000024,118.58216650000033
10,30,73.48898390333339,19.233547367447706,41.49030859999948,108.22043740000026
11,30,75.97275950666662,16.832321522710213,47.35694280000007,105.95359140000072
12,30,79.03216446333336,19.01904456354357,42.593497099999695,121.73881079999956
13,30,79.3776747199999,16.630627883051417,46.68668000000071,112.84751340000004
14,30,80.48521810666668,15.066479258588048,46.35816919999979,105.82902600000034
15,30,83.2375802166666,16.465345208309714,53.12976270000036,120.4157137000002
16,30,79.4954429666666,22.106974735464778,38.10760990000017,130.89005850000012
17,30,77.74045589666652,17.892580187580208,32.81001490000017,113.52418919999946
