source,design_id,interior_storage,pick_faces,retrieval_penalty,nondominated_in_pooled_union
generated_rank0,11d3ebe88426626fb11b9066022940c913788a88,94.0,110.0,69.0,True
generated_rank0,313e3f681b33bc30f90444b0b1b5dd821fed5c79,107.0,115.0,74.0,True
generated_rank0,b41b2678f47c3e9bfe9aa6316c7790f5ace7089f,107.0,115.0,74.0,True
generated_rank0,a3c176d7f40788e3565d6526f1d91ac19fb1f315,96.0,114.0,86.0,False
generated_rank0,c562c8bb953d2297d61f115d49e5717b1b8b8d65,96.0,114.0,86.0,False
generated_rank0,02eb0b54c6dd00fb01351bf57377ea9aaccaed72,107.0,127.0,89.0,False
generated_rank0,9c4c7d4664dd2e14fd3642bd4fca39ea17719fdb,90.0,117.0,91.0,False
generated_rank0,d860c1ddcae8b37f2e7f66211c07ad1bba19949c,97.0,110.0,105.0,False
generated_rank0,d9549faf0bea0f6e65f7f02688ae4733a587568c,102.0,111.0,108.0,False
generated_rank0,7e8869a25bbd594ea7bf8339e2c84bdde246ab51,96.0,120.0,112.0,False
generated_rank0,819b823d42066f1be4d37e503ecee22d07e5a6b0,102.0,120.0,118.0,False
generated_rank0,c7821f85912c8e5c3b6ca7ddc3262e68ecac8a29,102.0,120.0,118.0,False
generated_rank0,4a49d458e8cad808e13f4554f8c864db2e9ad195,140.0,124.0,160.0,False
generated_rank0,e0361e9971d304707e8f559c487d90e24fd31ff5,140.0,124.0,160.0,False
generated_rank0,a359334c37accd32e3770b116cdabee633d77ada,98.0,97.0,168.0,False
generated_rank0,183311722f48149ec51b573d1a5f0e3981811496,100.0,110.0,195.0,False
generated_rank0,8fa87276d2b14fc4f92952c7fc191729e3f9d77e,121.0,125.0,220.0,False
generated_rank0,b7b547cb4691e62927f5ec7084cd7b1a79656bde,121.0,125.0,220.0,False
generated_rank0,e0fad9e658853185297715315da7e4e7f9350fec,121.0,125.0,220.0,False
generated_rank0,6ae8b1bd832fc740d0dfbc7e61143b8d5f7b71ea,140.0,124.0,220.0,False
generated_rank0,97e98cf5a19137e4615722da1bdb4778bc57cbe3,140.0,124.0,220.0,False
generated_rank0,bff1f598ae060a0390c10f5de0cbed5ac1213ca5,140.0,124.0,220.0,False
generated_rank0,cd1e51a231a34a7a16e55f52340d009aaca24055,140.0,124.0,220.0,False
published,AT_1,265.0,83.0,4324.0,False
published,AT_2,170.0,112.0,888.0,False
published,AT_3,190.0,110.0,1011.0,False
published,AT_4,195.0,108.0,1394.0,False
published,AT_5,160.0,119.0,765.0,False
published,AT_6,110.0,130.0,441.0,False
published,AT_7,130.0,128.0,585.0,False
published,AT_8,44.0,109.0,111.0,False
published,AT_9,210.0,102.0,2356.0,False
published,AT_10,133.0,131.0,1762.0,False
published,AT_11,100.0,146.0,837.0,False
published,AT_12,28.0,155.0,129.0,True
published,AT_13,34.0,152.0,85.0,True
