source,design_id,dominated_by_other_source,dominator_count,dominators
published,AT_1,True,23,11d3ebe88426626fb11b9066022940c913788a88;313e3f681b33bc30f90444b0b1b5dd821fed5c79;b41b2678f47c3e9bfe9aa6316c7790f5ace7089f;a3c176d7f40788e3565d6526f1d91ac19fb1f315;c562c8bb953d2297d61f115d49e5717b1b8b8d65;02eb0b54c6dd00fb01351bf57377ea9aaccaed72;9c4c7d4664dd2e14fd3642bd4fca39ea17719fdb;d860c1ddcae8b37f2e7f66211c07ad1bba19949c;d9549faf0bea0f6e65f7f02688ae4733a587568c;7e8869a25bbd594ea7bf8339e2c84bdde246ab51;819b823d42066f1be4d37e503ecee22d07e5a6b0;c7821f85912c8e5c3b6ca7ddc3262e68ecac8a29;4a49d458e8cad808e13f4554f8c864db2e9ad195;e0361e9971d304707e8f559c487d90e24fd31ff5;a359334c37accd32e3770b116cdabee633d77ada;183311722f48149ec51b573d1a5f0e3981811496;8fa87276d2b14fc4f92952c7fc191729e3f9d77e;b7b547cb4691e62927f5ec7084cd7b1a79656bde;e0fad9e658853185297715315da7e4e7f9350fec;6ae8b1bd832fc740d0dfbc7e61143b8d5f7b71ea;97e98cf5a19137e4615722da1bdb4778bc57cbe3;bff1f598ae060a0390c10f5de0cbed5ac1213ca5;cd1e51a231a34a7a16e55f52340d009aaca24055
published,AT_2,True,18,313e3f681b33bc30f90444b0b1b5dd821fed5c79;b41b2678f47c3e9bfe9aa6316c7790f5ace7089f;a3c176d7f40788e3565d6526f1d91ac19fb1f315;c562c8bb953d2297d61f115d49e5717b1b8b8d65;02eb0b54c6dd00fb01351bf57377ea9aaccaed72;9c4c7d4664dd2e14fd3642bd4fca39ea17719fdb;7e8869a25bbd594ea7bf8339e2c84bdde246ab51;819b823d42066f1be4d37e503ecee22d07e5a6b0;c7821f85912c8e5c3b6ca7ddc3262e68ecac8a29;4a49d458e8cad808e13f4554f8c864db2e9ad195;e0361e9971d304707e8f559c487d90e24fd31ff5;8fa87276d2b14fc4f92952c7fc191729e3f9d77e;b7b547cb4691e62927f5ec7084cd7b1a79656bde;e0fad9e658853185297715315da7e4e7f9350fec;6ae8b1bd832fc740d0dfbc7e61143b8d5f7b71ea;97e98cf5a19137e4615722da1bdb4778bc57cbe3;bff1f598ae060a0390c10f5de0cbed5ac1213ca5;cd1e51a231a34a7a16e55f52340d009aaca24055
published,AT_3,True,22,11d3ebe88426626fb11b9066022940c913788a88;313e3f681b33bc30f90444b0b1b5dd821fed5c79;b41b2678f47c3e9bfe9aa6316c7790f5ace7089f;a3c176d7f40788e3565d6526f1d91ac19fb1f315;c562c8bb953d2297d61f115d49e5717b1b8b8d65;02eb0b54c6dd00fb01351bf57377ea9aaccaed72;9c4c7d4664dd2e14fd3642bd4fca39ea17719fdb;d860c1ddcae8b37f2e7f66211c07ad1bba19949c;d9549faf0bea0f6e65f7f02688ae4733a587568c;7e8869a25bbd594ea7bf8339e2c84bdde246ab51;819b823d42066f1be4d37e503ecee22d07e5a6b0;c7821f85912c8e5c3b6ca7ddc3262e68ecac8a29;4a49d458e8cad808e13f4554f8c864db2e9ad195;e0361e9971d304707e8f559c487d90e24fd31ff5;183311722f48149ec51b573d1a5f0e3981811496;8fa87276d2b14fc4f92952c7fc191729e3f9d77e;b7b547cb4691e62927f5ec7084cd7b1a79656bde;e0fad9e658853185297715315da7e4e7f9350fec;6ae8b1bd832fc740d0dfbc7e61143b8d5f7b71ea;97e98cf5a19137e4615722da1bdb4778bc57cbe3;bff1f598ae060a0390c10f5de0cbed5ac1213ca5;cd1e51a231a34a7a16e55f52340d009aaca24055
published,AT_4,True,22,11d3ebe88426626fb11b9066022940c913788a88;313e3f681b33bc30f90444b0b1b5dd821fed5c79;b41b2678f47c3e9bfe9aa6316c7790f5ace7089f;a3c176d7f40788e3565d6526f1d91ac19fb1f315;c562c8bb953d2297d61f115d49e5717b1b8b8d65;02eb0b54c6dd00fb01351bf57377ea9aaccaed72;9c4c7d4664dd2e14fd3642bd4fca39ea17719fdb;d860c1ddcae8b37f2e7f66211c07ad1bba19949c;d9549faf0bea0f6e65f7f02688ae4733a587568c;7e8869a25bbd594ea7bf8339e2c84bdde246ab51;819b823d42066f1be4d37e503ecee22d07e5a6b0;c7821f85912c8e5c3b6ca7ddc3262e68ecac8a29;4a49d458e8cad808e13f4554f8c864db2e9ad195;e0361e9971d304707e8f559c487d90e24fd31ff5;183311722f48149ec51b573d1a5f0e3981811496;8fa87276d2b14fc4f92952c7fc191729e3f9d77e;b7b547cb4691e62927f5ec7084cd7b1a79656bde;e0fad9e658853185297715315da7e4e7f9350fec;6ae8b1bd832fc740d0dfbc7e61143b8d5f7b71ea;97e98cf5a19137e4615722da1bdb4778bc57cbe3;bff1f598ae060a0390c10f5de0cbed5ac1213ca5;cd1e51a231a34a7a16e55f52340d009aaca24055
published,AT_5,True,13,02eb0b54c6dd00fb01351bf57377ea9aaccaed72;7e8869a25bbd594ea7bf8339e2c84bdde246ab51;819b823d42066f1be4d37e503ecee22d07e5a6b0;c7821f85912c8e5c3b6ca7ddc3262e68ecac8a29;4a49d458e8cad808e13f4554f8c864db2e9ad195;e0361e9971d304707e8f559c487d90e24fd31ff5;8fa87276d2b14fc4f92952c7fc191729e3f9d77e;b7b547cb4691e62927f5ec7084cd7b1a79656bde;e0fad9e658853185297715315da7e4e7f9350fec;6ae8b1bd832fc740d0dfbc7e61143b8d5f7b71ea;97e98cf5a19137e4615722da1bdb4778bc57cbe3;bff1f598ae060a0390c10f5de0cbed5ac1213ca5;cd1e51a231a34a7a16e55f52340d009aaca24055
published,AT_6,False,0,
published,AT_7,False,0,
published,AT_8,False,0,
published,AT_9,True,22,11d3ebe88426626fb11b9066022940c913788a88;313e3f681b33bc30f90444b0b1b5dd821fed5c79;b41b2678f47c3e9bfe9aa6316c7790f5ace7089f;a3c176d7f40788e3565d6526f1d91ac19fb1f315;c562c8bb953d2297d61f115d49e5717b1b8b8d65;02eb0b54c6dd00fb01351bf57377ea9aaccaed72;9c4c7d4664dd2e14fd3642bd4fca39ea17719fdb;d860c1ddcae8b37f2e7f66211c07ad1bba19949c;d9549faf0bea0f6e65f7f02688ae4733a587568c;7e8869a25bbd594ea7bf8339e2c84bdde246ab51;819b823d42066f1be4d37e503ecee22d07e5a6b0;c7821f85912c8e5c3b6ca7ddc3262e68ecac8a29;4a49d458e8cad808e13f4554f8c864db2e9ad195;e0361e9971d304707e8f559c487d90e24fd31ff5;183311722f48149ec51b573d1a5f0e3981811496;8fa87276d2b14fc4f92952c7fc191729e3f9d77e;b7b547cb4691e62927f5ec7084cd7b1a79656bde;e0fad9e658853185297715315da7e4e7f9350fec;6ae8b1bd832fc740d0dfbc7e61143b8d5f7b71ea;97e98cf5a19137e4615722da1bdb4778bc57cbe3;bff1f598ae060a0390c10f5de0cbed5ac1213ca5;cd1e51a231a34a7a16e55f52340d009aaca24055
published,AT_10,False,0,
