instance,rank,layout_signature,storage_capacity,pick_faces,interior_storage,retrieval_penalty,door_connectivity_index,occurrence_count,seed_count,first_seed,last_seed,candidate_id,archive_key,source_generation,source,archive_index_path,archive_npz_path
AT_S_comercial_layout_AW_3,0,11d3ebe88426626fb11b9066022940c913788a88,204,110,94,69.0,1.0,11,11,101,129,13,final_rank_00_layout_001,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,0,313e3f681b33bc30f90444b0b1b5dd821fed5c79,222,115,107,74.0,1.0,30,30,101,130,18,final_rank_00_layout_003,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,0,b41b2678f47c3e9bfe9aa6316c7790f5ace7089f,222,115,107,74.0,1.0,29,29,101,130,6,final_rank_00_layout_006,13,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,0,a3c176d7f40788e3565d6526f1d91ac19fb1f315,210,114,96,86.0,1.0,4,4,108,120,19,final_rank_00_layout_005,4,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s108\runs\AT_S_comercial_layout_AW_3\seed_108\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,0,c562c8bb953d2297d61f115d49e5717b1b8b8d65,210,114,96,86.0,1.0,4,4,108,120,20,final_rank_00_layout_006,4,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s108\runs\AT_S_comercial_layout_AW_3\seed_108\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,0,02eb0b54c6dd00fb01351bf57377ea9aaccaed72,234,127,107,89.0,1.0,13,13,101,127,1,final_rank_00_layout_005,3,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,0,9c4c7d4664dd2e14fd3642bd4fca39ea17719fdb,207,117,90,91.0,1.0,4,4,108,120,18,final_rank_00_layout_004,4,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s108\runs\AT_S_comercial_layout_AW_3\seed_108\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,0,d860c1ddcae8b37f2e7f66211c07ad1bba19949c,207,110,97,105.0,1.0,4,4,108,121,15,final_rank_00_layout_007,1,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s118\runs\AT_S_comercial_layout_AW_3\seed_118\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,0,d9549faf0bea0f6e65f7f02688ae4733a587568c,213,111,102,108.0,1.0,2,2,107,121,15,final_rank_00_layout_003,1,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s107\runs\AT_S_comercial_layout_AW_3\seed_107\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,0,7e8869a25bbd594ea7bf8339e2c84bdde246ab51,216,120,96,112.0,1.0,13,13,104,128,1,final_rank_00_layout_002,1,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s104\runs\AT_S_comercial_layout_AW_3\seed_104\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,0,819b823d42066f1be4d37e503ecee22d07e5a6b0,222,120,102,118.0,1.0,30,30,101,130,22,final_rank_00_layout_004,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,0,c7821f85912c8e5c3b6ca7ddc3262e68ecac8a29,222,120,102,118.0,1.0,30,30,101,130,17,final_rank_00_layout_002,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,0,4a49d458e8cad808e13f4554f8c864db2e9ad195,264,124,140,160.0,1.0,9,9,106,127,2,final_rank_00_layout_001,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s110\runs\AT_S_comercial_layout_AW_3\seed_110\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,0,e0361e9971d304707e8f559c487d90e24fd31ff5,264,124,140,160.0,1.0,9,9,106,127,3,final_rank_00_layout_002,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s110\runs\AT_S_comercial_layout_AW_3\seed_110\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,0,a359334c37accd32e3770b116cdabee633d77ada,195,97,98,168.0,1.0,8,8,102,127,4,final_rank_00_layout_006,8,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s105\runs\AT_S_comercial_layout_AW_3\seed_105\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,0,183311722f48149ec51b573d1a5f0e3981811496,210,110,100,195.0,1.0,6,6,101,127,3,final_rank_00_layout_001,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s103\runs\AT_S_comercial_layout_AW_3\seed_103\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,0,8fa87276d2b14fc4f92952c7fc191729e3f9d77e,246,125,121,220.0,1.0,12,12,103,127,9,final_rank_00_layout_007,2,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s103\runs\AT_S_comercial_layout_AW_3\seed_103\final_ranked_layouts_index.json,
