instance,rank,layout_signature,storage_capacity,pick_faces,interior_storage,retrieval_penalty,door_connectivity_index,occurrence_count,seed_count,first_seed,last_seed,candidate_id,archive_key,source_generation,source,archive_index_path,archive_npz_path
Gyorgy-KOVACS_WH_Narrow_AW_4,0,1fa9344c00a95c630e382533991ef575b2f5e6b5,560,270,290,341.0,1.0,21,21,101,129,1,final_rank_00_layout_001,4,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s101\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_101\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,0,fea701f0583835df4b444390b8a258baa8ff22f2,616,248,368,359.0,1.0,8,8,101,130,1,final_rank_00_layout_001,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s105\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_105\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,0,31618e0fa9e7ba38a349d70c4dff96d8a35cbd09,600,256,344,444.0,1.0,18,18,101,130,11,final_rank_00_layout_003,1,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s105\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_105\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,0,9ee2190bb5e677e5dd6004d3c767bf39ff3449fb,592,261,331,462.0,1.0,27,27,101,129,19,final_rank_00_layout_002,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s112\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_112\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,0,eef866e48d563b788dc6683537da31dffdbde584,592,261,331,462.0,1.0,27,27,101,129,20,final_rank_00_layout_003,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s112\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_112\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,0,fc4825140fa5e2560776b4b932f5ef46c1588f36,680,262,418,472.0,1.0,29,29,101,130,7,final_rank_00_layout_002,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s105\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_105\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,0,fc0563743447995c195c8e655d4713bfa38a660a,608,261,347,509.0,1.0,23,23,101,130,18,final_rank_00_layout_003,8,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s111\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_111\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,1,d2639598346d928e888eed00783b6a7bbed4ddb8,616,248,368,413.0,1.0,8,8,101,130,2,final_rank_01_layout_001,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s105\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_105\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,1,0a34358c5c0e9deafcc5aa5bce9593a6a002f13b,648,232,416,443.0,1.0,4,4,102,123,9,final_rank_01_layout_001,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s102\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_102\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,1,c31e5af53b1ab973249c91c35b02a53fe27d43b5,640,243,397,467.0,1.0,29,29,101,130,20,final_rank_01_layout_009,3,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s111\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_111\final_ranked_layouts_index.json,
