comparison_group,instance,objective_vector,archive_scope,normalization_scope,source_record_count,source_unique_objective_count,min_N_locked,max_N_locked,range_N_locked,min_negative_N_pf,max_negative_N_pf,range_negative_N_pf,min_R_p,max_R_p,range_R_p,zero_range_replacement,reference_front_size,hv_reference_point,union_objectives_sha256,reference_front_sha256,comparability_note
phase11,AT_S_comercial_layout_AW_3,"(N_locked, -N_pf, R_p); minimization",final feasible rank 0-3,full instance/comparison-group union,1857,45,90.0,159.0,69.0,-127.0,-87.0,40.0,69.0,439.0,370.0,1,6,"(1.1,1.1,1.1)",7631a585fd9667d0b6bb9e293f36e398609aac7f4df43dcaa6faee7f085a7f19,e624d52131ff873f00f88b6ed761defea324b2de3641257b2570bc52ca3f13a1,Indicators are comparable within this comparison group only.
phase11,demo_layout_door_left_AW_2,"(N_locked, -N_pf, R_p); minimization",final feasible rank 0-3,full instance/comparison-group union,1169,53,21.0,74.0,53.0,-224.0,-184.0,40.0,19.0,104.0,85.0,1,2,"(1.1,1.1,1.1)",79a199f9e941f00fb35ed8390767dd813cddf9a0cdad96b6359d16abe9567a99,0667d06ee10afbbf873da6c35b9122d8898fca7825e23f578d325db47e503574,Indicators are comparable within this comparison group only.
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,"(N_locked, -N_pf, R_p); minimization",final feasible rank 0-3,full instance/comparison-group union,1669,34,290.0,424.0,134.0,-270.0,-228.0,42.0,341.0,616.0,275.0,1,1,"(1.1,1.1,1.1)",7bea8346964ec161bd1769df0832ef21fbbac88fa540b20d35665e3cc265e5c6,247b89c119f03d3089bbaa8de25b0447056b4305202d35c72b1aae5f3e19104f,Indicators are comparable within this comparison group only.
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,"(N_locked, -N_pf, R_p); minimization",final feasible rank 0-3,full instance/comparison-group union,1553,29,250.0,437.0,187.0,-256.0,-202.0,54.0,311.0,838.0,527.0,1,5,"(1.1,1.1,1.1)",a889def9c2ede657cc520a68a1f87cc5391c10a6bc9b411f49c656f23061e3c3,713146afe61036529a5a715452297ab2338e352519586e9d42672aa689715a40,Indicators are comparable within this comparison group only.
phase12b,AT_S_comercial_layout_AW_3,"(N_locked, -N_pf, R_p); minimization",final feasible rank 0-3,full instance/comparison-group union,4124,50,90.0,144.0,54.0,-127.0,-87.0,40.0,69.0,344.0,275.0,1,6,"(1.1,1.1,1.1)",210c4bcace9daeddd48332f1bab28dab1bf2e01d010c0219794edac0460960db,96813c6e3340c198026444a2354569de64b9fd4ef14d1190c6346b9dc7f937ec,Indicators are comparable within this comparison group only.
phase12b,demo_layout_door_left_AW_2,"(N_locked, -N_pf, R_p); minimization",final feasible rank 0-3,full instance/comparison-group union,3111,70,21.0,101.0,80.0,-224.0,-184.0,40.0,19.0,145.0,126.0,1,2,"(1.1,1.1,1.1)",f6ce04e134f853fc96ae52cca93e40e2b7ca8341902c5ef834064a47838a36e7,468816f4d8fc17f071f384ff73b3b028cd4f4664120e851ce91e97ad194c48d0,Indicators are comparable within this comparison group only.
phase12b,Gyorgy-KOVACS_WH_Narrow_AW_4,"(N_locked, -N_pf, R_p); minimization",final feasible rank 0-3,full instance/comparison-group union,3968,64,277.0,461.0,184.0,-275.0,-219.0,56.0,292.0,666.0,374.0,1,1,"(1.1,1.1,1.1)",a32cb9c2333bdd467167d509154cfa5d66d8e4b1a2b4e39c6432ca137baa0168,247b89c119f03d3089bbaa8de25b0447056b4305202d35c72b1aae5f3e19104f,Indicators are comparable within this comparison group only.
phase12b,Gyorgy-KOVACS_WH_Wide_AW_5,"(N_locked, -N_pf, R_p); minimization",final feasible rank 0-3,full instance/comparison-group union,3630,42,250.0,437.0,187.0,-256.0,-185.0,71.0,311.0,867.0,556.0,1,3,"(1.1,1.1,1.1)",ec3c2dd7ed3d66de09f037c15a99494b719af47ab46fa94ac392defb7138a23e,c9de1bb490ae9a308cc7fb6da2641785d95303e32a8d8b5900e83428fee023cb,Indicators are comparable within this comparison group only.
phase12c,AT_S_comercial_layout_AW_3,"(N_locked, -N_pf, R_p); minimization",final feasible rank 0-3,full instance/comparison-group union,2423,53,90.0,144.0,54.0,-127.0,-87.0,40.0,69.0,344.0,275.0,1,6,"(1.1,1.1,1.1)",77b19acbe6f0584576235d49636b083fb93afa86fb8e7737d2b3d3741a0770a3,96813c6e3340c198026444a2354569de64b9fd4ef14d1190c6346b9dc7f937ec,Indicators are comparable within this comparison group only.
phase12c,demo_layout_door_left_AW_2,"(N_locked, -N_pf, R_p); minimization",final feasible rank 0-3,full instance/comparison-group union,1697,57,21.0,74.0,53.0,-224.0,-184.0,40.0,19.0,104.0,85.0,1,2,"(1.1,1.1,1.1)",896fd4fbd98cb922461feb2f2d07e1faa3eacd7e1d3b7331545b4681f6d6cca9,0667d06ee10afbbf873da6c35b9122d8898fca7825e23f578d325db47e503574,Indicators are comparable within this comparison group only.
