comparison_group,method_or_variant,source_phase,source_manifest_label,source_relative_root,instance,seed,archive_scope,archive_record_count,unique_signature_count,configured_max_depth,runtime_seconds,archive_index_path,run_metadata_path,manifest_output_dir
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,101,final feasible rank 0-3,21,21,28,91.5012231,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s101/runs/AT_S_comercial_layout_AW_3/seed_101/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s101/runs/AT_S_comercial_layout_AW_3/seed_101/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s101
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,102,final feasible rank 0-3,23,23,28,84.0758948,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s102/runs/AT_S_comercial_layout_AW_3/seed_102/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s102/runs/AT_S_comercial_layout_AW_3/seed_102/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s102
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,103,final feasible rank 0-3,26,26,28,103.1717812,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s103/runs/AT_S_comercial_layout_AW_3/seed_103/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s103/runs/AT_S_comercial_layout_AW_3/seed_103/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s103
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,104,final feasible rank 0-3,17,17,28,101.4734028,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s104/runs/AT_S_comercial_layout_AW_3/seed_104/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s104/runs/AT_S_comercial_layout_AW_3/seed_104/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s104
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,105,final feasible rank 0-3,27,27,28,102.4815391,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s105/runs/AT_S_comercial_layout_AW_3/seed_105/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s105/runs/AT_S_comercial_layout_AW_3/seed_105/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s105
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,106,final feasible rank 0-3,32,32,28,89.4481448,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s106/runs/AT_S_comercial_layout_AW_3/seed_106/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s106/runs/AT_S_comercial_layout_AW_3/seed_106/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s106
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,107,final feasible rank 0-3,21,21,28,93.4085689,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s107/runs/AT_S_comercial_layout_AW_3/seed_107/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s107/runs/AT_S_comercial_layout_AW_3/seed_107/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s107
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,108,final feasible rank 0-3,40,40,28,95.6092655,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s108/runs/AT_S_comercial_layout_AW_3/seed_108/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s108/runs/AT_S_comercial_layout_AW_3/seed_108/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s108
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,109,final feasible rank 0-3,20,20,28,101.6872875,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s109/runs/AT_S_comercial_layout_AW_3/seed_109/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s109/runs/AT_S_comercial_layout_AW_3/seed_109/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s109
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,110,final feasible rank 0-3,22,22,28,98.3103559,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s110/runs/AT_S_comercial_layout_AW_3/seed_110/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s110/runs/AT_S_comercial_layout_AW_3/seed_110/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s110
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,111,final feasible rank 0-3,30,30,28,92.0305029,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s111/runs/AT_S_comercial_layout_AW_3/seed_111/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s111/runs/AT_S_comercial_layout_AW_3/seed_111/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s111
