comparison_group,instance,method_or_variant,seed,hypervolume,igd_plus,osd,nondominated_solution_count,archive_size_rank_0_3,unique_layout_signature_count_rank_0_3,runtime_seconds,reference_front_size,normalization_scope,archive_scope,hv_reference_point
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,101,1.175019291030161,0.062134598973267514,0.2825191407208873,4,21,21,91.5012231,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,102,1.175019291030161,0.062134598973267514,0.2825191407208873,4,23,23,84.0758948,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,103,0.9811952604778693,0.12791087837397982,0.3807268679077717,4,26,26,103.1717812,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,104,1.0338191343517433,0.05997047895629054,0.2436152110586481,3,17,17,101.4734028,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,105,1.0915581668625152,0.09595249823615047,0.43532501034127263,4,27,27,102.4815391,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,106,1.0915581668625152,0.09595249823615047,0.43532501034127263,4,32,32,89.4481448,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,107,1.0104574030552296,0.09409297911109689,0.20976770622156093,4,21,21,93.4085689,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,108,1.2550496474735608,0.0,0.23976670798300592,6,40,40,95.6092655,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,109,0.9663362710536625,0.12791087837397982,0.3685396395552265,3,20,20,101.6872875,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,110,1.0240630630630632,0.07993320014545272,0.48763496435495224,3,22,22,98.3103559,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,111,1.1430634547591072,0.04000622617062213,0.4180173662461218,6,30,30,92.0305029,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,112,1.0363794555424992,0.09409297911109689,0.4765589492955606,4,20,20,98.4881882,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,113,1.0746682334508424,0.09595249823615047,0.23161426502273566,3,23,23,121.7929821,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,114,1.0104084410497458,0.09409297911109689,0.2397937708806294,3,20,20,120.574514,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,115,1.196699667058363,0.02901839483840002,0.29105770858985786,4,20,20,111.0577525,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,116,0.9724232275754017,0.12791087837397982,0.4291128104967609,4,31,31,114.6988779,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,117,0.9269473168820999,0.12791087837397982,0.43786800124822434,3,20,20,142.3854412,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,118,1.0501347434390915,0.07773211303839807,0.37945796882292343,4,20,20,128.2201386,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
