comparison_group,instance,method_or_variant,seed,seed_archive_signature_count,seed_exclusive_signature_count,seed_rediscovered_signature_count,seed_rediscovered_signature_ratio,definition
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,101,21,0,21,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,102,23,0,23,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,103,26,0,26,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,104,17,0,17,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,105,27,1,26,0.9629629629629629,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,106,32,0,32,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,107,21,0,21,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,108,40,0,40,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,109,20,0,20,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,110,22,0,22,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,111,30,0,30,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,112,20,0,20,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,113,23,0,23,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,114,20,0,20,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,115,20,0,20,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,116,31,0,31,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,117,20,0,20,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,118,20,0,20,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,119,29,0,29,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,120,25,0,25,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,121,23,2,21,0.9130434782608695,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,122,20,0,20,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,123,21,1,20,0.9523809523809523,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,124,23,0,23,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,125,20,0,20,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,126,20,0,20,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,127,32,0,32,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,128,18,0,18,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,129,23,0,23,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,130,22,0,22,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,101,19,0,19,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,102,12,0,12,1.0,order-invariant within method and instance across seeds 101-130
