scope,instance,metric,method1,method2,pairing_key,n_pairs,method1_mean,method2_mean,wilcoxon_statistic,p_value_raw,zero_method,alternative,preferred_direction,rank_biserial_method1_preferred,method1_wins,ties,method1_losses,method1_win_proportion,tie_proportion,method1_loss_proportion,raw_mean_difference_method1_minus_method2,holm_family,independence_note,p_value_holm
pooled_secondary_fixed_block,ALL_FIXED_BLOCKS,hypervolume,proposed_nsga2_bs,bs_only_direct,"(instance, seed)",120,1.0979769351655373,0.5071857628334622,0.0,1.5715149409154356e-21,wilcox,two-sided,higher,1.0,120,0,0,1.0,0.0,0.0,0.5907911723320751,"three Phase-11 method pairs within metric=hypervolume, instance=ALL_FIXED_BLOCKS","120 observations are 4 instances x 30 seeds, not 120 independent warehouses",3.834689800011532e-21
pooled_secondary_fixed_block,ALL_FIXED_BLOCKS,hypervolume,proposed_nsga2_bs,random_restart_bs,"(instance, seed)",120,1.0979769351655373,1.261965234340124,69.5,1.3025274125439662e-10,wilcox,two-sided,higher,-0.9310515873015873,5,57,58,0.041666666666666664,0.475,0.48333333333333334,-0.16398829917458688,"three Phase-11 method pairs within metric=hypervolume, instance=ALL_FIXED_BLOCKS","120 observations are 4 instances x 30 seeds, not 120 independent warehouses",1.3025274125439662e-10
pooled_secondary_fixed_block,ALL_FIXED_BLOCKS,hypervolume,random_restart_bs,bs_only_direct,"(instance, seed)",120,1.261965234340124,0.5071857628334622,0.0,1.2782299333371774e-21,wilcox,two-sided,higher,1.0,120,0,0,1.0,0.0,0.0,0.754779471506662,"three Phase-11 method pairs within metric=hypervolume, instance=ALL_FIXED_BLOCKS","120 observations are 4 instances x 30 seeds, not 120 independent warehouses",3.834689800011532e-21
pooled_secondary_fixed_block,ALL_FIXED_BLOCKS,igd_plus,proposed_nsga2_bs,bs_only_direct,"(instance, seed)",120,0.11657626416598242,0.5577908367688967,0.0,1.5538978266033463e-21,wilcox,two-sided,lower,1.0,120,0,0,1.0,0.0,0.0,-0.44121457260291425,"three Phase-11 method pairs within metric=igd_plus, instance=ALL_FIXED_BLOCKS","120 observations are 4 instances x 30 seeds, not 120 independent warehouses",3.8314778683271836e-21
pooled_secondary_fixed_block,ALL_FIXED_BLOCKS,igd_plus,proposed_nsga2_bs,random_restart_bs,"(instance, seed)",120,0.11657626416598242,0.01938490502711596,62.5,2.1879876148092385e-10,wilcox,two-sided,lower,-0.9338974087784241,4,59,57,0.03333333333333333,0.49166666666666664,0.475,0.09719135913886646,"three Phase-11 method pairs within metric=igd_plus, instance=ALL_FIXED_BLOCKS","120 observations are 4 instances x 30 seeds, not 120 independent warehouses",2.1879876148092385e-10
pooled_secondary_fixed_block,ALL_FIXED_BLOCKS,igd_plus,random_restart_bs,bs_only_direct,"(instance, seed)",120,0.01938490502711596,0.5577908367688967,0.0,1.2771592894423945e-21,wilcox,two-sided,lower,1.0,120,0,0,1.0,0.0,0.0,-0.5384059317417809,"three Phase-11 method pairs within metric=igd_plus, instance=ALL_FIXED_BLOCKS","120 observations are 4 instances x 30 seeds, not 120 independent warehouses",3.8314778683271836e-21
pooled_secondary_fixed_block,ALL_FIXED_BLOCKS,osd,proposed_nsga2_bs,bs_only_direct,"(instance, seed)",120,0.2516762346393399,0.2145664986631174,2111.0,0.20237664131979782,wilcox,two-sided,descriptive_no_preferred_direction,,48,21,51,0.4,0.175,0.425,0.037109735976222545,"three Phase-11 method pairs within metric=osd, instance=ALL_FIXED_BLOCKS","120 observations are 4 instances x 30 seeds, not 120 independent warehouses",0.40475328263959565
pooled_secondary_fixed_block,ALL_FIXED_BLOCKS,osd,proposed_nsga2_bs,random_restart_bs,"(instance, seed)",120,0.2516762346393399,0.18646623886474256,481.0,0.0005081507485429494,wilcox,two-sided,descriptive_no_preferred_direction,,37,58,25,0.30833333333333335,0.48333333333333334,0.20833333333333334,0.06520999577459732,"three Phase-11 method pairs within metric=osd, instance=ALL_FIXED_BLOCKS","120 observations are 4 instances x 30 seeds, not 120 independent warehouses",0.0015244522456288481
pooled_secondary_fixed_block,ALL_FIXED_BLOCKS,osd,random_restart_bs,bs_only_direct,"(instance, seed)",120,0.18646623886474256,0.2145664986631174,1976.0,0.7721246922527512,wilcox,two-sided,descriptive_no_preferred_direction,,35,30,55,0.2916666666666667,0.25,0.4583333333333333,-0.02810025979837479,"three Phase-11 method pairs within metric=osd, instance=ALL_FIXED_BLOCKS","120 observations are 4 instances x 30 seeds, not 120 independent warehouses",0.7721246922527512
pooled_secondary_fixed_block,ALL_FIXED_BLOCKS,unique_layout_signature_count_rank_0_3,proposed_nsga2_bs,bs_only_direct,"(instance, seed)",120,21.183333333333334,7.5,0.0,1.774299039190757e-21,wilcox,two-sided,higher,1.0,120,0,0,1.0,0.0,0.0,13.683333333333334,"three Phase-11 method pairs within metric=unique_layout_signature_count_rank_0_3, instance=ALL_FIXED_BLOCKS","120 observations are 4 instances x 30 seeds, not 120 independent warehouses",5.3228971175722714e-21
