comparison_group,method_or_variant,instance,metric,n,mean,std,median,iqr,min,max,sampling_unit,independence_note
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,hypervolume,30,0.6028795534665103,1.1292025708167404e-16,0.6028795534665102,0.0,0.6028795534665102,0.6028795534665102,seed within one instance,
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,igd_plus,30,0.28746073523643134,5.646012854083702e-17,0.2874607352364314,0.0,0.2874607352364314,0.2874607352364314,seed within one instance,
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,osd,30,0.4331584378907464,5.646012854083702e-17,0.4331584378907463,0.0,0.4331584378907463,0.4331584378907463,seed within one instance,
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,nondominated_solution_count,30,2.0,0.0,2.0,0.0,2.0,2.0,seed within one instance,
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,archive_size_rank_0_3,30,7.0,0.0,7.0,0.0,7.0,7.0,seed within one instance,
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,unique_layout_signature_count_rank_0_3,30,7.0,0.0,7.0,0.0,7.0,7.0,seed within one instance,
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,runtime_seconds,30,20.54308631,2.391759449179307,20.051103249999997,2.8499126250000018,17.3332073,26.8078057,seed within one instance,
phase11,bs_only_direct,Gyorgy-KOVACS_WH_Narrow_AW_4,hypervolume,30,0.08211876978742659,0.0,0.08211876978742659,0.0,0.08211876978742659,0.08211876978742659,seed within one instance,
phase11,bs_only_direct,Gyorgy-KOVACS_WH_Narrow_AW_4,igd_plus,30,1.0842767890399247,2.2584051416334807e-16,1.0842767890399245,0.0,1.0842767890399245,1.0842767890399245,seed within one instance,
phase11,bs_only_direct,Gyorgy-KOVACS_WH_Narrow_AW_4,osd,30,0.0,0.0,0.0,0.0,0.0,0.0,seed within one instance,
phase11,bs_only_direct,Gyorgy-KOVACS_WH_Narrow_AW_4,nondominated_solution_count,30,1.0,0.0,1.0,0.0,1.0,1.0,seed within one instance,
phase11,bs_only_direct,Gyorgy-KOVACS_WH_Narrow_AW_4,archive_size_rank_0_3,30,10.0,0.0,10.0,0.0,10.0,10.0,seed within one instance,
phase11,bs_only_direct,Gyorgy-KOVACS_WH_Narrow_AW_4,unique_layout_signature_count_rank_0_3,30,10.0,0.0,10.0,0.0,10.0,10.0,seed within one instance,
phase11,bs_only_direct,Gyorgy-KOVACS_WH_Narrow_AW_4,runtime_seconds,30,58.511141893333324,2.40950089088202,58.3812279,3.6875880250000037,54.4717403,62.452126,seed within one instance,
phase11,bs_only_direct,Gyorgy-KOVACS_WH_Wide_AW_5,hypervolume,30,0.9362941176470589,1.1292025708167404e-16,0.936294117647059,0.0,0.936294117647059,0.936294117647059,seed within one instance,
phase11,bs_only_direct,Gyorgy-KOVACS_WH_Wide_AW_5,igd_plus,30,0.21283422459893053,0.0,0.21283422459893053,0.0,0.21283422459893053,0.21283422459893053,seed within one instance,
phase11,bs_only_direct,Gyorgy-KOVACS_WH_Wide_AW_5,osd,30,0.0,0.0,0.0,0.0,0.0,0.0,seed within one instance,
phase11,bs_only_direct,Gyorgy-KOVACS_WH_Wide_AW_5,nondominated_solution_count,30,1.0,0.0,1.0,0.0,1.0,1.0,seed within one instance,
phase11,bs_only_direct,Gyorgy-KOVACS_WH_Wide_AW_5,archive_size_rank_0_3,30,8.0,0.0,8.0,0.0,8.0,8.0,seed within one instance,
phase11,bs_only_direct,Gyorgy-KOVACS_WH_Wide_AW_5,unique_layout_signature_count_rank_0_3,30,8.0,0.0,8.0,0.0,8.0,8.0,seed within one instance,
phase11,bs_only_direct,Gyorgy-KOVACS_WH_Wide_AW_5,runtime_seconds,30,95.75770126,6.126127695387465,97.4759453,4.097525000000019,76.2396206,101.4195487,seed within one instance,
phase11,bs_only_direct,demo_layout_door_left_AW_2,hypervolume,30,0.40745061043285236,1.6938038562251105e-16,0.4074506104328525,0.0,0.4074506104328525,0.4074506104328525,seed within one instance,
phase11,bs_only_direct,demo_layout_door_left_AW_2,igd_plus,30,0.6465915982003003,2.2584051416334807e-16,0.6465915982003005,0.0,0.6465915982003005,0.6465915982003005,seed within one instance,
phase11,bs_only_direct,demo_layout_door_left_AW_2,osd,30,0.42510755676172324,1.1292025708167404e-16,0.4251075567617231,0.0,0.4251075567617231,0.4251075567617231,seed within one instance,
phase11,bs_only_direct,demo_layout_door_left_AW_2,nondominated_solution_count,30,2.0,0.0,2.0,0.0,2.0,2.0,seed within one instance,
phase11,bs_only_direct,demo_layout_door_left_AW_2,archive_size_rank_0_3,30,5.0,0.0,5.0,0.0,5.0,5.0,seed within one instance,
phase11,bs_only_direct,demo_layout_door_left_AW_2,unique_layout_signature_count_rank_0_3,30,5.0,0.0,5.0,0.0,5.0,5.0,seed within one instance,
phase11,bs_only_direct,demo_layout_door_left_AW_2,runtime_seconds,30,99.27748462000002,11.903910451733308,103.65630225000001,23.685916074999994,84.342387,117.1976966,seed within one instance,
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,hypervolume,30,1.0779053956130047,0.0927707274336795,1.0702726694085394,0.142548545828437,0.9269473168820999,1.2550496474735608,seed within one instance,
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,igd_plus,30,0.07676262664522313,0.03618285836292733,0.07993320014545272,0.04422404147640619,0.0,0.12791087837397982,seed within one instance,
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,osd,30,0.3428535733687525,0.10626738272479364,0.32979867407254215,0.19457587941613858,0.18605601451097378,0.5317092912353587,seed within one instance,
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,nondominated_solution_count,30,3.8,0.8469010445797932,4.0,1.0,3.0,6.0,seed within one instance,
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,archive_size_rank_0_3,30,23.633333333333333,5.162753430922859,22.0,5.75,17.0,40.0,seed within one instance,
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,unique_layout_signature_count_rank_0_3,30,23.633333333333333,5.162753430922859,22.0,5.75,17.0,40.0,seed within one instance,
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,runtime_seconds,30,120.80411744999999,26.7553688544859,113.06025255,40.024813975000015,84.0758948,174.7312771,seed within one instance,
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,hypervolume,30,1.0797980943766021,0.3910320715275572,1.3310000000000004,0.7898771176584611,0.4314158816308072,1.3310000000000004,seed within one instance,
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,igd_plus,30,0.17976258267557801,0.2798248313273055,0.0,0.5771794344753539,0.0,0.6432669578050724,seed within one instance,
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,osd,30,0.16360048776087086,0.2579095748592027,0.0,0.4652875657134625,0.0,0.6507070117470686,seed within one instance,
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,nondominated_solution_count,30,1.5666666666666667,0.9714309861845772,1.0,1.0,1.0,4.0,seed within one instance,
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,archive_size_rank_0_3,30,21.833333333333332,2.5741866252486814,21.5,3.75,17.0,28.0,seed within one instance,
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,unique_layout_signature_count_rank_0_3,30,21.833333333333332,2.5741866252486814,21.5,3.75,17.0,28.0,seed within one instance,
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,runtime_seconds,30,1361.9932646,170.14476128868898,1341.7456185,261.657882,1026.5916,1693.995027,seed within one instance,
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,hypervolume,30,1.2252059432363607,0.040921589138187726,1.2326771690563414,0.0,1.0085403944569034,1.2326771690563414,seed within one instance,
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,igd_plus,30,0.035608485117754406,0.007957791996437244,0.03415559772296015,0.0,0.03415559772296015,0.07774221956678765,seed within one instance,
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,osd,30,0.33382630291573323,0.019622702951370603,0.33740890193096273,0.0,0.22993093147407395,0.33740890193096273,seed within one instance,
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,nondominated_solution_count,30,2.966666666666667,0.18257418583505533,3.0,0.0,2.0,3.0,seed within one instance,
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,archive_size_rank_0_3,30,20.7,2.4374944739106237,20.5,3.0,17.0,26.0,seed within one instance,
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,unique_layout_signature_count_rank_0_3,30,20.7,2.4374944739106237,20.5,3.0,17.0,26.0,seed within one instance,
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,runtime_seconds,30,1798.3580547333331,737.2845126839837,1393.7575865,1501.4335752500003,1039.96856,3002.449779,seed within one instance,
phase11,proposed_nsga2_bs,demo_layout_door_left_AW_2,hypervolume,30,1.0089983074361824,0.2963605427094043,1.2220011098779138,0.5650482103218647,0.6505160932297449,1.3235682574916763,seed within one instance,
phase11,proposed_nsga2_bs,demo_layout_door_left_AW_2,igd_plus,30,0.17417136222537402,0.17444313347891807,0.0375,0.3474045099532854,0.0,0.381794179811947,seed within one instance,
phase11,proposed_nsga2_bs,demo_layout_door_left_AW_2,osd,30,0.16642457451200307,0.17952187659283136,0.1003726154114542,0.35295540624560173,0.0,0.4189326163110681,seed within one instance,
phase11,proposed_nsga2_bs,demo_layout_door_left_AW_2,nondominated_solution_count,30,2.1666666666666665,1.2617266038997932,2.0,2.0,1.0,5.0,seed within one instance,
phase11,proposed_nsga2_bs,demo_layout_door_left_AW_2,archive_size_rank_0_3,30,18.566666666666666,4.868500677885822,18.0,6.75,10.0,27.0,seed within one instance,
phase11,proposed_nsga2_bs,demo_layout_door_left_AW_2,unique_layout_signature_count_rank_0_3,30,18.566666666666666,4.868500677885822,18.0,6.75,10.0,27.0,seed within one instance,
phase11,proposed_nsga2_bs,demo_layout_door_left_AW_2,runtime_seconds,30,1128.5987141266667,80.86342115701183,1140.59379,94.35186499999986,964.4566384,1285.034639,seed within one instance,
phase11,random_restart_bs,AT_S_comercial_layout_AW_3,hypervolume,30,1.1769374885755324,0.059794770482504006,1.175019291030161,0.08471362122992576,1.0727742851547202,1.2550496474735608,seed within one instance,
phase11,random_restart_bs,AT_S_comercial_layout_AW_3,igd_plus,30,0.03702254230960234,0.02717450266390471,0.03095208411789052,0.043340880246690534,0.0,0.09595249823615047,seed within one instance,
phase11,random_restart_bs,AT_S_comercial_layout_AW_3,osd,30,0.3245253258359251,0.08276694148747825,0.29105770858985786,0.15419753589240232,0.23976670798300592,0.4748774995394004,seed within one instance,
phase11,random_restart_bs,AT_S_comercial_layout_AW_3,nondominated_solution_count,30,5.233333333333333,1.0400044208570938,5.0,2.0,4.0,7.0,seed within one instance,
phase11,random_restart_bs,AT_S_comercial_layout_AW_3,archive_size_rank_0_3,30,31.266666666666666,3.731814140818001,31.5,5.0,24.0,38.0,seed within one instance,
phase11,random_restart_bs,AT_S_comercial_layout_AW_3,unique_layout_signature_count_rank_0_3,30,31.266666666666666,3.731814140818001,31.5,5.0,24.0,38.0,seed within one instance,
phase11,random_restart_bs,AT_S_comercial_layout_AW_3,runtime_seconds,30,99.81337297333333,5.874964141171767,98.9673137,8.089709075000002,92.2556853,113.5992308,seed within one instance,
phase11,random_restart_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,hypervolume,30,1.3310000000000008,4.516810283266961e-16,1.3310000000000004,0.0,1.3310000000000004,1.3310000000000004,seed within one instance,
phase11,random_restart_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,igd_plus,30,0.0,0.0,0.0,0.0,0.0,0.0,seed within one instance,
phase11,random_restart_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,osd,30,0.0,0.0,0.0,0.0,0.0,0.0,seed within one instance,
phase11,random_restart_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,nondominated_solution_count,30,1.0,0.0,1.0,0.0,1.0,1.0,seed within one instance,
