comparison_group,method_or_variant,instance,metric,n,mean,std,median,iqr,min,max,sampling_unit,independence_note
phase11,bs_only_direct,ALL_FIXED_BLOCKS,hypervolume,120,0.5071857628334622,0.31110550951667193,0.5051650819496813,0.3601155442401514,0.08211876978742659,0.936294117647059,"fixed block (instance, seed)","120 observations are 4 instances x 30 seeds, not 120 independent warehouses"
phase11,bs_only_direct,ALL_FIXED_BLOCKS,igd_plus,120,0.5577908367688967,0.34682708060788786,0.46702616671836594,0.4872087883331504,0.21283422459893053,1.0842767890399245,"fixed block (instance, seed)","120 observations are 4 instances x 30 seeds, not 120 independent warehouses"
phase11,bs_only_direct,ALL_FIXED_BLOCKS,osd,120,0.2145664986631174,0.21548511095458855,0.21255377838086156,0.4271202770439789,0.0,0.4331584378907463,"fixed block (instance, seed)","120 observations are 4 instances x 30 seeds, not 120 independent warehouses"
phase11,bs_only_direct,ALL_FIXED_BLOCKS,nondominated_solution_count,120,1.5,0.5020964452534338,1.5,1.0,1.0,2.0,"fixed block (instance, seed)","120 observations are 4 instances x 30 seeds, not 120 independent warehouses"
phase11,bs_only_direct,ALL_FIXED_BLOCKS,archive_size_rank_0_3,120,7.5,1.8103344785894533,7.5,2.0,5.0,10.0,"fixed block (instance, seed)","120 observations are 4 instances x 30 seeds, not 120 independent warehouses"
phase11,bs_only_direct,ALL_FIXED_BLOCKS,unique_layout_signature_count_rank_0_3,120,7.5,1.8103344785894533,7.5,2.0,5.0,10.0,"fixed block (instance, seed)","120 observations are 4 instances x 30 seeds, not 120 independent warehouses"
phase11,bs_only_direct,ALL_FIXED_BLOCKS,runtime_seconds,120,68.52235352083333,32.82603804978453,69.3458733,50.231784025,17.3332073,117.1976966,"fixed block (instance, seed)","120 observations are 4 instances x 30 seeds, not 120 independent warehouses"
phase11,proposed_nsga2_bs,ALL_FIXED_BLOCKS,hypervolume,120,1.0979769351655373,0.259680072551417,1.2326771690563414,0.22980483744614166,0.4314158816308072,1.3310000000000004,"fixed block (instance, seed)","120 observations are 4 instances x 30 seeds, not 120 independent warehouses"
phase11,proposed_nsga2_bs,ALL_FIXED_BLOCKS,igd_plus,120,0.11657626416598242,0.17529230300687698,0.03415559772296015,0.06368322966788889,0.0,0.6432669578050724,"fixed block (instance, seed)","120 observations are 4 instances x 30 seeds, not 120 independent warehouses"
phase11,proposed_nsga2_bs,ALL_FIXED_BLOCKS,osd,120,0.2516762346393399,0.1857279172238077,0.33740890193096273,0.3712692218721507,0.0,0.6507070117470686,"fixed block (instance, seed)","120 observations are 4 instances x 30 seeds, not 120 independent warehouses"
phase11,proposed_nsga2_bs,ALL_FIXED_BLOCKS,nondominated_solution_count,120,2.625,1.2303070601215267,3.0,2.0,1.0,6.0,"fixed block (instance, seed)","120 observations are 4 instances x 30 seeds, not 120 independent warehouses"
phase11,proposed_nsga2_bs,ALL_FIXED_BLOCKS,archive_size_rank_0_3,120,21.183333333333334,4.32888157452644,21.0,4.0,10.0,40.0,"fixed block (instance, seed)","120 observations are 4 instances x 30 seeds, not 120 independent warehouses"
phase11,proposed_nsga2_bs,ALL_FIXED_BLOCKS,unique_layout_signature_count_rank_0_3,120,21.183333333333334,4.32888157452644,21.0,4.0,10.0,40.0,"fixed block (instance, seed)","120 observations are 4 instances x 30 seeds, not 120 independent warehouses"
phase11,proposed_nsga2_bs,ALL_FIXED_BLOCKS,runtime_seconds,120,1102.4385377275,723.5119427573467,1183.1215385,596.9516426749999,84.0758948,3002.449779,"fixed block (instance, seed)","120 observations are 4 instances x 30 seeds, not 120 independent warehouses"
phase11,random_restart_bs,ALL_FIXED_BLOCKS,hypervolume,120,1.261965234340124,0.0699759007098355,1.2485455346651002,0.09274902406241581,1.0727742851547202,1.3310000000000004,"fixed block (instance, seed)","120 observations are 4 instances x 30 seeds, not 120 independent warehouses"
phase11,random_restart_bs,ALL_FIXED_BLOCKS,igd_plus,120,0.01938490502711596,0.02240035059322092,0.006250000000000001,0.03415559772296015,0.0,0.09595249823615047,"fixed block (instance, seed)","120 observations are 4 instances x 30 seeds, not 120 independent warehouses"
phase11,random_restart_bs,ALL_FIXED_BLOCKS,osd,120,0.18646623886474256,0.15686944209981055,0.17006966169723006,0.33740890193096273,0.0,0.4748774995394004,"fixed block (instance, seed)","120 observations are 4 instances x 30 seeds, not 120 independent warehouses"
phase11,random_restart_bs,ALL_FIXED_BLOCKS,nondominated_solution_count,120,2.775,1.7074355432793884,2.5,3.0,1.0,7.0,"fixed block (instance, seed)","120 observations are 4 instances x 30 seeds, not 120 independent warehouses"
phase11,random_restart_bs,ALL_FIXED_BLOCKS,archive_size_rank_0_3,120,23.383333333333333,6.522338258519212,23.0,6.25,8.0,38.0,"fixed block (instance, seed)","120 observations are 4 instances x 30 seeds, not 120 independent warehouses"
phase11,random_restart_bs,ALL_FIXED_BLOCKS,unique_layout_signature_count_rank_0_3,120,23.383333333333333,6.522338258519212,23.0,6.25,8.0,38.0,"fixed block (instance, seed)","120 observations are 4 instances x 30 seeds, not 120 independent warehouses"
phase11,random_restart_bs,ALL_FIXED_BLOCKS,runtime_seconds,120,887.5376455041667,508.2315472409653,1063.5110167,784.9089665249999,92.2556853,1525.22162,"fixed block (instance, seed)","120 observations are 4 instances x 30 seeds, not 120 independent warehouses"
