comparison_group,method_or_variant,scope,instance,total_archive_entries_rank_0_3,unique_signatures_cross_seed_rank_0_3,repeated_signatures_cross_seed_rank_0_3,cross_seed_rediscovery_ratio_rank_0_3,mean_seeds_per_repeated_signature,max_seed_overlap,inference_scope
phase12b,V0_full_proposed,per_instance,AT_S_comercial_layout_AW_3,709,62,58,0.9125528913963329,12.155172413793103,30,descriptive aggregate; not a Wilcoxon observation
phase12b,V0_full_proposed,per_instance,demo_layout_door_left_AW_2,557,69,43,0.8761220825852782,12.348837209302326,30,descriptive aggregate; not a Wilcoxon observation
phase12b,V0_full_proposed,per_instance,Gyorgy-KOVACS_WH_Narrow_AW_4,655,39,33,0.9404580152671755,19.666666666666668,30,descriptive aggregate; not a Wilcoxon observation
phase12b,V0_full_proposed,per_instance,Gyorgy-KOVACS_WH_Wide_AW_5,621,38,30,0.9388083735909822,20.433333333333334,30,descriptive aggregate; not a Wilcoxon observation
phase12b,V0_full_proposed,aggregate_sum_of_per_instance_counts,ALL_FIXED_BLOCKS,2542,208,164,0.918174665617624,15.231707317073171,30,descriptive aggregate; not a Wilcoxon observation
phase12b,V1_fixed_sorting,per_instance,AT_S_comercial_layout_AW_3,465,28,25,0.9397849462365592,18.48,30,descriptive aggregate; not a Wilcoxon observation
phase12b,V1_fixed_sorting,per_instance,demo_layout_door_left_AW_2,445,45,31,0.898876404494382,13.903225806451612,30,descriptive aggregate; not a Wilcoxon observation
phase12b,V1_fixed_sorting,per_instance,Gyorgy-KOVACS_WH_Narrow_AW_4,646,22,22,0.9659442724458205,29.363636363636363,30,descriptive aggregate; not a Wilcoxon observation
phase12b,V1_fixed_sorting,per_instance,Gyorgy-KOVACS_WH_Wide_AW_5,614,36,31,0.9413680781758957,19.64516129032258,30,descriptive aggregate; not a Wilcoxon observation
phase12b,V1_fixed_sorting,aggregate_sum_of_per_instance_counts,ALL_FIXED_BLOCKS,2170,131,109,0.93963133640553,19.706422018348626,30,descriptive aggregate; not a Wilcoxon observation
phase12b,V2_fixed_weights,per_instance,AT_S_comercial_layout_AW_3,695,62,54,0.9107913669064748,12.722222222222221,30,descriptive aggregate; not a Wilcoxon observation
phase12b,V2_fixed_weights,per_instance,demo_layout_door_left_AW_2,479,56,42,0.8830897703549061,11.071428571428571,30,descriptive aggregate; not a Wilcoxon observation
phase12b,V2_fixed_weights,per_instance,Gyorgy-KOVACS_WH_Narrow_AW_4,655,45,36,0.9312977099236641,17.944444444444443,30,descriptive aggregate; not a Wilcoxon observation
phase12b,V2_fixed_weights,per_instance,Gyorgy-KOVACS_WH_Wide_AW_5,595,31,26,0.9478991596638655,22.692307692307693,30,descriptive aggregate; not a Wilcoxon observation
phase12b,V2_fixed_weights,aggregate_sum_of_per_instance_counts,ALL_FIXED_BLOCKS,2424,194,158,0.91996699669967,15.113924050632912,30,descriptive aggregate; not a Wilcoxon observation
phase12b,V3_uniform_mutation,per_instance,AT_S_comercial_layout_AW_3,748,70,58,0.9064171122994652,12.689655172413794,30,descriptive aggregate; not a Wilcoxon observation
phase12b,V3_uniform_mutation,per_instance,demo_layout_door_left_AW_2,521,70,46,0.8656429942418427,10.804347826086957,29,descriptive aggregate; not a Wilcoxon observation
phase12b,V3_uniform_mutation,per_instance,Gyorgy-KOVACS_WH_Narrow_AW_4,646,45,32,0.9303405572755418,19.78125,30,descriptive aggregate; not a Wilcoxon observation
phase12b,V3_uniform_mutation,per_instance,Gyorgy-KOVACS_WH_Wide_AW_5,618,38,32,0.9385113268608414,19.125,30,descriptive aggregate; not a Wilcoxon observation
phase12b,V3_uniform_mutation,aggregate_sum_of_per_instance_counts,ALL_FIXED_BLOCKS,2533,223,168,0.9119621002763522,14.75,30,descriptive aggregate; not a Wilcoxon observation
phase12b,V4_no_symmetry_breaking,per_instance,AT_S_comercial_layout_AW_3,690,65,55,0.9057971014492754,12.363636363636363,30,descriptive aggregate; not a Wilcoxon observation
phase12b,V4_no_symmetry_breaking,per_instance,demo_layout_door_left_AW_2,551,73,48,0.867513611615245,10.958333333333334,30,descriptive aggregate; not a Wilcoxon observation
phase12b,V4_no_symmetry_breaking,per_instance,Gyorgy-KOVACS_WH_Narrow_AW_4,645,47,35,0.9271317829457364,18.085714285714285,30,descriptive aggregate; not a Wilcoxon observation
phase12b,V4_no_symmetry_breaking,per_instance,Gyorgy-KOVACS_WH_Wide_AW_5,592,45,32,0.9239864864864865,18.09375,30,descriptive aggregate; not a Wilcoxon observation
phase12b,V4_no_symmetry_breaking,aggregate_sum_of_per_instance_counts,ALL_FIXED_BLOCKS,2478,230,170,0.9071832122679581,14.223529411764705,30,descriptive aggregate; not a Wilcoxon observation
phase12b,V5_random_feasible_start_spacing,per_instance,AT_S_comercial_layout_AW_3,817,66,57,0.9192166462668299,14.175438596491228,30,descriptive aggregate; not a Wilcoxon observation
phase12b,V5_random_feasible_start_spacing,per_instance,demo_layout_door_left_AW_2,558,95,63,0.8297491039426523,8.34920634920635,30,descriptive aggregate; not a Wilcoxon observation
phase12b,V5_random_feasible_start_spacing,per_instance,Gyorgy-KOVACS_WH_Narrow_AW_4,721,100,54,0.8613037447988905,12.5,30,descriptive aggregate; not a Wilcoxon observation
phase12b,V5_random_feasible_start_spacing,per_instance,Gyorgy-KOVACS_WH_Wide_AW_5,590,45,31,0.923728813559322,18.580645161290324,30,descriptive aggregate; not a Wilcoxon observation
phase12b,V5_random_feasible_start_spacing,aggregate_sum_of_per_instance_counts,ALL_FIXED_BLOCKS,2686,306,205,0.8860759493670887,12.609756097560975,30,descriptive aggregate; not a Wilcoxon observation
