comparison_group,method_or_variant,instance,metric,n,mean,std,median,iqr,min,max,sampling_unit,independence_note
phase12b,V0_full_proposed,AT_S_comercial_layout_AW_3,hypervolume,30,1.0250694556677893,0.10324884646730012,1.0045370370370372,0.13187828282828262,0.8585587542087545,1.2318897306397307,seed within one instance,
phase12b,V0_full_proposed,AT_S_comercial_layout_AW_3,igd_plus,30,0.092734495019517,0.04480225266221615,0.097336150042725,0.05923928901038539,0.0,0.15885215556213272,seed within one instance,
phase12b,V0_full_proposed,AT_S_comercial_layout_AW_3,osd,30,0.40393254734828693,0.14225714078072418,0.39009062876179484,0.23694826685600678,0.2087695552957769,0.6754358226507792,seed within one instance,
phase12b,V0_full_proposed,AT_S_comercial_layout_AW_3,nondominated_solution_count,30,3.8,0.8469010445797932,4.0,1.0,3.0,6.0,seed within one instance,
phase12b,V0_full_proposed,AT_S_comercial_layout_AW_3,archive_size_rank_0_3,30,23.633333333333333,5.162753430922859,22.0,5.75,17.0,40.0,seed within one instance,
phase12b,V0_full_proposed,AT_S_comercial_layout_AW_3,unique_layout_signature_count_rank_0_3,30,23.633333333333333,5.162753430922859,22.0,5.75,17.0,40.0,seed within one instance,
phase12b,V0_full_proposed,AT_S_comercial_layout_AW_3,runtime_seconds,30,120.80411744999999,26.7553688544859,113.06025255,40.024813975000015,84.0758948,174.7312771,seed within one instance,
phase12b,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,hypervolume,30,0.8483381356495168,0.2491590231801253,1.0081081891254529,0.4835973517371378,0.42828737295313396,1.0081081891254529,seed within one instance,
phase12b,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,igd_plus,30,0.3049636856289842,0.20449341096580492,0.17357670327574523,0.4224443197183757,0.17357670327574523,0.6425578873713832,seed within one instance,
phase12b,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,osd,30,0.11957475269735693,0.1884223561272069,0.0,0.3399111971623471,0.0,0.473918036147423,seed within one instance,
phase12b,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,nondominated_solution_count,30,1.5666666666666667,0.9714309861845772,1.0,1.0,1.0,4.0,seed within one instance,
phase12b,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,archive_size_rank_0_3,30,21.833333333333332,2.5741866252486814,21.5,3.75,17.0,28.0,seed within one instance,
phase12b,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,unique_layout_signature_count_rank_0_3,30,21.833333333333332,2.5741866252486814,21.5,3.75,17.0,28.0,seed within one instance,
phase12b,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,runtime_seconds,30,1361.9932646,170.14476128868898,1341.7456185,261.657882,1026.5916,1693.995027,seed within one instance,
phase12b,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,hypervolume,30,1.2414205480836389,0.034342184886302037,1.247690544529053,0.0,1.0595906511666469,1.247690544529053,seed within one instance,
phase12b,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,igd_plus,30,0.0020422127576037305,0.011185659945643932,0.0,0.0,0.0,0.06126638272811191,seed within one instance,
phase12b,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,osd,30,0.2966340950755155,0.017757307557346242,0.29987612104542066,0.0,0.2026153419482657,0.29987612104542066,seed within one instance,
phase12b,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,nondominated_solution_count,30,2.966666666666667,0.18257418583505533,3.0,0.0,2.0,3.0,seed within one instance,
phase12b,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,archive_size_rank_0_3,30,20.7,2.4374944739106237,20.5,3.0,17.0,26.0,seed within one instance,
phase12b,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,unique_layout_signature_count_rank_0_3,30,20.7,2.4374944739106237,20.5,3.0,17.0,26.0,seed within one instance,
phase12b,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,runtime_seconds,30,1798.3580547333331,737.2845126839837,1393.7575865,1501.4335752500003,1039.96856,3002.449779,seed within one instance,
phase12b,V0_full_proposed,demo_layout_door_left_AW_2,hypervolume,30,1.0710797619047618,0.23242205122009377,1.2402500000000003,0.43848598710317477,0.7855952380952382,1.3260089285714287,seed within one instance,
phase12b,V0_full_proposed,demo_layout_door_left_AW_2,igd_plus,30,0.13894737293236306,0.13575084829739523,0.0375,0.27486949525011306,0.0,0.30090202489904666,seed within one instance,
phase12b,V0_full_proposed,demo_layout_door_left_AW_2,osd,30,0.13301018726745312,0.14259169349913928,0.08716733002700197,0.2727397569173459,0.0,0.3353458610123654,seed within one instance,
phase12b,V0_full_proposed,demo_layout_door_left_AW_2,nondominated_solution_count,30,2.1666666666666665,1.2617266038997932,2.0,2.0,1.0,5.0,seed within one instance,
phase12b,V0_full_proposed,demo_layout_door_left_AW_2,archive_size_rank_0_3,30,18.566666666666666,4.868500677885822,18.0,6.75,10.0,27.0,seed within one instance,
phase12b,V0_full_proposed,demo_layout_door_left_AW_2,unique_layout_signature_count_rank_0_3,30,18.566666666666666,4.868500677885822,18.0,6.75,10.0,27.0,seed within one instance,
phase12b,V0_full_proposed,demo_layout_door_left_AW_2,runtime_seconds,30,1128.5987141266667,80.86342115701183,1140.59379,94.35186499999986,964.4566384,1285.034639,seed within one instance,
