comparison_group,method_or_variant,instance,seed,configured_max_depth,retained_archive_count,mean_retained_depth,median_retained_depth,min_retained_depth,max_retained_depth,retained_layouts_reaching_cap,run_reaches_configured_cap,scope_note
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,101,28,21,4.809523809523809,5.0,4,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,102,28,23,4.956521739130435,5.0,4,7,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,103,28,26,4.8076923076923075,5.0,4,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,104,28,17,4.588235294117647,4.0,4,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,105,28,27,4.888888888888889,5.0,4,7,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,106,28,32,4.40625,4.0,3,7,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,107,28,21,4.857142857142857,5.0,4,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,108,28,40,4.45,4.0,3,7,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,109,28,20,4.55,4.0,4,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,110,28,22,4.409090909090909,4.0,3,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,111,28,30,4.5,4.0,3,7,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,112,28,20,4.6,4.0,3,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,113,28,23,4.173913043478261,4.0,3,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,114,28,20,4.9,5.0,4,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,115,28,20,4.65,4.5,4,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,116,28,31,4.32258064516129,4.0,3,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,117,28,20,5.0,5.0,4,7,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,118,28,20,4.6,4.0,4,7,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,119,28,29,4.413793103448276,4.0,3,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,120,28,25,5.04,5.0,4,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,121,28,23,4.913043478260869,5.0,4,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,122,28,20,4.35,4.0,3,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,123,28,21,4.380952380952381,4.0,3,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,124,28,23,4.565217391304348,4.0,4,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,125,28,20,4.5,4.0,4,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,126,28,20,4.85,5.0,4,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,127,28,32,4.25,4.0,3,7,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,128,28,18,4.388888888888889,4.0,3,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,129,28,23,4.391304347826087,4.0,3,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,AT_S_comercial_layout_AW_3,130,28,22,4.7272727272727275,4.5,3,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,101,28,19,10.736842105263158,11.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,102,28,12,11.0,12.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,103,28,18,10.944444444444445,12.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,104,28,16,10.875,11.5,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,105,28,11,11.363636363636363,12.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,106,28,10,11.7,12.0,11,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
