comparison_group,method_or_variant,scope,instance,total_archive_entries_rank_0_3,unique_signatures_cross_seed_rank_0_3,repeated_signatures_cross_seed_rank_0_3,cross_seed_rediscovery_ratio_rank_0_3,mean_seeds_per_repeated_signature,max_seed_overlap,inference_scope
phase12c,V0_full_proposed,per_instance,AT_S_comercial_layout_AW_3,709,62,58,0.9125528913963329,12.155172413793103,30,descriptive aggregate; not a Wilcoxon observation
phase12c,V0_full_proposed,per_instance,demo_layout_door_left_AW_2,557,69,43,0.8761220825852782,12.348837209302326,30,descriptive aggregate; not a Wilcoxon observation
phase12c,V0_full_proposed,per_instance,Gyorgy-KOVACS_WH_Narrow_AW_4,655,39,33,0.9404580152671755,19.666666666666668,30,descriptive aggregate; not a Wilcoxon observation
phase12c,V0_full_proposed,per_instance,Gyorgy-KOVACS_WH_Wide_AW_5,621,38,30,0.9388083735909822,20.433333333333334,30,descriptive aggregate; not a Wilcoxon observation
phase12c,V0_full_proposed,aggregate_sum_of_per_instance_counts,ALL_FIXED_BLOCKS,2542,208,164,0.918174665617624,15.231707317073171,30,descriptive aggregate; not a Wilcoxon observation
phase12c,V6_depth15_beam_default,per_instance,AT_S_comercial_layout_AW_3,709,62,58,0.9125528913963329,12.155172413793103,30,descriptive aggregate; not a Wilcoxon observation
phase12c,V6_depth15_beam_default,per_instance,demo_layout_door_left_AW_2,557,69,43,0.8761220825852782,12.348837209302326,30,descriptive aggregate; not a Wilcoxon observation
phase12c,V6_depth15_beam_default,per_instance,Gyorgy-KOVACS_WH_Narrow_AW_4,655,39,33,0.9404580152671755,19.666666666666668,30,descriptive aggregate; not a Wilcoxon observation
phase12c,V6_depth15_beam_default,per_instance,Gyorgy-KOVACS_WH_Wide_AW_5,621,38,30,0.9388083735909822,20.433333333333334,30,descriptive aggregate; not a Wilcoxon observation
phase12c,V6_depth15_beam_default,aggregate_sum_of_per_instance_counts,ALL_FIXED_BLOCKS,2542,208,164,0.918174665617624,15.231707317073171,30,descriptive aggregate; not a Wilcoxon observation
phase12c,V7_beam_plus1_depth_default,per_instance,AT_S_comercial_layout_AW_3,1005,92,73,0.9084577114427861,13.506849315068493,30,descriptive aggregate; not a Wilcoxon observation
phase12c,V7_beam_plus1_depth_default,per_instance,demo_layout_door_left_AW_2,583,87,55,0.8507718696397941,10.018181818181818,29,descriptive aggregate; not a Wilcoxon observation
phase12c,V7_beam_plus1_depth_default,per_instance,Gyorgy-KOVACS_WH_Narrow_AW_4,669,58,36,0.9133034379671151,17.97222222222222,30,descriptive aggregate; not a Wilcoxon observation
phase12c,V7_beam_plus1_depth_default,per_instance,Gyorgy-KOVACS_WH_Wide_AW_5,702,36,34,0.9487179487179487,20.58823529411765,30,descriptive aggregate; not a Wilcoxon observation
phase12c,V7_beam_plus1_depth_default,aggregate_sum_of_per_instance_counts,ALL_FIXED_BLOCKS,2959,273,198,0.9077391010476512,14.565656565656566,30,descriptive aggregate; not a Wilcoxon observation
