scope,comparison_group,instance,metric,method1,method2,n_pairs,wilcoxon_statistic,p_value_raw,zero_method,alternative,preferred_direction,rank_biserial_method1_preferred,method1_wins,ties,method1_losses,method1_win_proportion,tie_proportion,method1_loss_proportion,raw_mean_difference_method1_minus_method2,holm_family,p_value_holm
per_instance_supporting,phase12c,AT_S_comercial_layout_AW_3,hypervolume,V0_full_proposed,V6_depth15_beam_default,30,0.0,1.0,wilcox,two-sided,higher,0.0,0,30,0,0.0,1.0,0.0,0.0,"2 V0-vs-variant comparisons within metric=hypervolume, instance=AT_S_comercial_layout_AW_3",1.0
per_instance_supporting,phase12c,AT_S_comercial_layout_AW_3,hypervolume,V0_full_proposed,V7_beam_plus1_depth_default,30,34.0,4.44727004945395e-05,wilcox,two-sided,higher,-0.853763440860215,5,0,25,0.16666666666666666,0.0,0.8333333333333334,-0.08585251402918065,"2 V0-vs-variant comparisons within metric=hypervolume, instance=AT_S_comercial_layout_AW_3",8.8945400989079e-05
per_instance_supporting,phase12c,AT_S_comercial_layout_AW_3,igd_plus,V0_full_proposed,V6_depth15_beam_default,30,0.0,1.0,wilcox,two-sided,lower,0.0,0,30,0,0.0,1.0,0.0,0.0,"2 V0-vs-variant comparisons within metric=igd_plus, instance=AT_S_comercial_layout_AW_3",1.0
per_instance_supporting,phase12c,AT_S_comercial_layout_AW_3,igd_plus,V0_full_proposed,V7_beam_plus1_depth_default,30,93.0,0.02105115103472704,wilcox,two-sided,lower,-0.5079365079365079,7,3,20,0.23333333333333334,0.1,0.6666666666666666,0.02025018253119074,"2 V0-vs-variant comparisons within metric=igd_plus, instance=AT_S_comercial_layout_AW_3",0.04210230206945408
per_instance_supporting,phase12c,AT_S_comercial_layout_AW_3,osd,V0_full_proposed,V6_depth15_beam_default,30,0.0,1.0,wilcox,two-sided,descriptive_no_preferred_direction,,0,30,0,0.0,1.0,0.0,0.0,"2 V0-vs-variant comparisons within metric=osd, instance=AT_S_comercial_layout_AW_3",1.0
per_instance_supporting,phase12c,AT_S_comercial_layout_AW_3,osd,V0_full_proposed,V7_beam_plus1_depth_default,30,197.0,0.4652707817516224,wilcox,two-sided,descriptive_no_preferred_direction,,14,0,16,0.4666666666666667,0.0,0.5333333333333333,0.03363080132647723,"2 V0-vs-variant comparisons within metric=osd, instance=AT_S_comercial_layout_AW_3",0.9305415635032448
per_instance_supporting,phase12c,AT_S_comercial_layout_AW_3,unique_layout_signature_count_rank_0_3,V0_full_proposed,V6_depth15_beam_default,30,0.0,1.0,wilcox,two-sided,higher,0.0,0,30,0,0.0,1.0,0.0,0.0,"2 V0-vs-variant comparisons within metric=unique_layout_signature_count_rank_0_3, instance=AT_S_comercial_layout_AW_3",1.0
per_instance_supporting,phase12c,AT_S_comercial_layout_AW_3,unique_layout_signature_count_rank_0_3,V0_full_proposed,V7_beam_plus1_depth_default,30,21.0,2.1192460923962182e-05,wilcox,two-sided,higher,-0.903448275862069,2,1,27,0.06666666666666667,0.03333333333333333,0.9,-9.866666666666667,"2 V0-vs-variant comparisons within metric=unique_layout_signature_count_rank_0_3, instance=AT_S_comercial_layout_AW_3",4.2384921847924364e-05
per_instance_supporting,phase12c,AT_S_comercial_layout_AW_3,runtime_seconds,V0_full_proposed,V6_depth15_beam_default,30,139.0,0.054921628907322884,wilcox,two-sided,lower,0.4021505376344086,20,0,10,0.6666666666666666,0.0,0.3333333333333333,-8.99088969666695,"2 V0-vs-variant comparisons within metric=runtime_seconds, instance=AT_S_comercial_layout_AW_3",0.054921628907322884
per_instance_supporting,phase12c,AT_S_comercial_layout_AW_3,runtime_seconds,V0_full_proposed,V7_beam_plus1_depth_default,30,71.0,0.0005054883658885956,wilcox,two-sided,lower,0.6946236559139785,22,0,8,0.7333333333333333,0.0,0.26666666666666666,-20.82931359333423,"2 V0-vs-variant comparisons within metric=runtime_seconds, instance=AT_S_comercial_layout_AW_3",0.0010109767317771912
per_instance_supporting,phase12c,demo_layout_door_left_AW_2,hypervolume,V0_full_proposed,V6_depth15_beam_default,30,0.0,1.0,wilcox,two-sided,higher,0.0,0,30,0,0.0,1.0,0.0,0.0,"2 V0-vs-variant comparisons within metric=hypervolume, instance=demo_layout_door_left_AW_2",1.0
per_instance_supporting,phase12c,demo_layout_door_left_AW_2,hypervolume,V0_full_proposed,V7_beam_plus1_depth_default,30,69.0,0.2947878363761496,wilcox,two-sided,higher,0.2736842105263158,13,11,6,0.43333333333333335,0.36666666666666664,0.2,0.06311826674065855,"2 V0-vs-variant comparisons within metric=hypervolume, instance=demo_layout_door_left_AW_2",0.5895756727522992
per_instance_supporting,phase12c,demo_layout_door_left_AW_2,igd_plus,V0_full_proposed,V6_depth15_beam_default,30,0.0,1.0,wilcox,two-sided,lower,0.0,0,30,0,0.0,1.0,0.0,0.0,"2 V0-vs-variant comparisons within metric=igd_plus, instance=demo_layout_door_left_AW_2",1.0
per_instance_supporting,phase12c,demo_layout_door_left_AW_2,igd_plus,V0_full_proposed,V7_beam_plus1_depth_default,30,40.5,0.26593572857350756,wilcox,two-sided,lower,0.325,9,15,6,0.3,0.5,0.2,-0.034357675931516195,"2 V0-vs-variant comparisons within metric=igd_plus, instance=demo_layout_door_left_AW_2",0.5318714571470151
per_instance_supporting,phase12c,demo_layout_door_left_AW_2,osd,V0_full_proposed,V6_depth15_beam_default,30,0.0,1.0,wilcox,two-sided,descriptive_no_preferred_direction,,0,30,0,0.0,1.0,0.0,0.0,"2 V0-vs-variant comparisons within metric=osd, instance=demo_layout_door_left_AW_2",1.0
per_instance_supporting,phase12c,demo_layout_door_left_AW_2,osd,V0_full_proposed,V7_beam_plus1_depth_default,30,79.5,0.7931150828995059,wilcox,two-sided,descriptive_no_preferred_direction,,9,12,9,0.3,0.4,0.3,-0.01418508116946208,"2 V0-vs-variant comparisons within metric=osd, instance=demo_layout_door_left_AW_2",1.0
per_instance_supporting,phase12c,demo_layout_door_left_AW_2,unique_layout_signature_count_rank_0_3,V0_full_proposed,V6_depth15_beam_default,30,0.0,1.0,wilcox,two-sided,higher,0.0,0,30,0,0.0,1.0,0.0,0.0,"2 V0-vs-variant comparisons within metric=unique_layout_signature_count_rank_0_3, instance=demo_layout_door_left_AW_2",1.0
per_instance_supporting,phase12c,demo_layout_door_left_AW_2,unique_layout_signature_count_rank_0_3,V0_full_proposed,V7_beam_plus1_depth_default,30,146.5,0.19705892468805786,wilcox,two-sided,higher,-0.27832512315270935,10,2,18,0.3333333333333333,0.06666666666666667,0.6,-0.8666666666666667,"2 V0-vs-variant comparisons within metric=unique_layout_signature_count_rank_0_3, instance=demo_layout_door_left_AW_2",0.3941178493761157
