comparison_group,method_or_variant,instance,seed,configured_max_depth,observed_min_structural_depth,observed_max_structural_depth,retained_archive_count,retained_unique_signature_count,retained_layouts_reaching_cap,run_reaches_configured_cap,runtime_seconds,candidate_row_count,candidate_rows_at_cap,candidate_rows_above_cap,candidate_rows_safety_max_depth_reached,archive_index_path
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,101,28,8,12,19,19,0,False,1179.861464,177,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s101/runs/demo_layout_door_left_AW_2/seed_101/final_ranked_layouts_index.json
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,102,28,8,12,12,12,0,False,1215.146425,175,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s102/runs/demo_layout_door_left_AW_2/seed_102/final_ranked_layouts_index.json
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,103,28,8,12,18,18,0,False,1231.979942,177,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s103/runs/demo_layout_door_left_AW_2/seed_103/final_ranked_layouts_index.json
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,104,28,8,12,16,16,0,False,1285.034639,187,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s104/runs/demo_layout_door_left_AW_2/seed_104/final_ranked_layouts_index.json
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,105,28,8,12,11,11,0,False,1195.871515,202,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s105/runs/demo_layout_door_left_AW_2/seed_105/final_ranked_layouts_index.json
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,106,28,11,12,10,10,0,False,1107.34791,208,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s106/runs/demo_layout_door_left_AW_2/seed_106/final_ranked_layouts_index.json
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,107,28,8,12,14,14,0,False,1187.210853,158,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s107/runs/demo_layout_door_left_AW_2/seed_107/final_ranked_layouts_index.json
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,108,28,8,12,27,27,0,False,1221.025477,185,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s108/runs/demo_layout_door_left_AW_2/seed_108/final_ranked_layouts_index.json
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,109,28,8,12,14,14,0,False,1166.607857,186,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s109/runs/demo_layout_door_left_AW_2/seed_109/final_ranked_layouts_index.json
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,110,28,8,12,25,25,0,False,1203.364252,184,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s110/runs/demo_layout_door_left_AW_2/seed_110/final_ranked_layouts_index.json
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,111,28,8,12,22,22,0,False,1188.965461,185,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s111/runs/demo_layout_door_left_AW_2/seed_111/final_ranked_layouts_index.json
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,112,28,8,12,20,20,0,False,1043.038583,196,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s112/runs/demo_layout_door_left_AW_2/seed_112/final_ranked_layouts_index.json
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,113,28,8,12,21,21,0,False,974.7041467,189,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s113/runs/demo_layout_door_left_AW_2/seed_113/final_ranked_layouts_index.json
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,114,28,8,12,15,15,0,False,1116.434502,184,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s114/runs/demo_layout_door_left_AW_2/seed_114/final_ranked_layouts_index.json
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,115,28,8,12,25,25,0,False,1008.304336,205,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s115/runs/demo_layout_door_left_AW_2/seed_115/final_ranked_layouts_index.json
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,116,28,10,12,11,11,0,False,979.9472457,198,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s116/runs/demo_layout_door_left_AW_2/seed_116/final_ranked_layouts_index.json
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,117,28,8,12,18,18,0,False,1146.200848,182,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s117/runs/demo_layout_door_left_AW_2/seed_117/final_ranked_layouts_index.json
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,118,28,8,12,17,17,0,False,1033.227345,217,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s118/runs/demo_layout_door_left_AW_2/seed_118/final_ranked_layouts_index.json
