seed,matched_on_all_non_depth_scientific_fields,differing_fields,v0_configured_max_depth,v6b_configured_max_depth,intended_difference
101,True,,28,10,configured max depth / ablation label only
102,True,,28,10,configured max depth / ablation label only
103,True,,28,10,configured max depth / ablation label only
104,True,,28,10,configured max depth / ablation label only
105,True,,28,10,configured max depth / ablation label only
106,True,,28,10,configured max depth / ablation label only
107,True,,28,10,configured max depth / ablation label only
108,True,,28,10,configured max depth / ablation label only
109,True,,28,10,configured max depth / ablation label only
110,True,,28,10,configured max depth / ablation label only
111,True,,28,10,configured max depth / ablation label only
112,True,,28,10,configured max depth / ablation label only
113,True,,28,10,configured max depth / ablation label only
114,True,,28,10,configured max depth / ablation label only
115,True,,28,10,configured max depth / ablation label only
116,True,,28,10,configured max depth / ablation label only
117,True,,28,10,configured max depth / ablation label only
118,True,,28,10,configured max depth / ablation label only
119,True,,28,10,configured max depth / ablation label only
120,True,,28,10,configured max depth / ablation label only
121,True,,28,10,configured max depth / ablation label only
122,True,,28,10,configured max depth / ablation label only
123,True,,28,10,configured max depth / ablation label only
124,True,,28,10,configured max depth / ablation label only
125,True,,28,10,configured max depth / ablation label only
126,True,,28,10,configured max depth / ablation label only
127,True,,28,10,configured max depth / ablation label only
128,True,,28,10,configured max depth / ablation label only
129,True,,28,10,configured max depth / ablation label only
130,True,,28,10,configured max depth / ablation label only
