comparison_group,instance,method_or_variant,seed,hypervolume,igd_plus,osd,nondominated_solution_count,archive_size_rank_0_3,unique_layout_signature_count_rank_0_3,runtime_seconds
v6b_demo_matched,demo_layout_door_left_AW_2,V0_full_proposed,101,1.3288752182994898,0.0,0.06037711643194536,2,19,19,1179.861464
v6b_demo_matched,demo_layout_door_left_AW_2,V0_full_proposed,102,1.2673157894736846,0.02631578947368421,0.0,1,12,12,1215.146425
v6b_demo_matched,demo_layout_door_left_AW_2,V0_full_proposed,103,1.2673157894736846,0.02631578947368421,0.0,1,18,18,1231.979942
v6b_demo_matched,demo_layout_door_left_AW_2,V0_full_proposed,104,1.3288752182994898,0.0,0.06037711643194536,2,16,16,1285.034639
v6b_demo_matched,demo_layout_door_left_AW_2,V0_full_proposed,105,1.2673157894736846,0.02631578947368421,0.0,1,11,11,1195.871515
v6b_demo_matched,demo_layout_door_left_AW_2,V0_full_proposed,106,1.2673157894736846,0.02631578947368421,0.0,1,10,10,1107.34791
v6b_demo_matched,demo_layout_door_left_AW_2,V0_full_proposed,107,1.2673157894736846,0.02631578947368421,0.0,1,14,14,1187.210853
v6b_demo_matched,demo_layout_door_left_AW_2,V0_full_proposed,108,1.0018658737496529,0.2016999892715683,0.20587805987389174,4,27,27,1221.025477
v6b_demo_matched,demo_layout_door_left_AW_2,V0_full_proposed,109,1.2673157894736846,0.02631578947368421,0.0,1,14,14,1166.607857
v6b_demo_matched,demo_layout_door_left_AW_2,V0_full_proposed,110,1.0406654548429197,0.14518671072661035,0.1098903324662417,2,25,25,1203.364252
v6b_demo_matched,demo_layout_door_left_AW_2,V0_full_proposed,111,0.9639064175294016,0.20313222194261715,0.23305675035454096,3,22,22,1188.965461
v6b_demo_matched,demo_layout_door_left_AW_2,V0_full_proposed,112,0.9658716836550281,0.20313222194261715,0.18691268380710635,4,20,20,1043.038583
v6b_demo_matched,demo_layout_door_left_AW_2,V0_full_proposed,113,0.9843058057201126,0.2016999892715683,0.21042818362502078,4,21,21,974.7041467
v6b_demo_matched,demo_layout_door_left_AW_2,V0_full_proposed,114,1.2673157894736846,0.02631578947368421,0.0,1,15,15,1116.434502
v6b_demo_matched,demo_layout_door_left_AW_2,V0_full_proposed,115,0.9848208783724658,0.2016999892715683,0.17686800174343245,5,25,25,1008.304336
v6b_demo_matched,demo_layout_door_left_AW_2,V0_full_proposed,116,1.3288752182994898,0.0,0.06037711643194536,2,11,11,979.9472457
v6b_demo_matched,demo_layout_door_left_AW_2,V0_full_proposed,117,0.9639064175294016,0.20313222194261715,0.23305675035454096,3,18,18,1146.200848
v6b_demo_matched,demo_layout_door_left_AW_2,V0_full_proposed,118,0.9966760530691294,0.1634381845804596,0.0,1,17,17,1033.227345
v6b_demo_matched,demo_layout_door_left_AW_2,V0_full_proposed,119,0.9658716836550281,0.20313222194261715,0.18691268380710635,4,26,26,1099.88287
v6b_demo_matched,demo_layout_door_left_AW_2,V0_full_proposed,120,1.3288752182994898,0.0,0.06037711643194536,2,16,16,1105.598826
v6b_demo_matched,demo_layout_door_left_AW_2,V0_full_proposed,121,0.9984820889786818,0.20313222194261715,0.23732816943430726,3,23,23,1163.558427
v6b_demo_matched,demo_layout_door_left_AW_2,V0_full_proposed,122,1.2865920624593365,0.014792845281956516,0.0,1,19,19,1129.41555
v6b_demo_matched,demo_layout_door_left_AW_2,V0_full_proposed,123,1.2673157894736846,0.02631578947368421,0.0,1,16,16,1092.272302
v6b_demo_matched,demo_layout_door_left_AW_2,V0_full_proposed,124,1.2865920624593365,0.014792845281956516,0.0,1,18,18,964.4566384
v6b_demo_matched,demo_layout_door_left_AW_2,V0_full_proposed,125,0.9639064175294016,0.20313222194261715,0.23305675035454096,3,25,25,1146.498567
v6b_demo_matched,demo_layout_door_left_AW_2,V0_full_proposed,126,0.9991318509894344,0.20313222194261715,0.1838883697217003,4,26,26,1148.09955
