phase,method_or_variant,instance,seed,command,status,started_at,finished_at,runtime_seconds,return_code,output_dir,log_path,error_message
phase11,bs_only,AT_S_comercial_layout_AW_3,101,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances AT_S_comercial_layout_AW_3 --seeds 101 --method bs_only --experiment-id p11__bsonly__AT_S_AW3__s101 --output-dir results\revision_final_30seed_nofg\p11\bsonly --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T20:44:30+00:00,2026-09-04T20:44:53+00:00,22.664615,0,results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s101,results\revision_final_30seed_nofg\logs\p11__bsonly__AT_S_AW3__s101.log,
phase11,bs_only,AT_S_comercial_layout_AW_3,102,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances AT_S_comercial_layout_AW_3 --seeds 102 --method bs_only --experiment-id p11__bsonly__AT_S_AW3__s102 --output-dir results\revision_final_30seed_nofg\p11\bsonly --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T20:44:51+00:00,2026-09-04T20:45:09+00:00,18.189432,0,results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s102,results\revision_final_30seed_nofg\logs\p11__bsonly__AT_S_AW3__s102.log,
phase11,bs_only,AT_S_comercial_layout_AW_3,103,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances AT_S_comercial_layout_AW_3 --seeds 103 --method bs_only --experiment-id p11__bsonly__AT_S_AW3__s103 --output-dir results\revision_final_30seed_nofg\p11\bsonly --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T20:44:53+00:00,2026-09-04T20:45:11+00:00,17.8505506,0,results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s103,results\revision_final_30seed_nofg\logs\p11__bsonly__AT_S_AW3__s103.log,
phase11,bs_only,AT_S_comercial_layout_AW_3,104,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances AT_S_comercial_layout_AW_3 --seeds 104 --method bs_only --experiment-id p11__bsonly__AT_S_AW3__s104 --output-dir results\revision_final_30seed_nofg\p11\bsonly --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T20:45:03+00:00,2026-09-04T20:45:21+00:00,17.7415078,0,results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s104,results\revision_final_30seed_nofg\logs\p11__bsonly__AT_S_AW3__s104.log,
phase11,bs_only,AT_S_comercial_layout_AW_3,105,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances AT_S_comercial_layout_AW_3 --seeds 105 --method bs_only --experiment-id p11__bsonly__AT_S_AW3__s105 --output-dir results\revision_final_30seed_nofg\p11\bsonly --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T20:45:09+00:00,2026-09-04T20:45:31+00:00,21.7339677,0,results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s105,results\revision_final_30seed_nofg\logs\p11__bsonly__AT_S_AW3__s105.log,
phase11,bs_only,AT_S_comercial_layout_AW_3,106,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances AT_S_comercial_layout_AW_3 --seeds 106 --method bs_only --experiment-id p11__bsonly__AT_S_AW3__s106 --output-dir results\revision_final_30seed_nofg\p11\bsonly --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T20:45:11+00:00,2026-09-04T20:45:31+00:00,19.7371557,0,results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s106,results\revision_final_30seed_nofg\logs\p11__bsonly__AT_S_AW3__s106.log,
phase11,bs_only,AT_S_comercial_layout_AW_3,107,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances AT_S_comercial_layout_AW_3 --seeds 107 --method bs_only --experiment-id p11__bsonly__AT_S_AW3__s107 --output-dir results\revision_final_30seed_nofg\p11\bsonly --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T20:45:21+00:00,2026-09-04T20:45:39+00:00,17.9772899,0,results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s107,results\revision_final_30seed_nofg\logs\p11__bsonly__AT_S_AW3__s107.log,
phase11,bs_only,AT_S_comercial_layout_AW_3,108,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances AT_S_comercial_layout_AW_3 --seeds 108 --method bs_only --experiment-id p11__bsonly__AT_S_AW3__s108 --output-dir results\revision_final_30seed_nofg\p11\bsonly --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T20:45:31+00:00,2026-09-04T20:45:49+00:00,18.7843912,0,results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s108,results\revision_final_30seed_nofg\logs\p11__bsonly__AT_S_AW3__s108.log,
phase11,bs_only,AT_S_comercial_layout_AW_3,109,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances AT_S_comercial_layout_AW_3 --seeds 109 --method bs_only --experiment-id p11__bsonly__AT_S_AW3__s109 --output-dir results\revision_final_30seed_nofg\p11\bsonly --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T20:45:31+00:00,2026-09-04T20:45:49+00:00,18.4448943,0,results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s109,results\revision_final_30seed_nofg\logs\p11__bsonly__AT_S_AW3__s109.log,
phase11,bs_only,AT_S_comercial_layout_AW_3,110,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances AT_S_comercial_layout_AW_3 --seeds 110 --method bs_only --experiment-id p11__bsonly__AT_S_AW3__s110 --output-dir results\revision_final_30seed_nofg\p11\bsonly --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T20:45:39+00:00,2026-09-04T20:45:58+00:00,18.9264898,0,results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s110,results\revision_final_30seed_nofg\logs\p11__bsonly__AT_S_AW3__s110.log,
phase11,bs_only,AT_S_comercial_layout_AW_3,111,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances AT_S_comercial_layout_AW_3 --seeds 111 --method bs_only --experiment-id p11__bsonly__AT_S_AW3__s111 --output-dir results\revision_final_30seed_nofg\p11\bsonly --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T20:45:49+00:00,2026-09-04T20:46:12+00:00,22.7996774,0,results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s111,results\revision_final_30seed_nofg\logs\p11__bsonly__AT_S_AW3__s111.log,
phase11,bs_only,AT_S_comercial_layout_AW_3,112,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances AT_S_comercial_layout_AW_3 --seeds 112 --method bs_only --experiment-id p11__bsonly__AT_S_AW3__s112 --output-dir results\revision_final_30seed_nofg\p11\bsonly --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T20:45:49+00:00,2026-09-04T20:46:12+00:00,22.5129761,0,results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s112,results\revision_final_30seed_nofg\logs\p11__bsonly__AT_S_AW3__s112.log,
phase11,bs_only,AT_S_comercial_layout_AW_3,113,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances AT_S_comercial_layout_AW_3 --seeds 113 --method bs_only --experiment-id p11__bsonly__AT_S_AW3__s113 --output-dir results\revision_final_30seed_nofg\p11\bsonly --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T20:45:58+00:00,2026-09-04T20:46:16+00:00,18.211965,0,results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s113,results\revision_final_30seed_nofg\logs\p11__bsonly__AT_S_AW3__s113.log,
phase11,bs_only,AT_S_comercial_layout_AW_3,114,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances AT_S_comercial_layout_AW_3 --seeds 114 --method bs_only --experiment-id p11__bsonly__AT_S_AW3__s114 --output-dir results\revision_final_30seed_nofg\p11\bsonly --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T20:46:12+00:00,2026-09-04T20:46:29+00:00,17.3332073,0,results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s114,results\revision_final_30seed_nofg\logs\p11__bsonly__AT_S_AW3__s114.log,
