run_id,method,instance,seed,sorting_rule,depth,input_node_count,generated_child_count,unique_child_count,retained_node_count,terminal_node_count,safety_max_depth_reached
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS,1,1,53,53,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS,2,4,3,3,3,1,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS,3,3,54,54,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS,4,4,52,52,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS,5,4,40,40,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS,6,4,31,31,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS,7,4,8,8,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS,8,4,2,2,2,2,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS,9,2,0,0,0,2,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS_PF,1,1,53,53,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS_PF,2,4,3,3,3,1,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS_PF,3,3,54,54,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS_PF,4,4,52,52,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS_PF,5,4,40,40,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS_PF,6,4,31,31,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS_PF,7,4,8,8,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS_PF,8,4,2,2,2,2,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS_PF,9,2,0,0,0,2,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS_RP,1,1,53,53,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS_RP,2,4,3,3,3,1,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS_RP,3,3,54,54,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS_RP,4,4,52,52,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS_RP,5,4,40,40,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS_RP,6,4,31,31,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS_RP,7,4,8,8,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS_RP,8,4,2,2,2,2,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS_RP,9,2,0,0,0,2,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS_SS,1,1,53,53,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS_SS,2,4,3,3,3,1,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS_SS,3,3,54,54,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS_SS,4,4,52,52,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS_SS,5,4,40,40,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS_SS,6,4,31,31,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS_SS,7,4,8,8,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS_SS,8,4,2,2,2,2,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,LS_SS,9,2,0,0,0,2,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,PF,1,1,53,53,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,PF,2,4,3,3,3,1,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,PF,3,3,54,54,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,PF,4,4,52,52,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,PF,5,4,42,42,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,PF,6,4,31,31,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,PF,7,4,8,8,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,PF,8,4,2,2,2,2,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,PF,9,2,0,0,0,2,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,PF_LS,1,1,53,53,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,PF_LS,2,4,3,3,3,1,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,PF_LS,3,3,54,54,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,PF_LS,4,4,52,52,4,0,False
bs_only_Gyorgy-KOVACS_WH_Wide_AW_5_seed_120,bs_only,Gyorgy-KOVACS_WH_Wide_AW_5,120,PF_LS,5,4,42,42,4,0,False
