run_id,method,instance,seed,generation,chromosome_count,decoded_candidate_count,feasible_candidate_count,non_dominated_count,selected_survivor_count,best_pick_faces,best_storage_total,best_interior_storage,best_retrieval_penalty,mean_pick_faces,mean_storage_total,mean_interior_storage,mean_retrieval_penalty,runtime_seconds
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,0,10,22,13,3,10,216,280,41,34,198.69230769230768,263.84615384615387,65.15384615384616,62.84615384615385,61.09978890000002
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,1,10,29,10,3,10,214,260,36,34,207.5,252.8,45.3,43.6,84.15359489999992
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,2,10,23,15,3,10,216,268,36,34,203.06666666666666,258.93333333333334,55.86666666666667,50.333333333333336,66.45280899999989
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,3,10,26,10,3,10,214,260,36,34,201.5,255.2,53.7,43.2,76.20735560000003
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,4,10,23,13,4,10,216,266,36,34,204.23076923076923,254.92307692307693,50.69230769230769,47.23076923076923,65.72926300000017
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,5,10,25,14,4,10,216,266,36,34,201.64285714285714,256.57142857142856,54.92857142857143,44.285714285714285,69.3614121999999
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,6,10,22,11,3,10,216,266,36,36,202.45454545454547,255.63636363636363,53.18181818181818,46.63636363636363,58.195776399999886
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,7,10,30,9,3,9,214,252,36,36,210.0,250.88888888888889,40.888888888888886,44.888888888888886,85.70940459999974
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,8,10,27,15,4,10,216,266,36,34,206.6,253.33333333333334,46.733333333333334,46.6,78.96013330000005
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,9,10,29,16,3,10,214,270,36,34,202.8125,255.0,52.1875,46.625,80.84568969999964
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,10,10,23,11,3,10,214,270,36,34,202.36363636363637,256.72727272727275,54.36363636363637,44.09090909090909,81.98624879999988
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,11,10,23,12,3,10,216,266,36,34,202.25,256.0,53.75,48.0,78.61028189999979
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,12,10,26,9,3,9,214,260,36,34,206.88888888888889,253.77777777777777,46.888888888888886,39.666666666666664,86.89226390000022
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,13,10,26,13,3,10,214,270,36,34,202.76923076923077,256.0,53.23076923076923,46.38461538461539,87.2709976000001
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,14,10,24,11,3,10,214,260,36,34,202.36363636363637,254.9090909090909,52.54545454545455,44.09090909090909,81.79777039999999
