run_id,method,instance,seed,generation,chromosome_count,decoded_candidate_count,feasible_candidate_count,non_dominated_count,selected_survivor_count,best_pick_faces,best_storage_total,best_interior_storage,best_retrieval_penalty,mean_pick_faces,mean_storage_total,mean_interior_storage,mean_retrieval_penalty,runtime_seconds
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,0,10,21,13,3,10,216,280,36,34,200.0,263.0769230769231,63.07692307692308,60.92307692307692,69.27346670000043
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,1,10,24,5,2,5,214,260,36,34,205.8,254.0,48.2,37.6,85.07251259999975
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,2,10,28,5,2,5,214,260,36,34,205.8,254.0,48.2,37.6,84.08127289999902
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,3,10,23,6,3,6,216,266,36,34,207.5,256.0,48.5,39.666666666666664,78.00687429999743
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,4,10,28,5,2,5,214,260,36,34,205.8,254.0,48.2,37.6,81.74195770000006
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,5,10,22,7,2,7,214,264,36,34,203.0,256.57142857142856,53.57142857142857,49.142857142857146,79.54081600000063
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,6,10,23,6,2,6,214,262,36,34,202.5,255.33333333333334,52.833333333333336,48.0,84.85431519999838
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,7,10,26,5,2,5,214,260,36,34,205.8,254.0,48.2,37.6,84.4093643999986
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,8,10,25,5,2,5,214,260,36,34,205.8,254.0,48.2,37.6,84.78681460000007
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,9,10,25,5,2,5,214,260,36,34,205.8,254.0,48.2,37.6,85.28716410000197
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,10,10,25,5,2,5,214,260,36,34,205.8,254.0,48.2,37.6,84.02261010000075
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,11,10,24,6,3,6,216,266,36,34,207.5,256.0,48.5,39.666666666666664,76.38851859999704
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,12,10,19,6,3,6,216,266,36,34,207.5,256.0,48.5,39.666666666666664,60.30440429999726
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,13,10,23,6,3,6,216,266,36,34,207.5,256.0,48.5,39.666666666666664,75.1151738999979
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_117,proposed_nsga2_bs,demo_layout_door_left_AW_2,117,14,10,19,6,3,6,216,266,36,34,207.5,256.0,48.5,39.666666666666664,65.82172540000101
