run_id,method,instance,seed,generation,chromosome_count,decoded_candidate_count,feasible_candidate_count,non_dominated_count,selected_survivor_count,best_pick_faces,best_storage_total,best_interior_storage,best_retrieval_penalty,mean_pick_faces,mean_storage_total,mean_interior_storage,mean_retrieval_penalty,runtime_seconds
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_117,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,117,0,10,27,22,5,10,115,270,103,126,95.45454545454545,230.1818181818182,134.72727272727272,234.0,10.319889500002319
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_117,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,117,1,10,30,12,4,10,124,264,103,149,105.53333333333333,234.6,129.06666666666666,252.33333333333334,7.756910600000992
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_117,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,117,2,10,26,11,6,10,115,228,98,126,100.0909090909091,215.72727272727272,115.63636363636364,197.1818181818182,10.60363309999957
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_117,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,117,3,10,27,12,5,10,115,225,98,141,101.41666666666667,211.5,110.08333333333333,226.25,14.64156780000485
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_117,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,117,4,10,28,11,6,10,120,228,102,126,102.18181818181819,218.1818181818182,116.0,195.63636363636363,13.89111199999752
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_117,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,117,5,10,26,12,2,10,120,225,98,118,105.41666666666667,215.25,109.83333333333333,223.08333333333334,10.093163899997307
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_117,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,117,6,10,27,16,5,10,120,228,98,74,109.5625,218.8125,109.25,142.1875,11.130439000000479
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_117,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,117,7,10,28,12,5,10,120,225,98,74,112.41666666666667,216.25,103.83333333333333,130.66666666666666,11.868126000001212
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_117,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,117,8,10,28,14,4,10,120,228,102,74,107.57142857142857,218.35714285714286,110.78571428571429,192.14285714285714,10.651226999994833
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_117,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,117,9,10,27,12,4,10,120,228,102,74,112.0,223.75,111.75,137.41666666666666,9.533705599998939
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_117,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,117,10,10,27,12,2,10,120,228,102,118,109.25,220.0,110.75,154.33333333333334,10.324591900003725
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_117,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,117,11,10,29,14,4,10,120,234,102,74,110.35714285714286,226.07142857142858,115.71428571428571,183.57142857142858,9.537326500001654
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_117,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,117,12,10,29,10,3,10,120,228,102,74,111.4,224.1,112.7,146.8,8.84272929999861
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_117,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,117,13,10,29,15,4,10,120,228,102,74,110.4,220.4,110.0,168.46666666666667,9.696092799997132
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_117,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,117,14,10,30,10,4,10,120,222,102,74,113.7,217.5,103.8,167.1,12.068064299994148
