run_id,method,instance,seed,generation,chromosome_count,decoded_candidate_count,feasible_candidate_count,non_dominated_count,selected_survivor_count,best_pick_faces,best_storage_total,best_interior_storage,best_retrieval_penalty,mean_pick_faces,mean_storage_total,mean_interior_storage,mean_retrieval_penalty,runtime_seconds
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_125,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,125,0,12,36,32,3,12,247,727,250,368,201.71875,605.59375,403.875,827.5625,81.53794170000037
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_125,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,125,1,12,37,32,2,12,247,727,250,368,204.21875,604.65625,400.4375,824.34375,91.81338390000019
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_125,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,125,2,12,33,26,2,12,247,717,250,368,198.15384615384616,609.8846153846154,411.7307692307692,820.1923076923077,88.8875010000047
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_125,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,125,3,12,37,25,2,12,247,712,250,368,204.56,593.6,389.04,826.44,82.69059310000011
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_125,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,125,4,12,35,19,2,12,247,717,250,368,191.47368421052633,629.3684210526316,437.89473684210526,846.2631578947369,74.77275940000254
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_125,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,125,5,12,43,19,3,12,213,772,344,408,177.05263157894737,666.2105263157895,489.1578947368421,1099.3157894736842,56.653840700004366
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_125,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,125,6,12,42,21,1,12,238,772,279,368,200.52380952380952,607.952380952381,407.42857142857144,870.8571428571429,59.90345140000136
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_125,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,125,7,12,42,27,2,12,256,772,279,311,196.2962962962963,624.4074074074074,428.1111111111111,914.2962962962963,79.44104349999543
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_125,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,125,8,12,48,13,3,12,256,572,279,311,220.76923076923077,550.0769230769231,329.3076923076923,495.61538461538464,55.91528709999693
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_125,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,125,9,12,46,13,3,12,256,572,279,311,220.76923076923077,550.0769230769231,329.3076923076923,499.3076923076923,54.328086400004395
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_125,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,125,10,12,48,15,4,12,256,662,279,311,211.13333333333333,569.6666666666666,358.53333333333336,671.0,58.04665650000243
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_125,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,125,11,12,48,16,3,12,256,572,279,311,222.0625,547.3125,325.25,527.875,65.49971799999912
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_125,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,125,12,12,48,19,3,12,256,662,279,311,213.05263157894737,570.1578947368421,357.10526315789474,660.0526315789474,62.28806759999861
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_125,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,125,13,12,45,15,4,12,256,572,250,311,222.46666666666667,548.0,325.53333333333336,502.6,71.94768969999859
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_125,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,125,14,12,46,18,2,12,238,727,279,368,202.44444444444446,593.6666666666666,391.22222222222223,742.1111111111111,62.57556679999834
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_125,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,125,15,12,45,14,4,12,256,662,250,311,210.85714285714286,572.0,361.14285714285717,660.4285714285714,58.19573049999599
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_125,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,125,16,12,43,16,4,12,247,572,250,368,223.1875,538.25,315.0625,534.625,81.2236477999977
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_125,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,125,17,12,44,17,5,12,256,572,250,311,225.35294117647058,542.0,316.6470588235294,499.47058823529414,73.0257242000007
