run_id,method,instance,seed,generation,chromosome_count,decoded_candidate_count,feasible_candidate_count,non_dominated_count,selected_survivor_count,best_pick_faces,best_storage_total,best_interior_storage,best_retrieval_penalty,mean_pick_faces,mean_storage_total,mean_interior_storage,mean_retrieval_penalty,runtime_seconds
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_118,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,118,0,12,40,32,3,12,247,652,250,368,209.71875,587.9375,378.21875,669.15625,95.8315045000054
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_118,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,118,1,12,44,33,1,12,238,692,279,368,202.84848484848484,613.2121212121212,410.3636363636364,768.6666666666666,78.67987549999816
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_118,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,118,2,12,40,30,1,12,238,727,279,368,198.76666666666668,631.0,432.23333333333335,853.8333333333334,69.47991550000006
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_118,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,118,3,12,44,26,3,12,256,647,279,311,215.84615384615384,572.7692307692307,356.9230769230769,556.3846153846154,67.22677519999706
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_118,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,118,4,12,41,16,3,12,256,727,279,311,204.0,593.5625,389.5625,671.0625,63.381785499994294
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_118,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,118,5,12,48,20,3,12,256,662,279,311,207.4,588.5,381.1,707.65,60.449848099997325
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_118,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,118,6,12,45,19,3,12,256,662,279,311,212.47368421052633,575.9473684210526,363.4736842105263,656.1052631578947,62.28344680000009
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_118,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,118,7,12,43,18,3,12,256,662,279,311,211.05555555555554,575.3333333333334,364.27777777777777,653.2222222222222,65.84510210000008
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_118,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,118,8,12,40,19,3,12,256,572,279,311,217.6315789473684,554.1052631578947,336.4736842105263,522.0526315789474,64.93111099999805
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_118,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,118,9,12,36,21,3,12,256,592,279,311,215.85714285714286,556.7619047619048,340.9047619047619,550.8571428571429,76.9757763000016
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_118,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,118,10,12,48,13,3,12,256,572,279,311,220.76923076923077,550.0769230769231,329.3076923076923,499.3076923076923,53.203586800002086
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_118,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,118,11,12,46,11,4,11,256,567,250,311,225.8181818181818,532.4545454545455,306.6363636363636,455.1818181818182,66.76877950000198
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_118,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,118,12,12,43,16,5,12,256,612,250,311,216.4375,553.25,336.8125,510.375,76.3980761999992
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_118,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,118,13,12,40,16,5,12,256,572,250,311,225.6875,540.125,314.4375,489.25,88.38927980000153
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_118,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,118,14,12,42,11,5,11,256,567,250,311,225.8181818181818,532.4545454545455,306.6363636363636,438.6363636363636,55.5760678000006
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_118,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,118,15,12,42,14,5,12,256,572,250,311,225.85714285714286,542.0,316.14285714285717,482.2142857142857,59.630577700001595
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_118,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,118,16,12,38,18,4,12,247,692,250,368,209.77777777777777,574.7777777777778,365.0,662.6666666666666,68.26576270000078
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_118,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,118,17,12,38,11,5,11,256,567,250,311,225.8181818181818,532.4545454545455,306.6363636363636,438.6363636363636,59.98576160000084
