run_id,method,instance,seed,generation,chromosome_count,decoded_candidate_count,feasible_candidate_count,non_dominated_count,selected_survivor_count,best_pick_faces,best_storage_total,best_interior_storage,best_retrieval_penalty,mean_pick_faces,mean_storage_total,mean_interior_storage,mean_retrieval_penalty,runtime_seconds
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_104,proposed_nsga2_bs,demo_layout_door_left_AW_2,104,0,10,19,19,2,10,224,294,21,19,204.26315789473685,261.05263157894734,56.78947368421053,49.473684210526315,55.38455750000139
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_104,proposed_nsga2_bs,demo_layout_door_left_AW_2,104,1,10,16,11,3,10,216,294,36,36,196.0,268.90909090909093,72.9090909090909,65.0909090909091,44.863025800004834
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_104,proposed_nsga2_bs,demo_layout_door_left_AW_2,104,2,10,20,14,2,10,216,294,36,36,198.71428571428572,262.7142857142857,64.0,63.5,46.871872099996835
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_104,proposed_nsga2_bs,demo_layout_door_left_AW_2,104,3,10,26,7,3,7,216,268,36,36,212.14285714285714,255.14285714285714,43.0,50.142857142857146,69.28728249999403
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_104,proposed_nsga2_bs,demo_layout_door_left_AW_2,104,4,10,26,9,3,9,216,278,36,36,203.22222222222223,261.3333333333333,58.111111111111114,44.77777777777778,70.62078309999924
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_104,proposed_nsga2_bs,demo_layout_door_left_AW_2,104,5,10,24,15,4,10,216,268,36,34,203.26666666666668,257.2,53.93333333333333,44.6,62.761058299998695
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_104,proposed_nsga2_bs,demo_layout_door_left_AW_2,104,6,10,25,14,4,10,216,266,36,34,206.92857142857142,255.71428571428572,48.785714285714285,45.0,66.73346599999786
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_104,proposed_nsga2_bs,demo_layout_door_left_AW_2,104,7,10,26,9,4,9,216,266,36,34,205.33333333333334,256.22222222222223,50.888888888888886,40.77777777777778,74.42443630000344
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_104,proposed_nsga2_bs,demo_layout_door_left_AW_2,104,8,10,29,11,3,10,214,272,36,34,200.0,258.54545454545456,58.54545454545455,43.63636363636363,79.27199429999746
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_104,proposed_nsga2_bs,demo_layout_door_left_AW_2,104,9,10,28,10,3,10,214,260,36,34,206.1,253.2,47.1,38.8,74.50610530000267
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_104,proposed_nsga2_bs,demo_layout_door_left_AW_2,104,10,10,29,16,3,10,214,270,36,34,202.25,255.25,53.0,48.375,71.69563950000156
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_104,proposed_nsga2_bs,demo_layout_door_left_AW_2,104,11,10,20,10,3,10,214,260,36,34,202.9,254.4,51.5,44.6,73.04668330000277
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_104,proposed_nsga2_bs,demo_layout_door_left_AW_2,104,12,10,25,13,3,10,216,270,36,34,197.92307692307693,257.84615384615387,59.92307692307692,51.15384615384615,70.59077909999905
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_104,proposed_nsga2_bs,demo_layout_door_left_AW_2,104,13,10,24,12,4,10,216,266,36,34,203.5,255.83333333333334,52.333333333333336,44.583333333333336,75.20088199999736
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_104,proposed_nsga2_bs,demo_layout_door_left_AW_2,104,14,10,24,11,3,10,214,270,36,34,200.0909090909091,257.6363636363636,57.54545454545455,48.36363636363637,78.90844949999882
