run_id,method,instance,seed,generation,chromosome_count,decoded_candidate_count,feasible_candidate_count,non_dominated_count,selected_survivor_count,best_pick_faces,best_storage_total,best_interior_storage,best_retrieval_penalty,mean_pick_faces,mean_storage_total,mean_interior_storage,mean_retrieval_penalty,runtime_seconds
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_128,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,128,0,10,23,19,3,10,127,264,96,74,105.86363636363636,233.86363636363637,128.0,223.9090909090909,5.475918600001023
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_128,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,128,1,10,24,14,8,10,124,264,94,69,116.42857142857143,234.42857142857142,118.0,152.0,5.971116400003666
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_128,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,128,2,10,20,13,5,10,127,264,94,69,112.23076923076923,236.07692307692307,123.84615384615384,200.69230769230768,4.322769100006553
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_128,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,128,3,10,25,10,5,10,124,264,94,69,116.38461538461539,242.53846153846155,126.15384615384616,208.23076923076923,5.0798718000005465
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_128,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,128,4,10,26,9,5,9,124,264,94,69,118.08333333333333,229.75,111.66666666666667,131.58333333333334,6.1300154000055045
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_128,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,128,5,10,28,19,5,10,124,264,94,69,108.0,224.04545454545453,116.04545454545455,180.27272727272728,7.548834999994142
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_128,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,128,6,10,29,11,3,10,120,270,102,74,104.9090909090909,231.8181818181818,126.9090909090909,210.1818181818182,5.005674900006852
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_128,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,128,7,10,29,10,3,10,120,228,102,74,110.3,218.7,108.4,182.2,6.165581900000689
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_128,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,128,8,10,30,12,6,10,125,246,102,74,113.16666666666667,231.0,117.83333333333333,182.91666666666666,5.341462800002773
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_128,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,128,9,10,27,14,3,10,120,234,102,74,109.57142857142857,222.21428571428572,112.64285714285714,211.21428571428572,8.17451679999067
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_128,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,128,10,10,27,11,7,10,125,246,102,74,116.0,229.63636363636363,113.63636363636364,148.54545454545453,5.702301799989073
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_128,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,128,11,10,27,14,3,10,120,234,102,74,110.21428571428571,228.0,117.78571428571429,192.5,7.647964699994191
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_128,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,128,12,10,30,16,7,10,125,246,102,74,114.5625,225.9375,111.375,158.9375,6.713079900000594
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_128,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,128,13,10,28,17,8,10,125,246,98,74,113.52941176470588,224.11764705882354,110.58823529411765,210.05882352941177,7.3242279999976745
proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_128,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,128,14,10,23,15,2,10,120,228,94,69,106.26666666666667,217.6,111.33333333333333,199.26666666666668,6.374031700004707
