run_id,method,method_or_variant,instance,seed,generation,generation_runtime_seconds,population_size,candidate_count,decoded_count,feasible_count,infeasible_count,selected_count,rank0_count,unique_layout_signature_count,nsga_operator_time_seconds,beam_decode_time_seconds,beam_expansion_time_seconds,feasibility_filter_time_seconds,objective_evaluation_time_seconds,ranking_archive_time_seconds,io_time_seconds
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_122,proposed_nsga2_bs,V5_random_feasible_start_spacing,demo_layout_door_left_AW_2,122,0,29.365620399999898,10,12,17,11,1,10,2,12,0.006386799999745563,0.005605099970125593,29.123138699986157,0.0864908000221476,0.142552200020873,0.0007980999944265932,0.0
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_122,proposed_nsga2_bs,V5_random_feasible_start_spacing,demo_layout_door_left_AW_2,122,1,49.06602610000118,10,15,23,15,0,10,2,15,0.006733000001986511,0.00630049999745097,48.80718400001933,0.09270569999353029,0.15096719999564812,0.0013294999953359365,0.0
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_122,proposed_nsga2_bs,V5_random_feasible_start_spacing,demo_layout_door_left_AW_2,122,2,58.251745200002915,10,14,25,14,0,10,3,14,0.015078800002811477,0.00641540001379326,57.97293059999356,0.09551030001603067,0.15763109998079017,0.0025700999976834282,0.0
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_122,proposed_nsga2_bs,V5_random_feasible_start_spacing,demo_layout_door_left_AW_2,122,3,60.53928270000324,10,14,28,14,0,10,3,14,0.010384000008343719,0.006625799884204753,60.28906230001303,0.09077080003044102,0.13875930006906856,0.002357400007895194,0.0
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_122,proposed_nsga2_bs,V5_random_feasible_start_spacing,demo_layout_door_left_AW_2,122,4,62.111850300003425,10,9,25,9,0,9,4,9,0.010955399993690662,0.0058874000096693635,61.929910800026846,0.06608459998096805,0.09685559998615645,0.0011508000025060028,0.0
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_122,proposed_nsga2_bs,V5_random_feasible_start_spacing,demo_layout_door_left_AW_2,122,5,66.88650280000002,10,10,25,10,0,10,3,10,0.010215300004347228,0.006372199961333536,66.63948739999614,0.08613530003640335,0.14193560001149308,0.0013332000089576468,0.0
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_122,proposed_nsga2_bs,V5_random_feasible_start_spacing,demo_layout_door_left_AW_2,122,6,63.089376300005824,10,12,23,12,0,10,4,12,0.009630500004277565,0.006651499992585741,62.79737129996647,0.10590989999764133,0.16713970004639123,0.0015845000016270205,0.0
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_122,proposed_nsga2_bs,V5_random_feasible_start_spacing,demo_layout_door_left_AW_2,122,7,76.28522839999641,10,16,28,16,0,10,5,16,0.010560599999735132,0.007769099916913547,75.94073480003863,0.12955210002837703,0.1921468000218738,0.0029544999997597188,0.0
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_122,proposed_nsga2_bs,V5_random_feasible_start_spacing,demo_layout_door_left_AW_2,122,8,79.2683543000021,10,11,29,11,0,10,4,11,0.009864199993899092,0.006929400027729571,79.00112249997619,0.09678829999757,0.15112759999465197,0.0014257000002544373,0.0
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_122,proposed_nsga2_bs,V5_random_feasible_start_spacing,demo_layout_door_left_AW_2,122,9,80.10009489998629,10,12,28,12,0,10,3,12,0.014025800002855249,0.006445700055337511,79.79749699999229,0.10689209998236038,0.1726424999651499,0.00152679999882821,0.0
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_122,proposed_nsga2_bs,V5_random_feasible_start_spacing,demo_layout_door_left_AW_2,122,10,63.2266232999973,10,10,19,10,0,10,4,10,0.009899600001517683,0.006089000045903958,63.00690219999524,0.07742129999678582,0.12415269996563438,0.0011947000020882115,0.0
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_122,proposed_nsga2_bs,V5_random_feasible_start_spacing,demo_layout_door_left_AW_2,122,11,66.28882099999464,10,17,24,17,0,10,4,17,0.009851199996774085,0.007737399981124327,65.87403639999684,0.15061499999137595,0.24175610003294423,0.003093099992838688,0.0
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_122,proposed_nsga2_bs,V5_random_feasible_start_spacing,demo_layout_door_left_AW_2,122,12,79.03280499999528,10,13,23,13,0,10,3,13,0.01057779999973718,0.00739700002304744,78.7067359000066,0.11887779997778125,0.1860022999899229,0.0019920999911846593,0.0
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_122,proposed_nsga2_bs,V5_random_feasible_start_spacing,demo_layout_door_left_AW_2,122,13,79.10707990000083,10,11,26,11,0,10,3,11,0.010679200000595301,0.006556199979968369,78.83919070000411,0.09632720000809059,0.1517262999986997,0.0014652000099886209,0.0
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_122,proposed_nsga2_bs,V5_random_feasible_start_spacing,demo_layout_door_left_AW_2,122,14,81.62627729999076,10,14,25,14,0,10,3,14,0.01165949999995064,0.007193799989181571,81.27220510001644,0.12980909997713752,0.20145310001680627,0.0024452999932691455,0.0
