run_id,method,instance,seed,generation,chromosome_count,decoded_candidate_count,feasible_candidate_count,non_dominated_count,selected_survivor_count,best_pick_faces,best_storage_total,best_interior_storage,best_retrieval_penalty,mean_pick_faces,mean_storage_total,mean_interior_storage,mean_retrieval_penalty,runtime_seconds
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_113,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,113,0,12,37,36,1,12,270,948,290,341,220.05405405405406,698.3783783783783,478.3243243243243,797.6486486486486,92.86546049999015
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_113,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,113,1,12,38,12,1,12,270,684,290,341,238.5,653.3333333333334,414.8333333333333,557.0833333333334,69.33483269999851
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_113,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,113,2,12,41,23,1,12,270,736,290,341,234.08695652173913,665.0434782608696,430.95652173913044,623.8695652173913,81.13999730000796
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_113,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,113,3,12,48,8,5,8,261,684,347,484,260.5,646.0,385.5,518.0,54.37510459999612
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_113,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,113,4,12,48,8,5,8,261,684,347,484,260.5,646.0,385.5,518.0,53.406028099998366
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_113,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,113,5,12,44,10,2,10,261,684,331,462,260.6,635.2,374.6,506.8,59.834338200002094
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_113,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,113,6,12,44,14,2,12,261,684,331,462,255.57142857142858,636.5714285714286,381.0,509.42857142857144,74.72603170000366
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_113,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,113,7,12,40,18,4,12,262,684,331,462,251.66666666666666,655.1111111111111,403.44444444444446,510.6666666666667,103.90571390000696
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_113,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,113,8,12,48,20,8,12,262,684,347,467,251.2,653.6,402.4,544.4,63.75389870000072
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_113,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,113,9,12,46,20,3,12,262,684,331,462,257.5,649.6,392.1,516.4,70.19325519999256
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_113,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,113,10,12,46,24,3,12,262,684,331,462,254.08333333333334,649.3333333333334,395.25,516.5,70.11308509999071
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_113,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,113,11,12,36,14,3,12,262,684,331,462,255.85714285714286,657.1428571428571,401.2857142857143,497.7142857142857,92.94071390001045
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_113,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,113,12,12,44,24,3,12,262,684,331,462,254.08333333333334,649.3333333333334,395.25,516.5,81.10358260000066
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_113,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,113,13,12,44,24,3,12,262,684,331,462,254.08333333333334,649.3333333333334,395.25,516.5,82.39777830000094
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_113,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,113,14,12,44,22,3,12,262,684,331,462,251.72727272727272,649.4545454545455,397.72727272727275,519.8181818181819,77.95777560000715
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_113,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,113,15,12,46,18,2,12,261,684,331,462,253.44444444444446,635.5555555555555,382.1111111111111,529.7777777777778,68.97770689999743
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_113,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,113,16,12,46,22,4,12,262,684,331,462,242.0909090909091,659.6363636363636,417.54545454545456,559.4545454545455,50.52203940000618
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_113,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,113,17,12,46,24,3,12,262,684,411,472,236.16666666666666,668.6666666666666,432.5,602.0,51.06562190000841
