run_id,method,instance,seed,generation,budget_policy,auto_population_size,auto_generations,auto_beam_width,auto_max_depth,auto_decode_budget,restart_index,batch_index,within_batch_index,decode_budget,candidate_id,parent_chromosome_id,depth,trace,status,rank,crowding_distance,selected,storage_total,pick_faces,interior_storage,retrieval_penalty,door_connectivity_index,access_anchor_connectivity_index,has_door_connected_aisle,has_access_anchor_connected_aisle,aisle_components,anchor_connected_components,unanchored_aisle_components,single_aisle_component,access_network_components,aisle_access_network_components,unreachable_aisle_components,unreachable_aisle_cells,has_access_anchor_reachable_aisle_network,exact_width_ok,exact_width_violation_count,chromosome_h_active_count,chromosome_v_active_count,active_h_count,active_v_count,chromosome_index,sorting_rule,sorting_rule_mode,bs_rule_policy,bs_weight_policy,uses_scalar_score,rho,beam_w1,beam_w2,beam_lambda,adaptive_weight_mode,mutation_operator,initialization_mode,initialization_spacing_mode,adaptive_spacing_used,feasible_h_start_count,feasible_v_start_count,adaptive_spacing_mode,adaptive_spacing_alpha,adaptive_spacing_bf,auto_params_used,parameter_source,beta_h,beta_v,h_active_starts,v_active_starts,terminal,safety_max_depth_reached,feasible,feasibility_reason,storage_block_count,chromosome_signature,layout_signature
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_114,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,114,0,auto_from_instance,12,18,4,30,216,,,,,1,1,7,root > V:15 > BH:26 > BH:5 > BH:16 > BH:27 > BH:46 > BH:36,selected,1,inf,True,532,240,292,658.0,1.0,1.0,True,True,1,1,0,True,1,1,0,0,True,True,0,6,2,6,2,1,SS,sampled_pool,,,True,0.05555555555555555,0.1,0.9444444444444444,0.1,adaptive,,random_feasible_start_no_adaptive_spacing,random_feasible_start_no_adaptive_spacing,False,42,11,feasible_start_adaptive_spacing,0.5,,True,auto_from_instance,0.75,0.35,,"15,27",,,,,,"H[5,16,26,27,36,46]|V[15,27]",962911d6df2cb4615aa2651eb26a41635735f282
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_114,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,114,0,auto_from_instance,12,18,4,30,216,,,,,2,1,7,root > V:15 > BH:26 > BH:5 > BH:16 > BH:27 > BH:44 > BV:24,selected,2,inf,True,562,222,340,724.0,1.0,1.0,True,True,1,1,0,True,1,1,0,0,True,True,0,5,3,5,3,1,SS,sampled_pool,,,True,0.05555555555555555,0.1,0.9444444444444444,0.1,adaptive,,random_feasible_start_no_adaptive_spacing,random_feasible_start_no_adaptive_spacing,False,42,11,feasible_start_adaptive_spacing,0.5,,True,auto_from_instance,0.75,0.35,,"15,27",,,,,,"H[5,16,26,27,44]|V[15,24,27]",722cf7ee957ef591114127043c05e350531ad9b5
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_114,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,114,0,auto_from_instance,12,18,4,30,216,,,,,3,1,7,root > V:15 > BH:26 > BH:5 > BH:16 > BH:25 > BH:44 > BV:24,selected,3,inf,True,562,222,340,836.0,1.0,1.0,True,True,1,1,0,True,1,1,0,0,True,True,0,5,3,5,3,1,SS,sampled_pool,,,True,0.05555555555555555,0.1,0.9444444444444444,0.1,adaptive,,random_feasible_start_no_adaptive_spacing,random_feasible_start_no_adaptive_spacing,False,42,11,feasible_start_adaptive_spacing,0.5,,True,auto_from_instance,0.75,0.35,,"15,27",,,,,,"H[5,16,25,26,44]|V[15,24,27]",5f749d363ccbf4abdb9744e3497f4afc4223a09b
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_114,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,114,0,auto_from_instance,12,18,4,30,216,,,,,4,1,7,root > V:15 > BH:26 > BH:5 > BH:14 > BH:25 > BH:44 > BV:24,selected,3,inf,True,562,222,340,836.0,1.0,1.0,True,True,1,1,0,True,1,1,0,0,True,True,0,5,3,5,3,1,SS,sampled_pool,,,True,0.05555555555555555,0.1,0.9444444444444444,0.1,adaptive,,random_feasible_start_no_adaptive_spacing,random_feasible_start_no_adaptive_spacing,False,42,11,feasible_start_adaptive_spacing,0.5,,True,auto_from_instance,0.75,0.35,,"15,27",,,,,,"H[5,14,25,26,44]|V[15,24,27]",5c320ef3b51f2c444e1ed542e26330cc52816802
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_114,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,114,0,auto_from_instance,12,18,4,30,216,,,,,5,2,8,root > V:20 > BH:26 > BH:5 > BH:16 > BH:25 > BH:36 > BH:45 > BV:29,selected,3,inf,True,597,195,402,637.0,1.0,1.0,True,True,1,1,0,True,1,1,0,0,True,True,0,7,3,7,3,2,PF_RP,sampled_pool,,,False,0.05555555555555555,0.1,0.9444444444444444,0.1,adaptive,,random_feasible_start_no_adaptive_spacing,random_feasible_start_no_adaptive_spacing,False,42,11,feasible_start_adaptive_spacing,0.5,,True,auto_from_instance,0.75,0.35,23,"20,27",,,,,,"H[5,16,23,25,26,36,45]|V[20,27,29]",981dc6fd2903ad3086847d3b1f7d62614b0319bd
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_114,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,114,0,auto_from_instance,12,18,4,30,216,,,,,6,2,8,root > V:20 > BH:26 > BH:5 > BH:14 > BH:25 > BH:36 > BH:45 > BV:29,selected,3,inf,True,597,195,402,637.0,1.0,1.0,True,True,1,1,0,True,1,1,0,0,True,True,0,7,3,7,3,2,PF_RP,sampled_pool,,,False,0.05555555555555555,0.1,0.9444444444444444,0.1,adaptive,,random_feasible_start_no_adaptive_spacing,random_feasible_start_no_adaptive_spacing,False,42,11,feasible_start_adaptive_spacing,0.5,,True,auto_from_instance,0.75,0.35,23,"20,27",,,,,,"H[5,14,23,25,26,36,45]|V[20,27,29]",2082bb77553284a306396971a446c9d5d665af6f
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_114,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,114,0,auto_from_instance,12,18,4,30,216,,,,,7,3,5,root > H:36 > BH:11 > BV:25 > BH:24 > BV:23,evaluated,10,inf,False,727,162,565,1332.0,1.0,1.0,True,True,1,1,0,True,1,1,0,0,True,True,0,3,4,3,4,3,SS_LS_PF,sampled_pool,,,True,0.05555555555555555,0.12019768539446096,0.9444444444444444,0.1,adaptive,,random_feasible_start_no_adaptive_spacing,random_feasible_start_no_adaptive_spacing,False,42,11,feasible_start_adaptive_spacing,0.5,,True,auto_from_instance,0.75,0.35,"24,36","14,28",,,,,,"H[11,24,36]|V[14,23,25,28]",52e346295d5a58478368b1ad12cdd023f8db09ff
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_114,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,114,0,auto_from_instance,12,18,4,30,216,,,,,8,3,5,root > H:36 > BH:11 > BV:25 > BH:26 > BV:23,evaluated,11,inf,False,727,162,565,1374.0,1.0,1.0,True,True,1,1,0,True,1,1,0,0,True,True,0,4,4,4,4,3,SS_LS_PF,sampled_pool,,,True,0.05555555555555555,0.12019768539446096,0.9444444444444444,0.1,adaptive,,random_feasible_start_no_adaptive_spacing,random_feasible_start_no_adaptive_spacing,False,42,11,feasible_start_adaptive_spacing,0.5,,True,auto_from_instance,0.75,0.35,"24,36","14,28",,,,,,"H[11,24,26,36]|V[14,23,25,28]",cd1fd92ca6d5c7dc9d63f6f19fa03ba3dc046a20
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_114,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,114,0,auto_from_instance,12,18,4,30,216,,,,,9,3,5,root > H:36 > BH:11 > BV:23 > BH:24 > BV:23,evaluated,12,inf,False,727,162,565,1444.0,1.0,1.0,True,True,1,1,0,True,1,1,0,0,True,True,0,3,3,3,3,3,SS_LS_PF,sampled_pool,,,True,0.05555555555555555,0.12019768539446096,0.9444444444444444,0.1,adaptive,,random_feasible_start_no_adaptive_spacing,random_feasible_start_no_adaptive_spacing,False,42,11,feasible_start_adaptive_spacing,0.5,,True,auto_from_instance,0.75,0.35,"24,36","14,28",,,,,,"H[11,24,36]|V[14,23,28]",a79dcf4a00dc3c60b7abc1c9337b6272f2bcad2c
proposed_nsga2_bs_Gyorgy-KOVACS_WH_Wide_AW_5_seed_114,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Wide_AW_5,114,0,auto_from_instance,12,18,4,30,216,,,,,10,3,5,root > H:36 > BH:11 > BV:23 > BH:26 > BV:23,evaluated,13,inf,False,727,162,565,1486.0,1.0,1.0,True,True,1,1,0,True,1,1,0,0,True,True,0,4,3,4,3,3,SS_LS_PF,sampled_pool,,,True,0.05555555555555555,0.12019768539446096,0.9444444444444444,0.1,adaptive,,random_feasible_start_no_adaptive_spacing,random_feasible_start_no_adaptive_spacing,False,42,11,feasible_start_adaptive_spacing,0.5,,True,auto_from_instance,0.75,0.35,"24,36","14,28",,,,,,"H[11,24,26,36]|V[14,23,28]",afbc08ca1263ffbc79140940f73fb2608ddadc37
