run_id,method,instance,seed,generation,chromosome_count,decoded_candidate_count,feasible_candidate_count,non_dominated_count,selected_survivor_count,best_pick_faces,best_storage_total,best_interior_storage,best_retrieval_penalty,mean_pick_faces,mean_storage_total,mean_interior_storage,mean_retrieval_penalty,runtime_seconds
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_119,proposed_nsga2_bs,demo_layout_door_left_AW_2,119,0,10,17,10,3,10,216,268,36,36,206.9,257.0,50.1,51.4,46.487384000007296
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_119,proposed_nsga2_bs,demo_layout_door_left_AW_2,119,1,10,26,13,3,10,216,294,36,36,196.30769230769232,270.15384615384613,73.84615384615384,65.53846153846153,70.60519519999798
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_119,proposed_nsga2_bs,demo_layout_door_left_AW_2,119,2,10,26,11,5,10,216,294,36,36,200.54545454545453,266.72727272727275,66.18181818181819,60.63636363636363,63.971790899988264
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_119,proposed_nsga2_bs,demo_layout_door_left_AW_2,119,3,10,26,9,3,9,216,268,36,36,205.88888888888889,258.0,52.111111111111114,43.44444444444444,75.18804850000015
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_119,proposed_nsga2_bs,demo_layout_door_left_AW_2,119,4,10,27,11,4,10,216,266,36,34,208.27272727272728,254.0,45.72727272727273,44.18181818181818,76.27748289999727
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_119,proposed_nsga2_bs,demo_layout_door_left_AW_2,119,5,10,23,16,4,10,216,266,36,34,205.9375,254.75,48.8125,44.0,72.31296280000242
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_119,proposed_nsga2_bs,demo_layout_door_left_AW_2,119,6,10,24,17,3,10,216,266,36,34,200.52941176470588,258.5882352941176,58.05882352941177,50.11764705882353,66.83214479999151
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_119,proposed_nsga2_bs,demo_layout_door_left_AW_2,119,7,10,29,15,4,10,214,262,36,34,204.73333333333332,254.93333333333334,50.2,43.666666666666664,83.94549690000713
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_119,proposed_nsga2_bs,demo_layout_door_left_AW_2,119,8,10,27,9,3,9,214,260,36,34,206.55555555555554,253.55555555555554,47.0,38.44444444444444,95.32873429999745
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_119,proposed_nsga2_bs,demo_layout_door_left_AW_2,119,9,10,24,13,4,10,216,266,36,34,204.23076923076923,254.92307692307693,50.69230769230769,47.23076923076923,82.2592902000033
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_119,proposed_nsga2_bs,demo_layout_door_left_AW_2,119,10,10,24,15,4,10,216,266,36,34,205.86666666666667,254.0,48.13333333333333,46.4,84.4170751000056
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_119,proposed_nsga2_bs,demo_layout_door_left_AW_2,119,11,10,26,9,3,9,214,260,36,34,206.88888888888889,253.77777777777777,46.888888888888886,39.666666666666664,92.04546170000685
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_119,proposed_nsga2_bs,demo_layout_door_left_AW_2,119,12,10,24,11,3,10,214,270,36,34,202.36363636363637,256.72727272727275,54.36363636363637,44.09090909090909,83.52666250000766
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_119,proposed_nsga2_bs,demo_layout_door_left_AW_2,119,13,10,23,15,3,10,214,270,36,34,202.6,254.93333333333334,52.333333333333336,49.0,87.90645400001085
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_119,proposed_nsga2_bs,demo_layout_door_left_AW_2,119,14,10,27,10,3,10,214,260,36,34,207.5,252.8,45.3,43.6,93.1643378000008
