phase,method_or_variant,instance,seed,command,status,started_at,finished_at,runtime_seconds,return_code,output_dir,log_path,error_message
phase12c,V6b_binding_depth10,demo_layout_door_left_AW_2,108,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances demo_layout_door_left_AW_2 --seeds 108 --method proposed_nsga2_bs --experiment-id p12c__V6b_d10__DEMO_L_AW2__s108 --output-dir results\revision_final_30seed_nofg_v6b\p12c\V6b_d10 --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives --sorting-rule-mode sampled_pool --adaptive-weight-mode adaptive --mutation-mode weighted --initialization-spacing-mode feasible_start_adaptive_spacing --ablation-variant V6b_binding_depth10 --max-depth 10,completed,2026-09-06T03:41:19+00:00,2026-09-06T03:54:00+00:00,760.8649441000016,0,results\revision_final_30seed_nofg_v6b\p12c\V6b_d10\p12c__V6b_d10__DEMO_L_AW2__s108,results\revision_final_30seed_nofg_v6b\logs\p12c__V6b_d10__DEMO_L_AW2__s108.log,
phase12c,V6b_binding_depth10,demo_layout_door_left_AW_2,106,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances demo_layout_door_left_AW_2 --seeds 106 --method proposed_nsga2_bs --experiment-id p12c__V6b_d10__DEMO_L_AW2__s106 --output-dir results\revision_final_30seed_nofg_v6b\p12c\V6b_d10 --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives --sorting-rule-mode sampled_pool --adaptive-weight-mode adaptive --mutation-mode weighted --initialization-spacing-mode feasible_start_adaptive_spacing --ablation-variant V6b_binding_depth10 --max-depth 10,completed,2026-09-06T03:41:19+00:00,2026-09-06T03:54:19+00:00,779.5436378000013,0,results\revision_final_30seed_nofg_v6b\p12c\V6b_d10\p12c__V6b_d10__DEMO_L_AW2__s106,results\revision_final_30seed_nofg_v6b\logs\p12c__V6b_d10__DEMO_L_AW2__s106.log,
phase12c,V6b_binding_depth10,demo_layout_door_left_AW_2,103,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances demo_layout_door_left_AW_2 --seeds 103 --method proposed_nsga2_bs --experiment-id p12c__V6b_d10__DEMO_L_AW2__s103 --output-dir results\revision_final_30seed_nofg_v6b\p12c\V6b_d10 --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives --sorting-rule-mode sampled_pool --adaptive-weight-mode adaptive --mutation-mode weighted --initialization-spacing-mode feasible_start_adaptive_spacing --ablation-variant V6b_binding_depth10 --max-depth 10,completed,2026-09-06T03:41:19+00:00,2026-09-06T03:55:06+00:00,827.0673709000112,0,results\revision_final_30seed_nofg_v6b\p12c\V6b_d10\p12c__V6b_d10__DEMO_L_AW2__s103,results\revision_final_30seed_nofg_v6b\logs\p12c__V6b_d10__DEMO_L_AW2__s103.log,
phase12c,V6b_binding_depth10,demo_layout_door_left_AW_2,107,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances demo_layout_door_left_AW_2 --seeds 107 --method proposed_nsga2_bs --experiment-id p12c__V6b_d10__DEMO_L_AW2__s107 --output-dir results\revision_final_30seed_nofg_v6b\p12c\V6b_d10 --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives --sorting-rule-mode sampled_pool --adaptive-weight-mode adaptive --mutation-mode weighted --initialization-spacing-mode feasible_start_adaptive_spacing --ablation-variant V6b_binding_depth10 --max-depth 10,completed,2026-09-06T03:41:19+00:00,2026-09-06T03:55:34+00:00,855.064827299997,0,results\revision_final_30seed_nofg_v6b\p12c\V6b_d10\p12c__V6b_d10__DEMO_L_AW2__s107,results\revision_final_30seed_nofg_v6b\logs\p12c__V6b_d10__DEMO_L_AW2__s107.log,
phase12c,V6b_binding_depth10,demo_layout_door_left_AW_2,101,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances demo_layout_door_left_AW_2 --seeds 101 --method proposed_nsga2_bs --experiment-id p12c__V6b_d10__DEMO_L_AW2__s101 --output-dir results\revision_final_30seed_nofg_v6b\p12c\V6b_d10 --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives --sorting-rule-mode sampled_pool --adaptive-weight-mode adaptive --mutation-mode weighted --initialization-spacing-mode feasible_start_adaptive_spacing --ablation-variant V6b_binding_depth10 --max-depth 10,completed,2026-09-06T03:41:19+00:00,2026-09-06T03:55:47+00:00,868.1767181000032,0,results\revision_final_30seed_nofg_v6b\p12c\V6b_d10\p12c__V6b_d10__DEMO_L_AW2__s101,results\revision_final_30seed_nofg_v6b\logs\p12c__V6b_d10__DEMO_L_AW2__s101.log,
phase12c,V6b_binding_depth10,demo_layout_door_left_AW_2,104,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances demo_layout_door_left_AW_2 --seeds 104 --method proposed_nsga2_bs --experiment-id p12c__V6b_d10__DEMO_L_AW2__s104 --output-dir results\revision_final_30seed_nofg_v6b\p12c\V6b_d10 --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives --sorting-rule-mode sampled_pool --adaptive-weight-mode adaptive --mutation-mode weighted --initialization-spacing-mode feasible_start_adaptive_spacing --ablation-variant V6b_binding_depth10 --max-depth 10,completed,2026-09-06T03:41:19+00:00,2026-09-06T03:55:55+00:00,875.5112101999985,0,results\revision_final_30seed_nofg_v6b\p12c\V6b_d10\p12c__V6b_d10__DEMO_L_AW2__s104,results\revision_final_30seed_nofg_v6b\logs\p12c__V6b_d10__DEMO_L_AW2__s104.log,
phase12c,V6b_binding_depth10,demo_layout_door_left_AW_2,102,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances demo_layout_door_left_AW_2 --seeds 102 --method proposed_nsga2_bs --experiment-id p12c__V6b_d10__DEMO_L_AW2__s102 --output-dir results\revision_final_30seed_nofg_v6b\p12c\V6b_d10 --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives --sorting-rule-mode sampled_pool --adaptive-weight-mode adaptive --mutation-mode weighted --initialization-spacing-mode feasible_start_adaptive_spacing --ablation-variant V6b_binding_depth10 --max-depth 10,completed,2026-09-06T03:41:19+00:00,2026-09-06T03:55:55+00:00,875.7125227999932,0,results\revision_final_30seed_nofg_v6b\p12c\V6b_d10\p12c__V6b_d10__DEMO_L_AW2__s102,results\revision_final_30seed_nofg_v6b\logs\p12c__V6b_d10__DEMO_L_AW2__s102.log,
phase12c,V6b_binding_depth10,demo_layout_door_left_AW_2,109,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances demo_layout_door_left_AW_2 --seeds 109 --method proposed_nsga2_bs --experiment-id p12c__V6b_d10__DEMO_L_AW2__s109 --output-dir results\revision_final_30seed_nofg_v6b\p12c\V6b_d10 --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives --sorting-rule-mode sampled_pool --adaptive-weight-mode adaptive --mutation-mode weighted --initialization-spacing-mode feasible_start_adaptive_spacing --ablation-variant V6b_binding_depth10 --max-depth 10,completed,2026-09-06T03:41:19+00:00,2026-09-06T03:56:27+00:00,907.8213405999995,0,results\revision_final_30seed_nofg_v6b\p12c\V6b_d10\p12c__V6b_d10__DEMO_L_AW2__s109,results\revision_final_30seed_nofg_v6b\logs\p12c__V6b_d10__DEMO_L_AW2__s109.log,
phase12c,V6b_binding_depth10,demo_layout_door_left_AW_2,105,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances demo_layout_door_left_AW_2 --seeds 105 --method proposed_nsga2_bs --experiment-id p12c__V6b_d10__DEMO_L_AW2__s105 --output-dir results\revision_final_30seed_nofg_v6b\p12c\V6b_d10 --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives --sorting-rule-mode sampled_pool --adaptive-weight-mode adaptive --mutation-mode weighted --initialization-spacing-mode feasible_start_adaptive_spacing --ablation-variant V6b_binding_depth10 --max-depth 10,completed,2026-09-06T03:41:19+00:00,2026-09-06T03:56:58+00:00,938.3442467999994,0,results\revision_final_30seed_nofg_v6b\p12c\V6b_d10\p12c__V6b_d10__DEMO_L_AW2__s105,results\revision_final_30seed_nofg_v6b\logs\p12c__V6b_d10__DEMO_L_AW2__s105.log,
phase12c,V6b_binding_depth10,demo_layout_door_left_AW_2,110,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances demo_layout_door_left_AW_2 --seeds 110 --method proposed_nsga2_bs --experiment-id p12c__V6b_d10__DEMO_L_AW2__s110 --output-dir results\revision_final_30seed_nofg_v6b\p12c\V6b_d10 --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives --sorting-rule-mode sampled_pool --adaptive-weight-mode adaptive --mutation-mode weighted --initialization-spacing-mode feasible_start_adaptive_spacing --ablation-variant V6b_binding_depth10 --max-depth 10,completed,2026-09-06T03:41:19+00:00,2026-09-06T03:58:22+00:00,1023.0292860000045,0,results\revision_final_30seed_nofg_v6b\p12c\V6b_d10\p12c__V6b_d10__DEMO_L_AW2__s110,results\revision_final_30seed_nofg_v6b\logs\p12c__V6b_d10__DEMO_L_AW2__s110.log,
