run_id,method,instance,seed,generation,chromosome_count,decoded_candidate_count,feasible_candidate_count,non_dominated_count,selected_survivor_count,best_pick_faces,best_storage_total,best_interior_storage,best_retrieval_penalty,mean_pick_faces,mean_storage_total,mean_interior_storage,mean_retrieval_penalty,runtime_seconds
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_120,proposed_nsga2_bs,demo_layout_door_left_AW_2,120,0,10,26,20,1,10,224,294,24,22,186.9,277.6,90.7,164.55,53.875885399989784
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_120,proposed_nsga2_bs,demo_layout_door_left_AW_2,120,1,10,25,12,3,10,214,288,46,44,194.33333333333334,273.3333333333333,79.0,128.66666666666666,46.191926800005604
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_120,proposed_nsga2_bs,demo_layout_door_left_AW_2,120,2,10,27,17,2,10,212,294,46,44,184.11764705882354,278.5882352941176,94.47058823529412,130.94117647058823,50.62516699999105
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_120,proposed_nsga2_bs,demo_layout_door_left_AW_2,120,3,10,25,18,5,10,214,294,54,91,184.44444444444446,281.3333333333333,96.88888888888889,146.11111111111111,43.340554299997166
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_120,proposed_nsga2_bs,demo_layout_door_left_AW_2,120,4,10,22,17,1,10,216,294,50,50,187.1764705882353,279.52941176470586,92.3529411764706,128.52941176470588,39.92691690000356
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_120,proposed_nsga2_bs,demo_layout_door_left_AW_2,120,5,10,16,11,1,10,216,288,50,50,191.63636363636363,277.09090909090907,85.45454545454545,171.0909090909091,30.860587900009705
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_120,proposed_nsga2_bs,demo_layout_door_left_AW_2,120,6,10,26,15,1,10,216,294,50,50,184.53333333333333,280.53333333333336,96.0,124.53333333333333,52.459692000004
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_120,proposed_nsga2_bs,demo_layout_door_left_AW_2,120,7,10,30,11,6,10,194,294,80,72,184.72727272727272,279.45454545454544,94.72727272727273,134.36363636363637,59.70682389999274
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_120,proposed_nsga2_bs,demo_layout_door_left_AW_2,120,8,10,28,10,2,10,214,286,54,72,191.1,275.8,84.7,146.5,55.088695399987046
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_120,proposed_nsga2_bs,demo_layout_door_left_AW_2,120,9,10,28,13,4,10,214,294,54,79,181.15384615384616,282.9230769230769,101.76923076923077,139.92307692307693,51.50648829998681
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_120,proposed_nsga2_bs,demo_layout_door_left_AW_2,120,10,10,22,11,1,10,216,294,50,50,190.27272727272728,277.27272727272725,87.0,167.8181818181818,41.39657949999673
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_120,proposed_nsga2_bs,demo_layout_door_left_AW_2,120,11,10,29,17,6,10,194,318,80,101,171.88235294117646,290.2352941176471,118.3529411764706,172.47058823529412,56.99323089999962
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_120,proposed_nsga2_bs,demo_layout_door_left_AW_2,120,12,10,24,17,1,10,216,318,50,50,175.7058823529412,288.3529411764706,112.6470588235294,173.0,49.134691000013845
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_120,proposed_nsga2_bs,demo_layout_door_left_AW_2,120,13,10,26,20,1,10,216,300,50,50,178.9,284.2,105.3,149.0,53.11572969998815
proposed_nsga2_bs_demo_layout_door_left_AW_2_seed_120,proposed_nsga2_bs,demo_layout_door_left_AW_2,120,14,10,20,7,1,7,216,294,50,50,178.57142857142858,284.0,105.42857142857143,134.57142857142858,42.521617499995045
